Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,pre_pts
1,Zaid Abdul-Aziz,C,24,SEA,61,,20.9,4.3,9.8,0.441,,,,4.3,9.8,0.441,0.441,2.3,3.1,0.739,,,7.7,0.7,,,,1.9,10.9,13.8
2,Kareem Abdul-Jabbar*,C,23,MIL,82,,40.1,13.0,22.5,0.577,,,,13.0,22.5,0.577,0.577,5.7,8.3,0.69,,,16.0,3.3,,,,3.2,31.7,34.8
3,Mahdi Abdul-Rahman,PG,28,ATL,82,,35.1,6.3,13.7,0.459,,,,6.3,13.7,0.459,0.459,3.8,5.1,0.759,,,3.7,6.3,,,,3.4,16.5,15.8
4,Don Adams,SF,23,SDR,82,,29.0,4.8,11.7,0.409,,,,4.8,11.7,0.409,0.409,1.9,2.6,0.731,,,7.1,2.1,,,,4.2,11.4,11.4
5,Rick Adelman,PG,24,POR,81,,28.4,4.7,11.0,0.422,,,,4.7,11.0,0.422,0.422,3.3,4.6,0.724,,,3.5,4.7,,,,2.6,12.6,10.1
6,Lucius Allen,PG,23,MIL,61,,19.0,2.9,6.5,0.447,,,,2.9,6.5,0.447,0.447,1.3,1.8,0.7,,,2.5,2.6,,,,1.8,7.1,13.5
8,Tiny Archibald*,PG,22,CIN,82,,35.0,5.9,13.4,0.444,,,,5.9,13.4,0.444,0.444,4.1,5.4,0.757,,,3.0,5.5,,,,2.7,16.0,28.2
11,Dennis Awtrey,C,22,PHI,70,,18.5,2.9,6.0,0.475,,,,2.9,6.0,0.475,0.475,1.5,2.2,0.662,,,6.1,1.3,,,,3.0,7.2,4.2
13,Dick Barnett,SG,34,NYK,82,,34.7,6.6,14.4,0.456,,,,6.6,14.4,0.456,0.456,2.4,3.4,0.694,,,2.9,2.7,,,,2.8,15.5,12.2
14,Jim Barnett,SG,26,POR,78,,30.4,7.2,16.4,0.436,,,,7.2,16.4,0.436,0.436,4.2,5.2,0.811,,,4.8,4.1,,,,2.4,18.5,12.4
17,Elgin Baylor*,SF,36,LAL,2,,28.5,4.0,9.5,0.421,,,,4.0,9.5,0.421,0.421,2.0,3.0,0.667,,,5.5,1.0,,,,3.0,10.0,11.8
18,Walt Bellamy*,C,31,ATL,82,,35.5,5.3,10.7,0.493,,,,5.3,10.7,0.493,0.493,4.1,6.8,0.604,,,12.9,2.8,,,,3.3,14.7,18.6
19,Dave Bing*,PG,27,DET,82,,37.4,9.7,20.9,0.467,,,,9.7,20.9,0.467,0.467,7.5,9.4,0.797,,,4.4,5.0,,,,2.8,27.0,22.6
