Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,pre_pts
1,Zaid Abdul-Aziz,PF,23,MIL,80,,20.5,3.0,6.8,0.434,,,,3.0,6.8,0.434,0.434,1.5,2.3,0.643,,,7.5,0.8,,,,2.1,7.4,10.9
2,Kareem Abdul-Jabbar*,C,22,MIL,82,,43.1,11.4,22.1,0.518,,,,11.4,22.1,0.518,0.518,5.9,9.1,0.653,,,14.5,4.1,,,,3.5,28.8,31.7
3,Mahdi Abdul-Rahman,PG,27,ATL,82,,33.6,6.0,12.9,0.467,,,,6.0,12.9,0.467,0.467,3.3,4.0,0.809,,,4.0,6.8,,,,3.2,15.3,16.5
4,Rick Adelman,PG,23,SDR,35,,20.5,2.7,7.1,0.389,,,,2.7,7.1,0.389,0.389,1.9,2.6,0.747,,,2.3,3.2,,,,2.6,7.4,12.6
5,Lucius Allen,PG,22,SEA,81,,22.4,3.8,8.5,0.442,,,,3.8,8.5,0.442,0.442,2.2,3.1,0.731,,,2.6,4.2,,,,2.5,9.8,7.1
8,Al Attles,PG,33,SFW,45,,15.0,1.7,4.5,0.386,,,,1.7,4.5,0.386,0.386,1.7,2.5,0.664,,,1.6,3.2,,,,2.3,5.1,2.0
9,Jim Barnes,C,28,BOS,77,,13.6,2.3,5.6,0.41,,,,2.3,5.6,0.41,0.41,1.2,1.7,0.742,,,4.5,0.7,,,,3.0,5.9,3.4
10,Dick Barnett,SG,33,NYK,82,,33.8,6.0,12.7,0.475,,,,6.0,12.7,0.475,0.475,2.8,4.0,0.714,,,2.7,3.6,,,,2.7,14.9,15.5
11,Jim Barnett,SG,25,SDR,80,,26.3,5.6,12.5,0.451,,,,5.6,12.5,0.451,0.451,3.6,4.6,0.79,,,3.8,3.6,,,,2.8,14.9,18.5
12,Johnny Baum,SF,23,CHI,3,,4.3,1.0,3.7,0.273,,,,1.0,3.7,0.273,0.273,0.0,0.0,,,,1.3,0.0,,,,0.3,2.0,4.6
13,Elgin Baylor*,SF,35,LAL,54,,41.0,9.5,19.5,0.486,,,,9.5,19.5,0.486,0.486,5.1,6.6,0.773,,,10.4,5.4,,,,2.4,24.0,10.0
15,Walt Bellamy*,C,30,TOT,79,,25.7,4.4,8.5,0.523,,,,4.4,8.5,0.523,0.523,2.7,4.7,0.576,,,8.9,1.8,,,,3.3,11.6,14.7
16,Dave Bing*,PG,26,DET,70,,33.3,8.2,18.5,0.444,,,,8.2,18.5,0.444,0.444,6.5,8.3,0.783,,,4.3,6.0,,,,2.8,22.9,27.0
17,John Block,PF,25,SDR,82,,26.2,5.5,12.5,0.442,,,,5.5,12.5,0.442,0.442,3.5,4.5,0.782,,,7.4,1.7,,,,3.4,14.5,9.6
18,Tom Boerwinkle,C,24,CHI,81,,28.8,4.3,9.6,0.449,,,,4.3,9.6,0.449,0.449,1.9,2.8,0.664,,,12.5,2.8,,,,3.1,10.4,10.8
19,Bob Boozer,PF,32,SEA,82,,31.1,6.0,12.3,0.491,,,,6.0,12.3,0.491,0.491,3.2,3.9,0.822,,,8.7,1.3,,,,2.9,15.2,9.1
20,Nate Bowman,C,26,NYK,81,,9.2,1.2,2.9,0.417,,,,1.2,2.9,0.417,0.417,0.5,1.0,0.519,,,3.2,0.6,,,,2.3,2.9,3.1
21,Bill Bradley*,SF,26,NYK,67,,31.3,6.2,13.4,0.46,,,,6.2,13.4,0.46,0.46,2.2,2.6,0.824,,,3.6,4.0,,,,3.3,14.5,12.4
22,Bill Bridges,PF,30,ATL,82,,39.9,5.4,11.4,0.475,,,,5.4,11.4,0.475,0.475,4.0,5.5,0.734,,,14.4,4.2,,,,3.6,14.8,11.9
23,Em Bryant,PG,31,BOS,71,,22.8,3.0,7.3,0.404,,,,3.0,7.3,0.404,0.404,1.9,2.5,0.746,,,3.8,3.3,,,,2.8,7.8,10.0
25,Fred Carter,SG,24,BAL,76,,16.0,2.1,5.8,0.358,,,,2.1,5.8,0.358,0.358,1.1,1.5,0.69,,,2.5,1.6,,,,1.8,5.2,10.4
26,Wilt Chamberlain*,C,33,LAL,12,,42.1,10.8,18.9,0.568,,,,10.8,18.9,0.568,0.568,5.8,13.1,0.446,,,18.4,4.1,,,,2.6,27.3,20.7
27,Jerry Chambers,SF,26,PHO,79,,14.4,3.6,8.3,0.43,,,,3.6,8.3,0.43,0.43,1.2,1.6,0.728,,,2.8,0.7,,,,2.1,8.3,8.9
