Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,pre_pts
1,Zaid Abdul-Aziz,C,28,HOU,65,,22.3,3.6,8.3,0.437,,,,3.6,8.3,0.437,0.437,2.4,3.1,0.783,2.4,5.1,7.5,1.3,0.6,1.1,,2.0,9.7,3.2
2,Kareem Abdul-Jabbar*,C,27,MIL,65,,42.3,12.5,24.4,0.513,,,,12.5,24.4,0.513,0.513,5.0,6.6,0.763,3.0,11.0,14.0,4.1,1.0,3.3,,3.2,30.0,27.7
3,Don Adams,SF,27,DET,51,,27.0,2.5,6.2,0.403,,,,2.5,6.2,0.403,0.403,0.9,1.5,0.577,1.2,3.5,4.8,1.5,1.4,0.4,,3.5,5.9,3.1
5,Lucius Allen,PG,27,TOT,66,,35.7,7.7,17.7,0.437,,,,7.7,17.7,0.437,0.437,3.6,4.6,0.778,1.4,2.8,4.2,5.6,2.1,0.4,,3.3,19.1,14.7
6,Dan Anderson,SG,24,POR,43,,10.5,1.1,2.4,0.448,,,,1.1,2.4,0.448,0.448,0.6,0.7,0.867,0.2,0.5,0.7,1.9,0.4,0.0,,1.0,2.8,4.4
7,Tiny Archibald*,PG,26,KCO,82,,39.6,9.3,20.3,0.456,,,,9.3,20.3,0.456,0.456,8.0,9.1,0.872,0.6,2.1,2.7,6.8,1.5,0.1,,2.3,26.5,24.8
8,Jim Ard,C,26,BOS,59,,12.2,1.5,4.5,0.335,,,,1.5,4.5,0.335,0.335,0.8,1.1,0.738,1.0,2.4,3.4,0.7,0.2,0.5,,1.6,3.8,3.5
9,Dennis Awtrey,C,26,PHO,82,,34.6,4.1,8.8,0.47,,,,4.1,8.8,0.47,0.47,1.6,2.4,0.677,3.0,5.6,8.6,4.2,0.7,0.6,,2.8,9.9,4.9
10,Gus Bailey,SG,23,HOU,47,,9.5,1.1,2.7,0.405,,,,1.1,2.7,0.405,0.405,0.4,0.9,0.488,0.5,1.3,1.7,1.3,0.4,0.3,,1.1,2.6,2.3
11,Mike Bantom,SF,23,PHO,82,,27.3,5.1,11.1,0.461,,,,5.1,11.1,0.461,0.461,2.3,3.2,0.714,2.6,4.2,6.7,1.9,0.8,0.6,,3.3,12.5,7.9
12,Jim Barnett,SG,30,TOT,73,,24.3,3.9,8.9,0.437,,,,3.9,8.9,0.437,0.437,2.7,3.3,0.836,0.8,1.6,2.5,2.4,0.6,0.2,,2.2,10.5,5.9
13,Rick Barry*,SF,30,GSW,80,,40.4,12.9,27.7,0.464,,,,12.9,27.7,0.464,0.464,4.9,5.5,0.904,1.2,4.6,5.7,6.2,2.9,0.4,,2.8,30.6,21.0
14,Butch Beard,PG,27,GSW,82,,30.7,5.0,9.4,0.528,,,,5.0,9.4,0.528,0.528,2.8,3.4,0.832,1.4,2.4,3.9,4.2,1.6,0.1,,3.6,12.8,8.0
16,Ron Behagen,PF,24,KCO,81,,27.2,4.1,10.3,0.399,,,,4.1,10.3,0.399,0.399,2.5,3.3,0.754,1.8,5.5,7.3,1.9,0.7,0.5,,3.7,10.7,11.5
17,Dennis Bell,SF,23,NYK,52,,8.9,1.3,3.5,0.376,,,,1.3,3.5,0.376,0.376,0.4,0.7,0.556,0.9,1.1,2.0,0.5,0.4,0.2,,1.0,3.0,1.9
19,Leon Benbow,SG,24,CHI,39,,6.5,0.9,2.4,0.372,,,,0.9,2.4,0.372,0.372,0.4,0.5,0.833,0.4,0.6,1.0,0.6,0.3,0.2,,1.1,2.2,7.1
20,Henry Bibby,PG,25,TOT,75,,18.7,3.6,8.3,0.436,,,,3.6,8.3,0.436,0.436,1.8,2.5,0.725,0.6,1.2,1.8,2.4,0.7,0.0,,2.1,9.0,9.3
21,Dave Bing*,PG,31,DET,79,,40.8,7.3,16.9,0.434,,,,7.3,16.9,0.434,0.434,4.3,5.4,0.809,1.1,2.5,3.6,7.7,1.5,0.3,,2.8,19.0,16.2
22,John Block,PF,30,TOT,54,,17.4,2.9,6.4,0.46,,,,2.9,6.4,0.46,0.46,2.1,2.7,0.792,1.3,3.0,4.3,0.9,0.8,0.6,,2.2,8.0,2.0
23,Tom Boerwinkle,C,29,CHI,80,,14.7,1.7,3.4,0.487,,,,1.7,3.4,0.487,0.487,0.9,1.2,0.768,1.3,3.4,4.8,3.4,0.3,0.6,,2.0,4.2,8.8
24,Freddie Boyd,PG,24,PHI,66,,20.6,3.1,7.5,0.414,,,,3.1,7.5,0.414,0.414,0.8,1.7,0.478,0.2,1.1,1.3,2.4,0.7,0.1,,2.0,7.0,4.9
27,Bill Bradley*,SF,31,NYK,79,,35.3,5.7,13.1,0.436,,,,5.7,13.1,0.436,0.436,1.8,2.1,0.873,0.8,2.4,3.2,3.1,0.9,0.2,,3.6,13.3,11.1
28,Jim Brewer,PF,23,CLE,82,,24.3,3.5,7.8,0.455,,,,3.5,7.8,0.455,0.455,1.3,1.9,0.648,2.5,3.7,6.2,1.6,0.9,0.5,,1.8,8.4,11.5
32,Gary Brokaw,SG,21,MIL,73,,22.5,3.2,7.0,0.455,,,,3.2,7.0,0.455,0.455,1.7,2.5,0.685,0.5,1.5,2.0,3.0,0.4,0.2,,2.4,8.1,8.4
33,Fred Brown,SG,26,SEA,81,,33.0,9.1,19.0,0.48,,,,9.1,19.0,0.48,0.48,2.8,3.4,0.831,1.4,2.8,4.2,3.5,2.3,0.2,,2.8,21.0,23.1
