Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,pre_pts
1,Kareem Abdul-Jabbar*,C,31,LAL,80,,39.5,9.7,16.8,0.577,,,,9.7,16.8,0.577,0.577,4.4,5.9,0.736,2.6,10.2,12.8,5.4,1.0,4.0,3.5,2.9,23.8,24.8
2,Tom Abernethy,PF,24,GSW,70,,17.4,2.5,4.9,0.515,,,,2.5,4.9,0.515,0.515,1.0,1.3,0.745,1.1,2.0,3.1,1.1,0.6,0.2,0.5,1.9,6.0,5.4
3,Alvan Adams,C,24,PHO,77,,30.7,7.4,13.9,0.53,,,,7.4,13.9,0.53,0.53,3.0,3.8,0.799,2.9,6.3,9.2,4.7,1.4,0.8,3.6,3.2,17.8,14.9
6,Tiny Archibald*,PG,30,BOS,69,,24.1,3.8,8.3,0.452,,,,3.8,8.3,0.452,0.452,3.5,4.4,0.788,0.4,1.1,1.5,4.7,0.8,0.1,2.9,1.9,11.0,14.1
8,Dennis Awtrey,C,30,TOT,63,,11.8,0.7,1.7,0.411,,,,0.7,1.7,0.411,0.411,0.7,0.9,0.732,0.7,1.7,2.4,1.1,0.3,0.2,0.8,1.7,2.0,3.3
9,Gus Bailey,SG,27,NOJ,2,,4.5,1.0,3.5,0.286,,,,1.0,3.5,0.286,0.286,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,2.0,1.9
10,Greg Ballard,SF,24,WSB,82,,18.9,3.2,6.8,0.465,,,,3.2,6.8,0.465,0.465,1.5,2.1,0.692,1.7,3.7,5.5,1.4,0.7,0.4,1.2,2.0,7.8,15.6
11,Mike Bantom,PF,27,IND,81,,31.2,6.0,12.8,0.465,,,,6.0,12.8,0.465,0.465,2.8,4.2,0.672,2.8,5.2,8.0,2.8,1.2,0.8,2.4,3.9,14.7,11.8
13,Marvin Barnes,PF,26,BOS,38,,20.9,3.5,7.1,0.491,,,,3.5,7.1,0.491,0.491,1.1,1.7,0.652,1.5,3.2,4.7,1.4,1.0,1.0,1.8,3.8,8.1,3.2
14,Rick Barry*,SF,34,HOU,80,,32.1,5.8,12.5,0.461,,,,5.8,12.5,0.461,0.461,2.0,2.1,0.947,0.5,3.0,3.5,6.3,1.2,0.5,2.5,2.4,13.5,12.0
