球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
迈克尔-乔丹,97-98,公牛,82,82,38.8,0.465,10.7,23.1,0.238,0.4,1.5,0.784,6.9,8.8,5.8,1.6,4.2,3.5,1.7,0.5,2.3,1.8,28.7,62,20
沙奎尔-奥尼尔,97-98,湖人,60,57,36.3,0.584,11.2,19.1,-0.01,0.0,0.0,0.527,6.0,11.4,11.4,3.5,7.9,2.4,0.7,2.4,2.9,3.2,28.3,46,14
卡尔-马龙,97-98,爵士,81,81,37.4,0.53,9.6,18.2,0.333,0.0,0.1,0.761,7.8,10.2,10.3,2.3,8.0,3.9,1.2,0.9,3.0,2.9,27.0,61,20
格伦-罗宾逊,97-98,雄鹿,56,56,41.0,0.47,9.5,20.3,0.385,0.4,1.2,0.808,3.8,4.8,5.5,1.5,4.0,2.8,1.2,0.6,3.6,2.9,23.4,29,27
米奇-里奇蒙德,97-98,国王,70,70,36.7,0.445,7.8,17.4,0.389,1.9,4.8,0.864,5.8,6.7,3.3,0.7,2.6,4.0,1.3,0.2,2.6,2.2,23.2,26,44
安托万-沃克,97-98,凯尔特,82,82,39.9,0.423,8.8,20.8,0.312,1.1,3.6,0.645,3.7,5.8,10.2,3.3,6.9,3.3,1.7,0.7,3.6,3.2,22.4,36,46
谢里夫-阿布杜-拉希姆,97-98,灰熊,82,82,36.0,0.485,8.0,16.4,0.412,0.3,0.6,0.784,6.1,7.8,7.1,2.8,4.3,2.6,1.1,0.9,3.1,2.5,22.3,19,63
格伦-莱斯,97-98,黄蜂,82,82,40.2,0.457,7.7,16.9,0.433,1.6,3.7,0.849,5.2,6.1,4.3,1.1,3.2,2.2,0.9,0.3,2.2,2.4,22.3,51,31
阿伦-艾弗森,97-98,76人,80,80,39.4,0.461,8.1,17.6,0.298,0.9,2.9,0.729,4.9,6.7,3.7,1.1,2.6,6.2,2.2,0.3,3.1,2.5,22.0,31,49
克里斯-韦伯,97-98,奇才,71,71,39.6,0.482,9.1,18.9,0.317,0.9,2.9,0.589,2.8,4.7,9.5,2.5,7.0,3.8,1.6,1.7,2.6,3.8,21.9,39,32
