球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
保罗-阿里金,51-52,勇士,66,-1.0,44.5,0.448,8.3,18.5,-0.01,-1.0,-1.0,0.818,8.8,10.7,11.3,-1.0,-1.0,2.6,-1.0,-1.0,-1.0,3.8,25.4,-1.0,-1.0
乔治-迈肯,51-52,老湖人,64,-1.0,40.2,0.385,8.5,22.1,-0.01,-1.0,-1.0,0.78,6.8,8.7,13.5,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,4.5,23.8,-1.0,-1.0
鲍勃-库西,51-52,凯尔特,66,-1.0,40.6,0.369,7.8,21.0,-0.01,-1.0,-1.0,0.808,6.2,7.7,6.4,-1.0,-1.0,6.7,-1.0,-1.0,-1.0,2.9,21.7,-1.0,-1.0
艾德-麦考雷,51-52,凯尔特,66,-1.0,39.9,0.432,5.8,13.5,-0.01,-1.0,-1.0,0.799,7.5,9.4,8.0,-1.0,-1.0,3.5,-1.0,-1.0,-1.0,2.6,19.2,-1.0,-1.0
鲍伯-戴维斯,51-52,皇家,65,-1.0,36.8,0.383,5.8,15.2,-0.01,-1.0,-1.0,0.776,4.5,5.8,2.9,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,4.1,16.2,-1.0,-1.0
Frankie Brian,51-52,活塞,66,-1.0,40.5,0.352,5.2,14.7,-0.01,-1.0,-1.0,0.848,5.6,6.6,3.5,-1.0,-1.0,3.5,-1.0,-1.0,-1.0,3.3,15.9,-1.0,-1.0
拉里-福斯特,51-52,活塞,66,-1.0,39.6,0.394,5.9,15.0,-0.01,-1.0,-1.0,0.678,4.0,6.0,13.3,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,3.7,15.9,-1.0,-1.0
鲍比-温泽尔,51-52,皇家,66,-1.0,37.8,0.425,5.0,11.7,-0.01,-1.0,-1.0,0.904,5.7,6.3,5.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,3.0,15.7,-1.0,-1.0
阿尔尼-李森,51-52,皇家,66,-1.0,36.3,0.394,5.5,14.0,-0.01,-1.0,-1.0,0.701,4.6,6.5,12.7,-1.0,-1.0,2.3,-1.0,-1.0,-1.0,3.9,15.6,-1.0,-1.0
吉姆-波拉德,51-52,老湖人,65,-1.0,39.2,0.356,6.3,17.8,-0.01,-1.0,-1.0,0.704,2.8,4.0,9.1,-1.0,-1.0,3.6,-1.0,-1.0,-1.0,3.1,15.5,-1.0,-1.0
沃恩-米克尔森,51-52,老湖人,66,-1.0,35.5,0.419,5.5,13.1,-0.01,-1.0,-1.0,0.761,4.3,5.6,10.3,-1.0,-1.0,2.7,-1.0,-1.0,-1.0,4.3,15.3,-1.0,-1.0
乔-福尔克斯,51-52,勇士,61,-1.0,31.2,0.312,5.5,17.7,-0.01,-1.0,-1.0,0.825,4.1,5.0,6.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,4.2,15.1,-1.0,-1.0
Fred Scolari,51-52,子弹,64,-1.0,35.0,0.334,4.5,13.5,-0.01,-1.0,-1.0,0.835,5.5,6.6,3.3,-1.0,-1.0,4.7,-1.0,-1.0,-1.0,3.3,14.6,-1.0,-1.0
马克斯尔-扎斯洛夫斯基,51-52,尼克斯,66,-1.0,32.0,0.336,4.9,14.5,-0.01,-1.0,-1.0,0.755,4.3,5.8,2.9,-1.0,-1.0,2.4,-1.0,-1.0,-1.0,2.8,14.1,-1.0,-1.0
弗莱德-谢奥斯,51-52,活塞,62,-1.0,41.6,0.361,4.5,12.5,-0.01,-1.0,-1.0,0.833,5.0,6.0,7.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,3.6,14.1,-1.0,-1.0
多尔夫-谢伊斯,51-52,国民,63,-1.0,31.8,0.355,4.2,11.7,-0.01,-1.0,-1.0,0.807,5.4,6.7,12.3,-1.0,-1.0,2.9,-1.0,-1.0,-1.0,3.4,13.8,-1.0,-1.0
