球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
安德鲁-德克勒克,98-99,-1,47,32,23.4,0.5,2.9,5.9,-0.01,0.0,0.0,0.674,2.0,3.0,5.4,2.2,3.2,0.7,1.1,0.6,1.1,3.4,7.9,20,27
史蒂夫-纳什,98-99,独行侠,40,40,31.7,0.363,2.9,7.9,0.374,1.2,3.3,0.826,1.0,1.2,2.9,0.8,2.1,5.5,0.9,0.1,2.1,2.5,7.9,13,27
比利-欧文斯,98-99,超音速,21,19,21.5,0.394,3.1,7.9,0.455,0.2,0.5,0.8,1.3,1.7,3.8,1.7,2.1,1.8,0.6,0.2,1.6,1.8,7.8,9,12
卡尔伯特-钱尼,98-99,奇才,50,18,25.3,0.414,3.4,8.3,0.216,0.2,0.7,0.493,0.7,1.3,2.8,0.7,2.2,1.5,0.8,0.3,0.8,2.9,7.7,18,32
奥尔登-波利尼斯,98-99,超音速,48,47,30.9,0.472,3.5,7.5,1.0,0.0,0.0,0.309,0.6,2.0,8.9,3.8,5.0,0.9,0.4,0.6,1.0,3.1,7.7,23,25
马克-杰克逊,98-99,步行者,49,49,28.2,0.419,2.8,6.7,0.311,0.7,2.1,0.823,1.3,1.6,3.8,0.7,3.1,7.9,0.9,0.1,2.0,1.2,7.6,32,17
克里斯汀-莱特纳,98-99,活塞,16,0,21.1,0.358,2.4,6.6,0.333,0.1,0.2,0.772,2.8,3.6,3.4,1.3,2.1,1.5,0.9,0.8,1.2,1.9,7.6,13,3
查理-沃德,98-99,尼克斯,50,50,31.1,0.404,2.7,6.7,0.356,1.1,3.0,0.705,1.1,1.6,3.4,0.5,3.0,5.4,2.1,0.2,2.6,2.1,7.6,27,23
埃里克-斯特里克兰,98-99,独行侠,33,2,17.2,0.403,2.7,6.7,0.305,0.5,1.8,0.815,1.6,2.0,2.5,0.4,2.2,1.9,1.2,0.1,1.1,1.3,7.5,10,23
特伊隆-科尔宾,98-99,老鹰,47,6,22.7,0.391,2.8,7.1,0.319,0.8,2.5,0.65,1.1,1.7,3.1,0.8,2.3,0.9,0.7,0.1,0.9,1.6,7.5,30,17
罗德尼-罗杰斯,98-99,快船,47,7,20.6,0.441,2.8,6.3,0.286,0.4,1.3,0.673,1.4,2.1,3.8,1.4,2.4,1.6,1.0,0.5,1.4,3.0,7.4,8,39
霍华德-埃斯利,98-99,爵士,50,0,20.8,0.446,2.8,6.3,0.42,0.4,1.0,0.838,1.3,1.6,1.9,0.2,1.6,3.7,0.6,0.0,2.2,2.4,7.4,37,13
布伦特-普莱斯,98-99,火箭,40,6,20.2,0.483,2.5,5.2,0.411,1.2,2.8,0.754,1.2,1.5,2.0,0.5,1.5,2.8,0.8,0.0,1.6,2.3,7.3,26,14
埃里克-威廉姆斯,98-99,掘金,38,8,20.5,0.365,2.1,5.8,0.231,0.2,0.7,0.799,2.9,3.7,2.1,0.9,1.2,1.0,0.7,0.2,1.3,2.0,7.3,11,27
科里-亚历山大,98-99,掘金,36,4,21.6,0.373,2.7,7.2,0.286,0.8,2.9,0.841,1.0,1.2,2.1,0.2,1.9,3.3,1.0,0.1,1.9,2.1,7.3,9,27
蒂姆-托马斯,98-99,-1,50,26,16.2,0.473,2.6,5.6,0.309,0.4,1.4,0.652,1.5,2.2,2.5,1.0,1.5,0.9,0.5,0.2,0.9,2.1,7.2,26,24
马库斯-坎比,98-99,尼克斯,46,0,20.5,0.521,3.0,5.7,-0.01,0.0,0.0,0.553,1.2,2.2,5.5,2.2,3.3,0.3,0.6,1.6,0.8,2.8,7.2,27,19
杰罗姆-威廉姆斯,98-99,活塞,50,10,23.1,0.5,2.5,5.0,-0.01,0.0,0.0,0.673,2.1,3.2,7.0,3.2,3.8,0.5,1.3,0.1,0.8,2.2,7.1,29,21
特拉维斯-贝斯特,98-99,步行者,49,0,21.3,0.416,2.6,6.2,0.373,0.4,1.2,0.843,1.4,1.7,1.6,0.4,1.2,3.4,0.9,0.1,1.3,2.3,7.1,33,16
鲍比-杰克逊,98-99,森林狼,50,12,18.8,0.405,2.8,7.0,0.37,0.2,0.5,0.772,1.2,1.6,2.7,0.9,1.8,3.3,0.8,0.1,1.5,1.5,7.1,25,25
丹-马尔利,98-99,热火,48,48,33.8,0.396,2.5,6.2,0.335,1.4,4.2,0.717,0.7,1.0,4.3,0.4,3.9,3.1,0.8,0.1,1.1,2.1,7.0,32,16
丹尼-费里,98-99,骑士,50,10,21.2,0.476,2.8,5.9,0.392,0.8,1.9,0.879,0.6,0.7,2.0,0.3,1.7,1.1,0.5,0.2,0.8,2.3,7.0,22,28
查尔斯-奥克利,98-99,猛龙,50,50,32.7,0.428,2.8,6.5,0.2,0.0,0.1,0.807,1.3,1.7,7.5,1.9,5.6,3.4,0.9,0.4,1.9,3.6,7.0,23,27
布莱恩特-斯蒂奇,98-99,掘金,46,32,26.0,0.393,2.5,6.3,0.292,0.7,2.3,0.859,1.3,1.5,2.3,0.7,1.7,1.8,0.6,0.3,1.0,1.4,7.0,13,33
海伍德-沃克曼,98-99,雄鹿,29,29,28.1,0.429,2.5,5.9,0.362,0.6,1.6,0.787,1.3,1.6,3.5,0.5,3.0,5.9,1.1,0.0,2.2,1.8,6.9,16,13
德里克-哈珀,98-99,湖人,45,29,24.9,0.412,2.7,6.5,0.368,1.0,2.6,0.813,0.6,0.7,1.5,0.3,1.2,4.2,1.0,0.1,1.2,1.5,6.9,29,16
克里斯-克劳福德,98-99,老鹰,42,30,18.7,0.431,2.6,6.1,0.333,0.3,0.8,0.814,1.4,1.7,2.1,0.9,1.3,0.6,0.2,0.3,1.1,2.5,6.9,27,15
克里斯-柴尔斯,98-99,尼克斯,48,0,27.0,0.427,2.4,5.6,0.383,0.8,2.0,0.821,1.3,1.6,2.8,0.4,2.4,4.0,0.9,0.0,1.8,3.3,6.8,25,23
