球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
迈克尔-乔丹,88-89,公牛,81,81,40.2,0.538,11.9,22.2,0.276,0.3,1.2,0.85,8.3,9.8,8.0,1.8,6.2,8.0,2.9,0.8,3.6,3.0,32.5,47.0,34.0
卡尔-马龙,88-89,爵士,80,80,39.1,0.519,10.1,19.5,0.313,0.1,0.2,0.766,8.8,11.5,10.7,3.2,7.4,2.7,1.8,0.9,3.6,3.6,29.1,50.0,30.0
达勒-艾利斯,88-89,超音速,82,82,38.9,0.501,10.5,20.9,0.478,2.0,4.1,0.816,4.6,5.6,4.2,1.9,2.3,2.0,1.3,0.3,2.7,2.4,27.5,47.0,35.0
克莱德-德雷克斯勒,88-89,开拓者,78,78,39.3,0.496,10.6,21.4,0.26,0.3,1.3,0.799,5.6,7.0,7.9,3.7,4.2,5.8,2.7,0.7,3.2,3.4,27.2,38.0,40.0
克里斯-穆林,88-89,勇士,82,82,37.7,0.509,10.1,19.9,0.23,0.3,1.2,0.892,6.0,6.7,5.9,1.9,4.0,5.1,2.1,0.5,3.6,2.2,26.5,43.0,39.0
阿历克斯-英格利什,88-89,掘金,82,82,36.5,0.491,11.3,22.9,0.25,0.0,0.1,0.858,4.0,4.6,4.0,1.8,2.2,4.7,0.8,0.1,2.4,2.1,26.5,44.0,38.0
多米尼克-威尔金斯,88-89,老鹰,80,80,37.5,0.464,10.2,22.0,0.276,0.4,1.3,0.844,5.5,6.6,6.9,3.2,3.7,2.6,1.5,0.7,2.3,1.7,26.2,51.0,29.0
查尔斯-巴克利,88-89,76人,79,79,39.1,0.579,8.9,15.3,0.216,0.4,2.1,0.753,7.6,10.1,12.5,5.1,7.4,4.1,1.6,0.8,3.2,3.3,25.8,44.0,35.0
汤姆-钱伯斯,88-89,太阳,81,81,37.1,0.471,9.6,20.3,0.326,0.3,1.1,0.851,6.3,7.4,8.4,1.8,6.7,2.9,1.1,0.7,2.9,3.3,25.7,54.0,27.0
哈基姆-奥拉朱旺,88-89,火箭,82,82,36.9,0.508,9.6,19.0,0.0,0.0,0.1,0.696,5.5,8.0,13.5,4.1,9.4,1.8,2.6,3.4,3.4,4.0,24.8,45.0,37.0
特里-卡明斯,88-89,雄鹿,80,78,35.3,0.467,9.1,19.5,0.467,0.1,0.2,0.787,4.5,5.8,8.1,3.5,4.6,2.5,1.3,0.9,2.5,3.3,22.9,48.0,32.0
帕特里克-尤因,88-89,尼克斯,80,80,36.2,0.567,9.1,16.0,0.0,0.0,0.1,0.746,4.5,6.1,9.3,2.7,6.6,2.4,1.5,3.5,3.3,3.9,22.7,50.0,30.0
凯利-特里普卡,88-89,黄蜂,71,65,32.4,0.467,8.0,17.1,0.357,0.4,1.2,0.866,6.2,7.2,3.8,1.1,2.6,3.2,1.2,0.2,3.3,2.8,22.6,17.0,54.0
凯文-麦克海尔,88-89,凯尔特,78,74,36.9,0.546,8.5,15.5,0.0,0.0,0.1,0.818,5.6,6.8,8.2,2.9,5.3,2.2,0.3,1.2,2.5,2.9,22.5,40.0,38.0
埃尔文-约翰逊,88-89,湖人,77,77,37.5,0.509,7.5,14.8,0.314,0.8,2.4,0.911,6.7,7.3,7.9,1.4,6.4,12.8,1.8,0.3,4.1,2.2,22.5,54.0,23.0
