球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
鲍勃-佩蒂特,55-56,老鹰,72,-1.0,38.8,0.429,9.0,20.9,-0.01,-1.0,-1.0,0.736,7.7,10.5,16.2,-1.0,-1.0,2.6,-1.0,-1.0,-1.0,2.8,25.7,-1.0,-1.0
保罗-阿里金,55-56,勇士,72,-1.0,37.8,0.448,8.6,19.1,-0.01,-1.0,-1.0,0.81,7.0,8.7,7.5,-1.0,-1.0,2.6,-1.0,-1.0,-1.0,3.9,24.2,-1.0,-1.0
奈伊尔-约翰斯顿,55-56,勇士,70,-1.0,37.1,0.457,7.1,15.6,-0.01,-1.0,-1.0,0.801,7.8,9.8,12.5,-1.0,-1.0,3.2,-1.0,-1.0,-1.0,3.6,22.1,-1.0,-1.0
克莱德-拉福莱特,55-56,老湖人,71,-1.0,35.5,0.434,8.4,19.3,-0.01,-1.0,-1.0,0.721,4.8,6.6,14.0,-1.0,-1.0,2.3,-1.0,-1.0,-1.0,3.5,21.5,-1.0,-1.0
多尔夫-谢伊斯,55-56,国民,72,-1.0,35.0,0.387,6.5,16.7,-0.01,-1.0,-1.0,0.858,7.5,8.8,12.4,-1.0,-1.0,2.8,-1.0,-1.0,-1.0,3.5,20.4,-1.0,-1.0
比尔-沙尔曼,55-56,凯尔特,72,-1.0,37.5,0.438,7.5,17.1,-0.01,-1.0,-1.0,0.867,5.0,5.7,3.6,-1.0,-1.0,4.7,-1.0,-1.0,-1.0,2.7,19.9,-1.0,-1.0
鲍勃-库西,55-56,凯尔特,72,-1.0,38.4,0.36,6.1,17.0,-0.01,-1.0,-1.0,0.844,6.6,7.8,6.8,-1.0,-1.0,8.9,-1.0,-1.0,-1.0,2.9,18.8,-1.0,-1.0
艾德-麦考雷,55-56,凯尔特,71,-1.0,33.2,0.422,5.9,14.0,-0.01,-1.0,-1.0,0.794,5.6,7.1,5.9,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,2.2,17.5,-1.0,-1.0
乔治-亚德利,55-56,活塞,71,-1.0,33.1,0.407,6.1,15.0,-0.01,-1.0,-1.0,0.742,5.1,6.9,9.7,-1.0,-1.0,2.2,-1.0,-1.0,-1.0,3.0,17.4,-1.0,-1.0
莫里斯-斯托克斯,55-56,皇家,67,-1.0,34.7,0.354,6.0,17.0,-0.01,-1.0,-1.0,0.714,4.8,6.7,16.3,-1.0,-1.0,4.9,-1.0,-1.0,-1.0,4.1,16.8,-1.0,-1.0
