球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
德维恩-韦德,08-09,热火,79,79,38.6,0.491,10.8,22.0,0.317,1.1,3.5,0.765,7.5,9.8,5.0,1.1,3.9,7.5,2.2,1.3,3.4,2.3,30.2,42,37
勒布朗-詹姆斯,08-09,骑士,81,81,37.7,0.489,9.7,19.9,0.344,1.6,4.7,0.78,7.3,9.4,7.6,1.3,6.3,7.2,1.7,1.1,3.0,1.7,28.4,66,15
科比-布莱恩特,08-09,湖人,82,82,36.1,0.467,9.8,20.9,0.351,1.4,4.1,0.856,5.9,6.9,5.2,1.1,4.1,4.9,1.5,0.5,2.6,2.3,26.8,65,17
德克-诺维茨基,08-09,独行侠,81,81,37.7,0.479,9.6,20.0,0.359,0.8,2.1,0.89,6.0,6.7,8.4,1.1,7.3,2.4,0.8,0.8,1.9,2.2,25.9,49,32
丹尼-格兰杰,08-09,步行者,67,66,36.2,0.447,8.5,19.1,0.404,2.7,6.7,0.878,6.0,6.9,5.1,0.7,4.4,2.7,1.0,1.4,2.5,3.1,25.8,27,40
凯文-杜兰特,08-09,雷霆,74,74,39.0,0.476,8.9,18.8,0.422,1.3,3.1,0.863,6.1,7.1,6.5,1.0,5.5,2.8,1.3,0.7,3.0,1.8,25.3,18,56
凯文-马丁,08-09,国王,51,46,38.2,0.42,6.7,15.9,0.415,2.3,5.4,0.867,9.0,10.3,3.6,0.6,3.0,2.7,1.2,0.2,2.9,2.3,24.6,12,39
艾尔-杰弗森,08-09,森林狼,50,50,36.7,0.497,9.7,19.5,0.0,0.0,0.1,0.738,3.7,5.0,11.0,3.4,7.5,1.6,0.8,1.7,1.8,2.8,23.1,17,33
克里斯-保罗,08-09,鹈鹕,78,78,38.5,0.503,8.1,16.1,0.364,0.8,2.3,0.868,5.8,6.7,5.5,0.9,4.7,11.0,2.8,0.1,3.0,2.7,22.8,47,31
卡梅罗-安东尼,08-09,掘金,66,66,34.5,0.443,8.1,18.3,0.371,1.0,2.6,0.793,5.6,7.1,6.8,1.6,5.2,3.4,1.1,0.4,3.0,3.0,22.8,45,21
克里斯-波什,08-09,猛龙,77,77,38.0,0.487,8.0,16.4,0.245,0.2,0.6,0.817,6.5,8.0,10.0,2.8,7.2,2.5,0.9,1.0,2.3,2.5,22.7,31,46
布兰登-罗伊,08-09,开拓者,78,78,37.2,0.48,8.1,16.9,0.377,1.1,2.8,0.824,5.3,6.5,4.7,1.3,3.4,5.1,1.1,0.3,1.9,1.6,22.6,52,26
安托万-贾米森,08-09,奇才,81,81,38.2,0.468,8.3,17.8,0.351,1.4,3.9,0.754,4.2,5.6,8.9,2.4,6.5,1.9,1.2,0.3,1.5,2.7,22.2,19,62
托尼-帕克,08-09,马刺,72,71,34.1,0.506,8.9,17.5,0.292,0.3,0.9,0.782,3.9,5.0,3.1,0.4,2.7,6.9,0.9,0.1,2.6,1.5,22.0,47,25
阿玛雷-斯塔德迈尔,08-09,太阳,53,53,36.8,0.539,7.6,14.1,0.429,0.1,0.1,0.835,6.1,7.3,8.1,2.2,5.9,2.0,0.9,1.1,2.8,3.1,21.4,30,23
乔-约翰逊,08-09,老鹰,79,79,39.5,0.437,7.8,18.0,0.36,1.9,5.2,0.826,3.8,4.6,4.4,0.8,3.6,5.8,1.1,0.2,2.5,2.2,21.4,45,34
德文-哈里斯,08-09,篮网,69,69,36.1,0.438,6.6,15.1,0.291,0.9,3.2,0.82,7.2,8.8,3.3,0.4,2.9,6.9,1.7,0.2,3.1,2.4,21.3,30,39
迈克尔-里德,08-09,雄鹿,33,32,36.5,0.455,7.5,16.6,0.366,2.1,5.8,0.814,4.0,4.9,3.2,0.7,2.5,2.7,1.1,0.1,1.6,1.4,21.2,17,16
大卫-韦斯特,08-09,鹈鹕,76,76,39.2,0.472,8.0,17.0,0.24,0.1,0.3,0.884,4.8,5.5,8.5,2.1,6.4,2.3,0.6,0.9,2.1,2.7,21.0,45,31
扎克-兰多夫,08-09,-1,50,45,35.1,0.475,8.3,17.5,0.33,0.6,1.9,0.734,3.6,4.9,10.1,3.1,6.9,2.1,0.9,0.3,2.3,2.7,20.8,19,31
卡隆-巴特勒,08-09,奇才,67,67,38.6,0.453,7.3,16.2,0.31,1.0,3.1,0.858,5.1,6.0,6.2,1.8,4.4,4.3,1.6,0.3,3.1,2.5,20.8,15,52
文斯-卡特,08-09,篮网,80,80,36.8,0.437,7.4,16.8,0.385,1.9,4.9,0.817,4.2,5.1,5.1,0.9,4.2,4.7,1.0,0.5,2.1,2.9,20.8,34,46
斯蒂芬-杰克逊,08-09,勇士,59,59,39.6,0.414,7.0,16.9,0.338,1.7,5.2,0.826,5.0,6.0,5.1,1.2,3.9,6.5,1.5,0.5,3.9,2.6,20.7,21,38
本-戈登,08-09,公牛,82,76,36.6,0.455,7.3,16.0,0.41,2.1,5.1,0.864,4.0,4.7,3.5,0.6,2.8,3.4,0.9,0.3,2.4,2.2,20.7,41,41
德怀特-霍华德,08-09,魔术,79,79,35.7,0.572,7.1,12.4,0.0,0.0,0.0,0.594,6.4,10.7,13.8,4.3,9.6,1.4,1.0,2.9,3.0,3.4,20.6,57,22
保罗-皮尔斯,08-09,凯尔特,81,81,37.5,0.457,6.7,14.6,0.391,1.5,3.8,0.83,5.7,6.8,5.6,0.7,5.0,3.6,1.0,0.3,2.8,2.7,20.5,61,20
艾尔-哈灵顿,08-09,-1,73,56,34.9,0.439,7.3,16.6,0.364,2.3,6.4,0.793,3.2,4.0,6.2,1.4,4.9,1.4,1.2,0.3,2.2,3.1,20.1,27,46
贾马尔-克劳福德,08-09,-1,65,65,38.1,0.41,6.4,15.7,0.36,2.2,6.1,0.872,4.6,5.3,3.0,0.4,2.6,4.4,0.9,0.2,2.3,1.4,19.7,25,40
姚明,08-09,火箭,77,77,33.6,0.548,7.4,13.4,1.0,0.0,0.0,0.866,4.9,5.7,9.9,2.6,7.2,1.8,0.4,1.9,3.0,3.3,19.7,50,27
理查德-杰弗森,08-09,雄鹿,82,82,35.8,0.439,6.5,14.9,0.397,1.4,3.6,0.805,5.1,6.3,4.6,0.7,3.9,2.4,0.8,0.2,2.0,3.1,19.6,34,48
杰森-特里,08-09,独行侠,74,11,33.7,0.463,7.3,15.8,0.366,2.3,6.2,0.88,2.7,3.0,2.4,0.5,1.9,3.4,1.3,0.3,1.6,1.9,19.6,45,29
德隆-威廉姆斯,08-09,爵士,68,68,36.8,0.471,6.8,14.5,0.31,1.0,3.3,0.849,4.8,5.6,2.9,0.4,2.5,10.7,1.1,0.3,3.4,2.0,19.4,39,29
蒂姆-邓肯,08-09,马刺,75,75,33.6,0.504,7.4,14.8,0.0,0.0,0.0,0.692,4.5,6.4,10.7,2.7,8.0,3.5,0.5,1.7,2.2,2.3,19.3,49,26
蒙塔-艾利斯,08-09,勇士,25,25,35.7,0.451,7.8,17.2,0.308,0.3,1.0,0.83,3.1,3.8,4.3,0.6,3.8,3.7,1.6,0.3,2.7,2.7,19.0,12,13
鲁迪-盖伊,08-09,灰熊,79,78,37.3,0.453,7.2,16.0,0.351,1.1,3.1,0.767,3.3,4.4,5.5,1.4,4.2,1.7,1.2,0.7,2.6,2.8,18.9,22,57
保罗-加索尔,08-09,湖人,81,81,37.0,0.567,7.3,12.9,0.5,0.0,0.0,0.781,4.2,5.4,9.6,3.2,6.4,3.5,0.6,1.0,1.9,2.1,18.9,64,17
安德烈-伊格达拉,08-09,76人,82,82,39.9,0.473,6.6,14.0,0.307,1.0,3.2,0.724,4.6,6.4,5.7,1.1,4.6,5.3,1.6,0.4,2.7,1.9,18.8,41,41
科里-马盖蒂,08-09,勇士,51,19,31.1,0.461,5.7,12.4,0.253,0.5,1.9,0.824,6.7,8.1,5.5,1.0,4.6,1.8,0.9,0.2,2.4,3.8,18.6,18,33
O.J.-梅奥,08-09,灰熊,82,82,38.0,0.438,6.9,15.6,0.384,1.8,4.6,0.879,3.0,3.4,3.8,0.7,3.1,3.2,1.1,0.2,2.8,2.5,18.5,24,58
约翰-萨尔蒙斯,08-09,-1,79,74,37.5,0.472,6.5,13.8,0.417,1.6,3.8,0.83,3.6,4.4,4.2,0.7,3.5,3.2,1.1,0.3,2.1,2.3,18.3,27,52
理查德-汉密尔顿,08-09,活塞,67,51,34.0,0.447,7.0,15.6,0.368,1.0,2.8,0.848,3.3,3.9,3.1,0.7,2.4,4.4,0.6,0.1,2.0,2.6,18.3,32,35
雷-阿伦,08-09,凯尔特,79,79,36.4,0.48,6.3,13.2,0.409,2.5,6.2,0.952,3.0,3.2,3.5,0.8,2.7,2.8,0.9,0.2,1.7,2.0,18.2,59,20
拉玛库斯-阿尔德里奇,08-09,开拓者,81,81,37.1,0.484,7.4,15.3,0.25,0.1,0.3,0.781,3.2,4.1,7.5,2.9,4.6,1.9,1.0,1.0,1.5,2.6,18.1,54,27
约什-霍华德,08-09,独行侠,52,51,32.0,0.451,6.8,15.1,0.345,1.1,3.2,0.782,3.3,4.2,5.1,1.1,3.9,1.6,1.1,0.6,1.7,2.6,18.0,33,19
莫里斯-威廉姆斯,08-09,骑士,81,81,35.0,0.467,6.5,13.9,0.436,2.3,5.2,0.912,2.6,2.8,3.4,0.6,2.9,4.1,0.9,0.1,2.2,2.7,17.8,66,15
沙奎尔-奥尼尔,08-09,太阳,75,75,30.0,0.609,6.8,11.2,0.0,0.0,0.0,0.595,4.1,6.9,8.4,2.5,5.9,1.7,0.7,1.4,2.2,3.4,17.8,44,31
拉沙德-刘易斯,08-09,魔术,79,79,36.2,0.439,6.1,13.8,0.397,2.8,7.0,0.836,2.8,3.4,5.7,1.2,4.6,2.6,1.0,0.6,2.0,2.5,17.7,58,21
昌西-比卢普斯,08-09,-1,79,79,35.3,0.418,5.2,12.4,0.408,2.1,5.0,0.913,5.3,5.8,3.0,0.4,2.6,6.4,1.2,0.2,2.2,2.0,17.7,54,25
阿伦-艾弗森,08-09,-1,57,53,36.7,0.417,6.1,14.6,0.283,0.5,1.7,0.781,4.8,6.1,3.0,0.5,2.5,5.0,1.5,0.1,2.6,1.5,17.5,25,32
内特-罗宾逊,08-09,尼克斯,74,11,29.9,0.437,6.1,13.9,0.325,1.7,5.2,0.841,3.4,4.0,3.9,1.3,2.6,4.1,1.3,0.1,1.9,2.8,17.2,28,46
梅塔-沃尔德皮斯,08-09,火箭,69,55,35.5,0.401,6.0,15.0,0.399,2.2,5.6,0.748,2.8,3.8,5.2,0.9,4.3,3.3,1.5,0.3,2.0,2.2,17.1,47,22
梅米特-奥库,08-09,爵士,72,72,33.5,0.485,6.0,12.3,0.446,1.3,2.8,0.817,3.8,4.6,7.7,1.7,6.0,1.7,0.8,0.7,1.8,3.0,17.0,44,28
杰森-理查德森,08-09,-1,72,71,33.5,0.477,6.5,13.5,0.397,1.8,4.5,0.769,2.1,2.8,4.4,1.1,3.4,2.0,1.1,0.4,1.3,2.0,16.8,37,35
艾尔-索顿,08-09,快船,71,67,37.4,0.446,6.6,14.8,0.253,0.3,1.1,0.754,3.3,4.4,5.2,1.7,3.5,1.5,0.8,0.9,1.8,3.2,16.8,16,55
