球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
伯纳德-金,84-85,尼克斯,55,55,37.5,0.53,12.6,23.7,0.1,0.0,0.2,0.772,7.7,10.0,5.8,2.1,3.7,3.7,1.3,0.3,3.7,3.5,32.9,-1.0,-1.0
拉里-伯德,84-85,凯尔特,80,77,39.5,0.522,11.5,22.0,0.427,0.7,1.6,0.882,5.0,5.7,10.5,2.1,8.5,6.6,1.6,1.2,3.1,2.6,28.7,-1.0,-1.0
迈克尔-乔丹,84-85,公牛,82,82,38.3,0.515,10.2,19.8,0.173,0.1,0.6,0.845,7.7,9.1,6.5,2.0,4.5,5.9,2.4,0.8,3.5,3.5,28.2,-1.0,-1.0
普维斯-绍特,84-85,勇士,78,77,39.5,0.46,10.5,22.8,0.313,0.6,1.9,0.817,6.4,7.9,5.1,2.0,3.1,3.0,1.5,0.3,3.1,3.3,28.0,-1.0,-1.0
阿历克斯-英格利什,84-85,掘金,81,81,36.1,0.518,11.6,22.4,0.2,0.0,0.1,0.829,4.7,5.7,5.7,2.5,3.1,4.2,1.2,0.6,3.1,3.2,27.9,-1.0,-1.0
多米尼克-威尔金斯,84-85,老鹰,81,81,37.3,0.451,10.5,23.3,0.309,0.3,1.0,0.806,6.0,7.4,6.9,2.8,4.1,2.5,1.7,0.7,2.8,2.1,27.4,-1.0,-1.0
阿德里安-丹特利,84-85,爵士,55,46,35.8,0.531,9.3,17.5,-0.01,0.0,0.0,0.804,8.0,9.9,5.9,2.7,3.2,3.4,1.0,0.1,3.1,2.4,26.6,-1.0,-1.0
马克-阿吉雷,84-85,独行侠,80,79,33.7,0.506,9.9,19.6,0.318,0.3,1.1,0.759,5.5,7.3,6.0,2.4,3.6,3.1,0.8,0.3,3.2,3.1,25.7,-1.0,-1.0
摩西-马龙,84-85,76人,79,79,37.4,0.469,7.6,16.3,0.0,0.0,0.0,0.815,9.3,11.4,13.1,4.9,8.2,1.6,0.8,1.6,3.6,2.7,24.6,-1.0,-1.0
特里-卡明斯,84-85,雄鹿,79,78,34.5,0.495,9.6,19.4,0.0,0.0,0.0,0.741,4.3,5.9,9.1,3.1,6.0,2.9,1.5,0.8,2.4,3.3,23.6,-1.0,-1.0
凯尔文-奈特,84-85,掘金,78,76,34.1,0.546,8.8,16.1,0.0,0.0,0.0,0.793,5.7,7.2,7.8,2.7,5.1,3.1,1.0,0.4,2.4,2.3,23.3,-1.0,-1.0
奥兰多-乌尔里奇,84-85,公牛,77,76,36.6,0.554,8.8,15.9,0.0,0.0,0.1,0.785,5.3,6.8,5.6,2.1,3.6,1.8,0.8,0.5,2.3,2.4,22.9,-1.0,-1.0
埃迪-约翰逊,84-85,国王,82,81,36.9,0.491,9.4,19.1,0.241,0.2,0.7,0.871,4.0,4.5,5.0,1.8,3.1,3.3,1.0,0.3,2.7,2.9,22.9,-1.0,-1.0
达内尔-格里菲斯,84-85,爵士,78,78,35.6,0.457,9.3,20.4,0.358,1.2,3.3,0.725,2.8,3.8,4.4,1.6,2.8,3.1,1.7,0.4,3.2,2.3,22.6,-1.0,-1.0
沃尔德-B-弗里,84-85,骑士,71,50,31.7,0.459,8.6,18.7,0.368,1.0,2.7,0.749,4.3,5.8,3.0,0.9,2.1,4.5,1.1,0.2,2.0,2.3,22.5,-1.0,-1.0
奇奇-范德维奇,84-85,开拓者,72,69,34.8,0.534,8.6,16.1,0.333,0.2,0.5,0.896,5.1,5.7,3.2,1.0,2.1,1.5,0.5,0.3,1.6,1.6,22.4,-1.0,-1.0
迈克-米切尔,84-85,马刺,82,82,34.8,0.497,9.5,19.0,0.217,0.1,0.3,0.777,3.3,4.2,5.1,1.8,3.3,1.8,0.7,0.3,1.8,2.7,22.2,-1.0,-1.0
德里克-史密斯,84-85,快船,80,80,34.5,0.537,8.5,15.9,0.158,0.0,0.2,0.794,5.0,6.3,5.3,2.2,3.2,2.7,1.0,0.7,2.9,4.0,22.1,-1.0,-1.0
拉尔夫-桑普森,84-85,火箭,82,82,37.6,0.502,9.2,18.3,0.0,0.0,0.1,0.676,3.7,5.5,10.4,2.8,7.6,2.7,1.0,2.0,4.0,3.7,22.1,-1.0,-1.0
卡里姆-贾巴尔,84-85,湖人,79,79,33.3,0.599,9.2,15.3,0.0,0.0,0.0,0.732,3.7,5.0,7.9,2.1,5.8,3.2,0.8,2.1,2.5,3.0,22.0,-1.0,-1.0
西德尼-蒙克利夫,84-85,雄鹿,73,72,37.5,0.483,7.7,15.9,0.273,0.1,0.5,0.828,6.2,7.5,5.4,2.0,3.3,5.2,1.6,0.5,2.5,2.7,21.7,-1.0,-1.0
汤姆-钱伯斯,84-85,超音速,81,60,36.1,0.483,7.8,16.1,0.273,0.1,0.3,0.832,5.9,7.0,7.1,2.0,5.1,2.6,0.9,0.7,3.2,3.9,21.5,-1.0,-1.0
伊塞亚-托马斯,84-85,活塞,81,81,38.1,0.458,8.0,17.4,0.257,0.4,1.4,0.809,4.9,6.1,4.5,1.4,3.0,13.9,2.3,0.3,3.7,3.6,21.2,-1.0,-1.0
乔治-格文,84-85,马刺,72,69,29.0,0.508,8.3,16.4,0.0,0.0,0.1,0.844,4.5,5.3,3.3,1.1,2.2,2.5,0.9,0.7,2.8,2.9,21.2,-1.0,-1.0
哈基姆-奥拉朱旺,84-85,火箭,82,82,35.5,0.538,8.3,15.3,-0.01,0.0,0.0,0.613,4.1,6.7,11.9,5.4,6.5,1.4,1.2,2.7,2.9,4.2,20.6,-1.0,-1.0
奥蒂斯-比尔德松,84-85,篮网,56,45,32.9,0.511,8.8,17.3,0.19,0.1,0.4,0.622,2.9,4.6,2.6,1.1,1.6,4.1,1.5,0.1,2.1,2.6,20.6,-1.0,-1.0
米切尔-雷-理查德森,84-85,篮网,82,82,38.1,0.469,8.4,17.9,0.252,0.4,1.4,0.767,2.9,3.8,5.6,1.9,3.7,8.2,3.0,0.3,3.0,3.4,20.1,-1.0,-1.0
朱利叶斯-欧文,84-85,76人,78,78,32.5,0.494,7.8,15.8,0.214,0.0,0.2,0.765,4.3,5.7,5.3,2.2,3.1,3.0,1.7,1.4,2.7,2.6,20.0,-1.0,-1.0
盖斯-威廉姆斯,84-85,子弹,79,78,37.5,0.43,8.1,18.8,0.29,0.6,2.2,0.725,3.2,4.4,2.5,0.9,1.6,7.7,2.3,0.4,2.7,2.0,20.0,-1.0,-1.0
拉里-南斯,84-85,太阳,61,55,36.1,0.587,8.4,14.4,0.5,0.0,0.0,0.709,3.0,4.2,8.8,3.2,5.6,2.6,1.4,1.7,2.2,3.0,19.9,-1.0,-1.0
凯文-麦克海尔,84-85,凯尔特,79,31,33.6,0.57,7.7,13.4,0.0,0.0,0.1,0.76,4.5,5.9,9.0,2.9,6.1,1.8,0.4,1.5,2.0,3.0,19.8,-1.0,-1.0
罗兰多-布莱克曼,84-85,独行侠,81,80,35.0,0.508,7.7,15.2,0.3,0.1,0.2,0.828,4.2,5.1,3.7,1.3,2.4,3.6,0.8,0.2,2.0,1.2,19.7,-1.0,-1.0
斯里谱-弗洛伊德,84-85,勇士,82,82,35.0,0.445,7.4,16.7,0.294,0.5,1.7,0.81,4.1,5.1,2.5,0.8,1.7,5.0,1.6,0.5,3.1,2.8,19.5,-1.0,-1.0
阿尔提斯-吉尔莫尔,84-85,马刺,81,81,34.0,0.623,6.6,10.5,0.0,0.0,0.0,0.749,6.0,8.0,10.4,2.9,7.6,1.6,0.5,2.1,3.0,3.8,19.1,-1.0,-1.0
凯利-特里普卡,84-85,活塞,55,43,30.5,0.477,7.2,15.1,0.4,0.0,0.1,0.885,4.6,5.2,4.0,1.2,2.8,2.5,0.9,0.3,2.1,2.1,19.1,-1.0,-1.0
杰夫-卢兰德,84-85,子弹,37,36,38.8,0.569,6.8,11.9,0.0,0.0,0.1,0.685,5.4,7.9,11.1,3.4,7.6,4.4,0.8,0.7,4.8,3.5,18.9,-1.0,-1.0
杰夫-马龙,84-85,子弹,76,61,34.4,0.499,8.0,16.0,0.208,0.2,0.9,0.844,2.8,3.3,2.7,0.8,1.9,2.4,0.7,0.1,1.4,2.3,18.9,-1.0,-1.0
克拉克-凯洛格,84-85,步行者,77,65,31.8,0.505,7.3,14.4,0.5,0.1,0.2,0.76,3.9,5.1,9.4,2.9,6.5,3.2,1.1,0.3,3.0,3.2,18.6,-1.0,-1.0
杰克-希科马,84-85,超音速,68,68,35.3,0.489,6.8,13.9,0.2,0.0,0.1,0.852,4.9,5.8,10.6,2.4,8.2,4.2,1.2,1.3,2.4,3.5,18.5,-1.0,-1.0
迈克尔-汤普森,84-85,开拓者,79,55,33.1,0.515,7.2,14.1,-0.01,0.0,0.0,0.684,3.9,5.7,7.8,2.7,5.2,2.6,1.0,1.3,2.9,2.7,18.4,-1.0,-1.0
