球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
迈克尔-乔丹,91-92,公牛,80,80,38.8,0.519,11.8,22.7,0.27,0.3,1.3,0.832,6.1,7.4,6.4,1.1,5.3,6.1,2.3,0.9,2.5,2.5,30.1,67,13
多米尼克-威尔金斯,91-92,老鹰,42,42,38.1,0.464,10.1,21.8,0.289,0.9,3.0,0.835,7.0,8.4,7.0,2.5,4.6,3.8,1.2,0.6,2.9,1.8,28.1,22,20
卡尔-马龙,91-92,爵士,81,81,37.7,0.526,9.9,18.7,0.176,0.0,0.2,0.778,8.3,10.7,11.2,2.8,8.4,3.0,1.3,0.6,3.1,2.8,28.0,54,27
克里斯-穆林,91-92,勇士,81,81,41.3,0.524,10.2,19.6,0.366,0.8,2.2,0.833,4.3,5.2,5.6,1.6,4.0,3.5,2.1,0.8,2.5,2.1,25.6,54,27
克莱德-德雷克斯勒,91-92,开拓者,76,76,36.2,0.47,9.1,19.4,0.337,1.5,4.4,0.794,5.3,6.6,6.6,2.2,4.4,6.7,1.8,0.9,3.2,3.0,25.0,55,21
帕特里克-尤因,91-92,尼克斯,82,82,38.4,0.522,9.7,18.6,0.167,0.0,0.1,0.738,4.6,6.2,11.2,2.8,8.5,1.9,1.1,3.0,2.5,3.4,24.0,51,31
蒂姆-哈达威,91-92,勇士,81,81,41.1,0.461,9.1,19.7,0.338,1.6,4.6,0.766,3.7,4.8,3.8,1.0,2.8,10.0,2.0,0.2,3.3,2.6,23.4,55,26
大卫-罗宾逊,91-92,马刺,68,68,37.7,0.551,8.7,15.8,0.125,0.0,0.1,0.701,5.8,8.3,12.2,3.8,8.4,2.7,2.3,4.5,2.7,3.2,23.2,42,26
查尔斯-巴克利,91-92,76人,75,75,38.4,0.552,8.3,15.0,0.234,0.4,1.8,0.695,6.1,8.7,11.1,3.6,7.5,4.1,1.8,0.6,3.1,2.6,23.1,33,42
米奇-里奇蒙德,91-92,国王,80,80,38.7,0.468,8.6,18.3,0.384,1.3,3.4,0.813,4.1,5.1,4.0,0.8,3.2,5.1,1.2,0.4,3.1,2.9,22.5,28,52
格伦-莱斯,91-92,热火,79,79,38.1,0.469,8.5,18.1,0.391,2.0,5.0,0.836,3.4,4.0,5.0,1.1,3.9,2.3,1.1,0.4,1.8,2.2,22.3,38,41
里基-皮尔斯,91-92,超音速,78,78,34.1,0.475,7.9,16.7,0.268,0.4,1.6,0.916,5.3,5.8,3.0,1.2,1.8,3.1,1.1,0.3,2.4,2.7,21.7,45,33
哈基姆-奥拉朱旺,91-92,火箭,70,69,37.7,0.502,8.4,16.8,0.0,0.0,0.0,0.766,4.7,6.1,12.1,3.5,8.6,2.2,1.8,4.3,2.7,3.8,21.6,40,30
布拉德-多赫迪,91-92,骑士,73,73,36.2,0.57,7.9,13.8,0.0,0.0,0.0,0.777,5.7,7.3,10.4,2.6,7.8,3.6,0.9,1.1,2.5,2.6,21.5,52,21
斯科蒂-皮蓬,91-92,公牛,82,82,38.6,0.506,8.4,16.6,0.2,0.2,1.0,0.76,4.0,5.3,7.7,2.3,5.4,7.0,1.9,1.1,3.1,3.0,21.0,67,15
雷杰-刘易斯,91-92,凯尔特,82,82,37.4,0.503,8.6,17.0,0.238,0.1,0.3,0.851,3.6,4.2,4.8,1.4,3.4,2.3,1.5,1.3,1.7,3.1,20.8,51,31
雷吉-米勒,91-92,步行者,82,82,38.0,0.501,6.9,13.7,0.378,1.6,4.2,0.858,5.4,6.3,3.9,1.0,2.9,3.8,1.3,0.3,1.9,2.6,20.7,40,42
德拉赞-皮特洛维奇,91-92,篮网,82,82,36.9,0.508,8.1,16.0,0.444,1.5,3.4,0.808,2.8,3.5,3.1,1.2,2.0,3.1,1.3,0.1,2.6,3.0,20.6,40,42
肯达尔-吉尔,91-92,黄蜂,79,79,36.8,0.467,8.4,18.1,0.24,0.1,0.3,0.745,3.6,4.8,5.1,2.1,3.0,4.2,1.9,0.6,2.3,3.0,20.5,29,50
杰夫-马龙,91-92,爵士,81,81,36.1,0.511,8.5,16.7,0.083,0.0,0.1,0.898,3.2,3.5,2.9,0.6,2.3,2.2,0.7,0.1,1.7,1.6,20.2,55,26
拉里-伯德,91-92,凯尔特,45,45,36.9,0.466,7.8,16.8,0.406,1.2,2.8,0.926,3.3,3.6,9.6,1.0,8.6,6.8,0.9,0.7,2.8,1.8,20.2,31,14
