球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
特雷西·麦克格雷迪,02-03,魔术,75,74,39.4,0.457,11.1,24.2,0.386,2.3,6.0,0.793,7.7,9.7,6.5,1.6,4.9,5.5,1.7,0.8,2.6,2.1,32.1,39,36
科比-布莱恩特,02-03,湖人,82,82,41.5,0.451,10.6,23.5,0.383,1.5,4.0,0.843,7.3,8.7,6.9,1.3,5.6,5.9,2.2,0.8,3.5,2.7,30.0,50,32
阿伦-艾弗森,02-03,76人,82,82,42.5,0.414,9.8,23.7,0.277,1.0,3.7,0.774,7.0,9.0,4.2,0.8,3.4,5.5,2.7,0.2,3.5,1.8,27.6,48,34
沙奎尔-奥尼尔,02-03,湖人,67,66,37.8,0.574,10.4,18.1,-0.01,0.0,0.0,0.622,6.7,10.8,11.1,3.9,7.2,3.1,0.6,2.4,2.9,3.4,27.5,45,22
保罗-皮尔斯,02-03,凯尔特,79,79,39.2,0.416,8.4,20.2,0.302,1.5,4.9,0.802,7.6,9.5,7.3,1.3,6.0,4.4,1.8,0.8,3.6,2.9,25.9,42,37
德克-诺维茨基,02-03,独行侠,80,80,39.0,0.463,8.6,18.6,0.379,1.9,4.9,0.881,6.0,6.9,9.9,1.0,8.9,3.0,1.4,1.0,1.9,2.6,25.1,59,21
蒂姆-邓肯,02-03,马刺,81,81,39.3,0.513,8.8,17.2,0.273,0.1,0.3,0.71,5.6,7.8,12.9,3.2,9.7,3.9,0.7,2.9,3.1,2.9,23.3,60,21
克里斯-韦伯,02-03,国王,67,67,39.1,0.461,9.9,21.4,0.238,0.1,0.3,0.607,3.2,5.3,10.5,2.4,8.1,5.4,1.6,1.3,3.2,3.0,23.0,49,18
凯文-加内特,02-03,森林狼,82,82,40.5,0.502,9.1,18.1,0.282,0.2,0.9,0.751,4.6,6.1,13.4,3.0,10.5,6.0,1.4,1.6,2.8,2.4,23.0,51,31
雷-阿伦,02-03,-1,76,75,37.9,0.439,7.9,17.9,0.377,2.6,7.0,0.916,4.2,4.5,5.0,1.2,3.8,4.4,1.4,0.2,2.6,2.9,22.5,42,34
阿兰-休斯顿,02-03,尼克斯,82,82,37.9,0.445,8.0,17.9,0.396,2.2,5.5,0.919,4.4,4.8,2.8,0.3,2.5,2.7,0.7,0.1,2.2,2.3,22.5,37,45
斯蒂芬-马布里,02-03,太阳,81,81,40.0,0.439,8.3,18.9,0.301,1.1,3.7,0.803,4.6,5.8,3.2,0.7,2.6,8.1,1.3,0.2,3.2,2.5,22.3,44,37
安托万-贾米森,02-03,勇士,82,82,39.3,0.47,8.4,17.9,0.311,0.8,2.5,0.789,4.6,5.8,7.0,2.4,4.7,1.9,0.9,0.5,2.2,2.4,22.2,38,44
杰伦-罗斯,02-03,公牛,82,82,40.9,0.406,7.8,19.3,0.37,1.6,4.4,0.854,4.9,5.7,4.3,0.8,3.5,4.8,0.9,0.3,3.5,3.3,22.1,30,52
贾马尔-马什本,02-03,鹈鹕,82,81,40.5,0.422,8.2,19.3,0.389,1.5,3.7,0.848,3.8,4.5,6.1,0.8,5.3,5.6,1.0,0.2,2.8,2.4,21.6,47,35
