球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
特雷西·麦克格雷迪,03-04,魔术,67,67,39.9,0.417,9.7,23.4,0.339,2.6,7.7,0.796,5.9,7.5,6.0,1.4,4.6,5.5,1.4,0.6,2.7,1.9,28.0,19,48
阿伦-艾弗森,03-04,76人,48,47,42.5,0.387,9.1,23.4,0.286,1.2,4.1,0.745,7.1,9.5,3.7,0.7,3.0,6.8,2.4,0.1,4.4,1.8,26.4,19,29
佩贾-斯托亚科维奇,03-04,国王,81,81,40.3,0.48,8.2,17.1,0.433,3.0,6.8,0.927,4.9,5.2,6.3,1.1,5.1,2.1,1.3,0.2,1.9,2.0,24.2,55,26
凯文-加内特,03-04,森林狼,82,82,39.4,0.499,9.8,19.6,0.256,0.1,0.5,0.791,4.5,5.7,13.9,3.0,10.9,5.0,1.5,2.2,2.6,2.5,24.2,58,24
科比-布莱恩特,03-04,湖人,65,64,37.6,0.438,7.9,18.1,0.327,1.1,3.3,0.852,7.0,8.2,5.5,1.6,3.9,5.1,1.7,0.4,2.6,2.7,24.0,48,17
雷-阿伦,03-04,超音速,56,56,38.4,0.44,8.0,18.2,0.392,2.6,6.8,0.904,4.4,4.8,5.1,1.2,3.9,4.8,1.3,0.2,2.8,2.4,23.0,25,31
保罗-皮尔斯,03-04,凯尔特,80,80,38.7,0.402,7.5,18.7,0.299,1.4,4.8,0.819,6.5,7.9,6.5,0.9,5.7,5.1,1.6,0.7,3.8,2.9,23.0,35,45
拜伦-戴维斯,03-04,鹈鹕,67,66,40.1,0.395,8.3,20.9,0.321,2.8,8.7,0.673,3.5,5.3,4.3,1.0,3.3,7.5,2.4,0.4,3.2,2.7,22.9,36,31
文斯-卡特,03-04,猛龙,73,73,38.2,0.417,8.3,20.0,0.383,1.3,3.3,0.806,4.6,5.7,4.8,1.3,3.5,4.8,1.2,0.9,3.1,2.9,22.5,33,40
蒂姆-邓肯,03-04,马刺,69,68,36.6,0.501,8.6,17.1,0.167,0.0,0.2,0.599,5.1,8.5,12.4,3.3,9.2,3.1,0.9,2.7,2.7,2.4,22.3,51,18
德克-诺维茨基,03-04,独行侠,77,77,37.9,0.462,7.9,17.0,0.341,1.3,3.8,0.877,4.8,5.5,8.7,1.2,7.5,2.7,1.2,1.4,1.8,2.8,21.8,49,28
迈克尔-里德,03-04,雄鹿,82,82,36.8,0.44,7.7,17.5,0.35,1.5,4.4,0.868,4.7,5.4,5.0,1.4,3.5,2.3,1.0,0.1,1.4,1.9,21.7,41,41
沙奎尔-奥尼尔,03-04,湖人,67,67,36.8,0.584,8.3,14.1,-0.01,0.0,0.0,0.49,4.9,10.1,11.5,3.7,7.8,2.9,0.5,2.5,2.9,3.4,21.5,49,18
卡梅罗-安东尼,03-04,掘金,82,82,36.5,0.426,7.6,17.9,0.322,0.8,2.6,0.777,5.0,6.4,6.1,2.2,3.8,2.8,1.2,0.5,3.0,2.7,21.0,43,39
勒布朗-詹姆斯,03-04,骑士,79,79,39.5,0.417,7.9,18.9,0.29,0.8,2.7,0.754,4.4,5.8,5.5,1.3,4.2,5.9,1.6,0.7,3.5,1.9,20.9,33,46
