球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
乔-福尔克斯,47-48,勇士,43,-1.0,-1.0,0.259,7.6,29.3,-0.01,-1.0,-1.0,0.762,6.9,9.1,-1.0,-1.0,-1.0,0.6,-1.0,-1.0,-1.0,3.8,22.1,-1.0,-1.0
马克斯尔-扎斯洛夫斯基,47-48,雄鹿,48,-1.0,-1.0,0.323,7.8,24.1,-0.01,-1.0,-1.0,0.784,5.4,6.9,-1.0,-1.0,-1.0,0.6,-1.0,-1.0,-1.0,2.6,21.0,-1.0,-1.0
艾德-萨多夫斯基,47-48,凯尔特,47,-1.0,-1.0,0.323,6.6,20.3,-0.01,-1.0,-1.0,0.697,6.3,9.0,-1.0,-1.0,-1.0,1.6,-1.0,-1.0,-1.0,3.9,19.4,-1.0,-1.0
鲍伯-费德里克,47-48,老首都,48,-1.0,-1.0,0.34,6.1,17.9,-0.01,-1.0,-1.0,0.788,3.9,5.0,-1.0,-1.0,-1.0,1.2,-1.0,-1.0,-1.0,2.9,16.1,-1.0,-1.0
斯坦-马赛克,47-48,雄鹿,48,-1.0,-1.0,0.303,5.5,18.1,-0.01,-1.0,-1.0,0.613,4.0,6.5,-1.0,-1.0,-1.0,0.6,-1.0,-1.0,-1.0,4.0,14.9,-1.0,-1.0
卡尔-布劳恩,47-48,尼克斯,47,-1.0,-1.0,0.323,5.9,18.2,-0.01,-1.0,-1.0,0.65,2.5,3.9,-1.0,-1.0,-1.0,1.3,-1.0,-1.0,-1.0,2.2,14.3,-1.0,-1.0
John Logan,47-48,轰炸机,48,-1.0,-1.0,0.301,4.6,15.3,-0.01,-1.0,-1.0,0.743,4.2,5.7,-1.0,-1.0,-1.0,1.3,-1.0,-1.0,-1.0,2.9,13.4,-1.0,-1.0
Bud Palmer,47-48,尼克斯,48,-1.0,-1.0,0.315,4.7,14.8,-0.01,-1.0,-1.0,0.744,3.6,4.9,-1.0,-1.0,-1.0,0.9,-1.0,-1.0,-1.0,3.1,13.0,-1.0,-1.0
里德-罗查,47-48,轰炸机,48,-1.0,-1.0,0.314,4.8,15.4,-0.01,-1.0,-1.0,0.69,3.1,4.4,-1.0,-1.0,-1.0,0.8,-1.0,-1.0,-1.0,4.4,12.7,-1.0,-1.0
Fred Scolari,47-48,老首都,47,-1.0,-1.0,0.294,4.9,16.6,-0.01,-1.0,-1.0,0.732,2.8,3.8,-1.0,-1.0,-1.0,1.2,-1.0,-1.0,-1.0,3.3,12.5,-1.0,-1.0
豪威尔-达尔玛,47-48,勇士,48,-1.0,-1.0,0.275,4.5,16.3,-0.01,-1.0,-1.0,0.744,3.3,4.4,-1.0,-1.0,-1.0,2.5,-1.0,-1.0,-1.0,2.9,12.2,-1.0,-1.0
Kleggie Hermsen,47-48,子弹,48,-1.0,-1.0,0.277,4.4,15.9,-0.01,-1.0,-1.0,0.665,3.1,4.7,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,3.2,12.0,-1.0,-1.0
厄尔尼-卡尔费里,47-48,蒸汽,47,-1.0,-1.0,0.271,4.8,17.8,-0.01,-1.0,-1.0,0.665,2.3,3.4,-1.0,-1.0,-1.0,2.5,-1.0,-1.0,-1.0,3.6,11.9,-1.0,-1.0
乔治-诺斯特兰德,47-48,蒸汽,45,-1.0,-1.0,0.297,4.4,14.7,-0.01,-1.0,-1.0,0.54,2.9,5.3,-1.0,-1.0,-1.0,0.7,-1.0,-1.0,-1.0,3.3,11.6,-1.0,-1.0
Chick Reiser,47-48,子弹,47,-1.0,-1.0,0.322,4.3,13.4,-0.01,-1.0,-1.0,0.741,2.9,3.9,-1.0,-1.0,-1.0,0.9,-1.0,-1.0,-1.0,3.7,11.5,-1.0,-1.0
Bones McKinney,47-48,老首都,43,-1.0,-1.0,0.268,4.2,15.8,-0.01,-1.0,-1.0,0.644,2.8,4.4,-1.0,-1.0,-1.0,0.8,-1.0,-1.0,-1.0,4.1,11.3,-1.0,-1.0
伯鲁斯-斯马维利,47-48,轰炸机,48,-1.0,-1.0,0.308,4.4,14.3,-0.01,-1.0,-1.0,0.74,2.3,3.1,-1.0,-1.0,-1.0,0.4,-1.0,-1.0,-1.0,1.8,11.1,-1.0,-1.0
安迪-菲利浦,47-48,雄鹿,32,-1.0,-1.0,0.336,4.5,13.3,-0.01,-1.0,-1.0,0.583,1.9,3.2,-1.0,-1.0,-1.0,2.3,-1.0,-1.0,-1.0,2.3,10.8,-1.0,-1.0
布迪-珍妮特,47-48,子弹,46,-1.0,-1.0,0.349,3.3,9.3,-0.01,-1.0,-1.0,0.758,4.2,5.5,-1.0,-1.0,-1.0,1.5,-1.0,-1.0,-1.0,3.2,10.7,-1.0,-1.0
鲍伯-道尔,47-48,轰炸机,42,-1.0,-1.0,0.264,4.1,15.7,-0.01,-1.0,-1.0,0.662,2.3,3.5,-1.0,-1.0,-1.0,0.6,-1.0,-1.0,-1.0,2.5,10.6,-1.0,-1.0
迈克-布鲁姆,47-48,-1,48,-1.0,-1.0,0.272,3.6,13.3,-0.01,-1.0,-1.0,0.699,3.3,4.8,-1.0,-1.0,-1.0,0.8,-1.0,-1.0,-1.0,2.4,10.6,-1.0,-1.0
迪克-霍拉勃,47-48,尼克斯,48,-1.0,-1.0,0.295,4.1,13.8,-0.01,-1.0,-1.0,0.633,2.4,3.8,-1.0,-1.0,-1.0,0.8,-1.0,-1.0,-1.0,3.3,10.5,-1.0,-1.0
Paul Hoffman,47-48,子弹,37,-1.0,-1.0,0.348,3.8,11.0,-0.01,-1.0,-1.0,0.662,2.8,4.2,-1.0,-1.0,-1.0,0.6,-1.0,-1.0,-1.0,3.3,10.5,-1.0,-1.0
迈尔-里艾比,47-48,凯尔特,48,-1.0,-1.0,0.309,4.2,13.6,-0.01,-1.0,-1.0,0.62,1.8,2.9,-1.0,-1.0,-1.0,0.9,-1.0,-1.0,-1.0,2.9,10.2,-1.0,-1.0
约翰-叶泽尔斯基,47-48,蒸汽,25,-1.0,-1.0,0.253,3.8,15.0,-0.01,-1.0,-1.0,0.606,2.5,4.2,-1.0,-1.0,-1.0,0.6,-1.0,-1.0,-1.0,2.5,10.1,-1.0,-1.0
Sid Tanenbaum,47-48,尼克斯,24,-1.0,-1.0,0.25,3.8,15.0,-0.01,-1.0,-1.0,0.838,2.6,3.1,-1.0,-1.0,-1.0,1.5,-1.0,-1.0,-1.0,1.4,10.1,-1.0,-1.0
Chick Halbert,47-48,-1,46,-1.0,-1.0,0.258,3.4,13.2,-0.01,-1.0,-1.0,0.636,3.0,4.8,-1.0,-1.0,-1.0,0.7,-1.0,-1.0,-1.0,2.7,9.8,-1.0,-1.0
约翰-诺兰德,47-48,老首都,48,-1.0,-1.0,0.308,3.5,11.3,-0.01,-1.0,-1.0,0.742,2.8,3.8,-1.0,-1.0,-1.0,0.9,-1.0,-1.0,-1.0,2.1,9.8,-1.0,-1.0
查克-吉尔摩,47-48,雄鹿,48,-1.0,-1.0,0.303,3.8,12.4,-0.01,-1.0,-1.0,0.655,2.0,3.1,-1.0,-1.0,-1.0,1.6,-1.0,-1.0,-1.0,4.8,9.6,-1.0,-1.0
乔治-塞内斯基,47-48,勇士,47,-1.0,-1.0,0.277,3.4,12.1,-0.01,-1.0,-1.0,0.667,2.1,3.1,-1.0,-1.0,-1.0,1.1,-1.0,-1.0,-1.0,1.9,8.8,-1.0,-1.0
康尼尔-西蒙斯,47-48,-1,45,-1.0,-1.0,0.297,3.6,12.1,-0.01,-1.0,-1.0,0.574,1.4,2.4,-1.0,-1.0,-1.0,0.5,-1.0,-1.0,-1.0,2.7,8.6,-1.0,-1.0
