球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
拉塞尔-威斯布鲁克,14-15,雷霆,67,67,34.4,0.426,9.4,22.0,0.299,1.3,4.3,0.835,8.1,9.8,7.3,1.9,5.4,8.6,2.1,0.2,4.4,2.7,28.1,40,27
詹姆斯-哈登,14-15,火箭,81,81,36.8,0.44,8.0,18.1,0.375,2.6,6.9,0.868,8.8,10.2,5.7,0.9,4.7,7.0,1.9,0.7,4.0,2.6,27.4,56,25
凯文-杜兰特,14-15,雷霆,27,27,33.9,0.51,8.8,17.3,0.403,2.4,5.9,0.854,5.4,6.3,6.6,0.6,6.0,4.1,0.9,0.9,2.7,1.5,25.4,18,9
勒布朗-詹姆斯,14-15,骑士,69,69,36.1,0.488,9.0,18.5,0.354,1.7,4.9,0.71,5.4,7.7,6.0,0.7,5.3,7.4,1.6,0.7,3.9,2.0,25.3,50,19
安东尼-戴维斯,14-15,鹈鹕,68,68,36.2,0.535,9.4,17.6,0.083,0.0,0.2,0.805,5.5,6.8,10.2,2.5,7.7,2.2,1.5,2.9,1.4,2.1,24.4,39,29
卡梅罗-安东尼,14-15,尼克斯,40,40,35.8,0.444,9.0,20.2,0.341,1.5,4.5,0.797,4.7,5.9,6.6,1.8,4.8,3.1,1.0,0.4,2.2,2.2,24.2,10,30
德马库斯-考辛斯,14-15,国王,59,59,34.1,0.467,8.4,18.1,0.25,0.0,0.1,0.782,7.2,9.2,12.7,3.1,9.5,3.6,1.5,1.7,4.3,4.1,24.1,23,36
斯蒂芬-库里,14-15,勇士,80,80,32.7,0.487,8.2,16.8,0.443,3.6,8.1,0.914,3.9,4.2,4.3,0.7,3.6,7.7,2.0,0.2,3.1,2.0,23.8,67,13
拉玛库斯-阿尔德里奇,14-15,开拓者,71,71,35.4,0.466,9.3,19.9,0.352,0.5,1.5,0.845,4.3,5.1,10.2,2.5,7.7,1.7,0.7,1.0,1.7,1.8,23.4,48,23
科比-布莱恩特,14-15,湖人,35,35,34.5,0.373,7.6,20.4,0.293,1.5,5.3,0.813,5.6,6.9,5.7,0.7,4.9,5.6,1.3,0.2,3.7,1.9,22.3,10,25
布雷克-格里芬,14-15,快船,67,67,35.1,0.502,8.6,17.1,0.4,0.1,0.4,0.728,4.6,6.4,7.6,1.9,5.7,5.3,0.9,0.5,2.3,2.9,21.9,47,20
凯里-欧文,14-15,骑士,75,75,36.4,0.468,7.7,16.5,0.415,2.1,5.0,0.863,4.2,4.9,3.2,0.7,2.4,5.2,1.5,0.3,2.5,1.9,21.7,52,23
克莱-汤普森,14-15,勇士,77,77,31.9,0.463,7.8,16.9,0.439,3.1,7.1,0.879,2.9,3.3,3.2,0.4,2.9,2.9,1.1,0.8,1.9,1.6,21.7,64,13
