球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
沙奎尔-奥尼尔,99-00,湖人,79,79,40.0,0.574,12.1,21.1,0.0,0.0,0.0,0.524,5.5,10.4,13.6,4.3,9.4,3.8,0.5,3.0,2.8,3.2,29.7,66,13
阿伦-艾弗森,99-00,76人,70,70,40.8,0.421,10.4,24.8,0.341,1.3,3.7,0.713,6.3,8.9,3.8,1.0,2.8,4.7,2.1,0.1,3.3,2.3,28.4,42,28
格兰特-希尔,99-00,活塞,74,74,37.5,0.489,9.4,19.2,0.347,0.5,1.3,0.795,6.5,8.2,6.6,1.3,5.3,5.2,1.4,0.6,3.2,2.6,25.8,40,34
文斯-卡特,99-00,猛龙,82,82,38.1,0.465,9.6,20.7,0.403,1.2,2.9,0.791,5.3,6.7,5.8,1.8,4.0,3.9,1.3,1.1,2.2,3.2,25.7,45,37
卡尔-马龙,99-00,爵士,82,82,35.9,0.509,9.2,18.0,0.25,0.0,0.1,0.797,7.2,9.0,9.5,2.1,7.4,3.7,1.0,0.9,2.8,2.8,25.5,55,27
克里斯-韦伯,99-00,国王,75,75,38.4,0.483,10.0,20.6,0.284,0.4,1.3,0.751,4.1,5.5,10.5,2.5,8.0,4.6,1.6,1.7,2.9,3.5,24.5,41,34
加里-佩顿,99-00,超音速,82,82,41.8,0.448,9.1,20.3,0.34,2.2,6.3,0.735,3.8,5.2,6.5,1.2,5.2,8.9,1.9,0.2,2.7,2.2,24.2,45,37
杰里-斯塔克豪斯,99-00,活塞,82,82,38.4,0.428,7.5,17.6,0.288,1.0,3.5,0.815,7.5,9.2,3.8,1.4,2.4,4.5,1.3,0.4,3.8,2.3,23.6,42,40
蒂姆-邓肯,99-00,马刺,74,74,38.9,0.49,8.5,17.3,0.091,0.0,0.1,0.761,6.2,8.1,12.4,3.5,8.9,3.2,0.9,2.2,3.3,2.8,23.2,48,26
凯文-加内特,99-00,森林狼,81,81,40.0,0.497,9.4,18.8,0.37,0.4,1.0,0.765,3.8,5.0,11.8,2.8,9.0,5.0,1.5,1.6,3.3,2.5,22.9,50,31
迈克尔-芬利,99-00,独行侠,82,82,42.2,0.457,9.1,20.0,0.401,1.2,3.0,0.82,3.2,3.9,6.3,1.5,4.8,5.3,1.3,0.4,2.4,2.1,22.6,40,42
科比-布莱恩特,99-00,湖人,66,62,38.2,0.468,8.4,17.9,0.319,0.7,2.2,0.821,5.0,6.1,6.3,1.6,4.7,4.9,1.6,0.9,2.8,3.3,22.5,55,11
斯蒂芬-马布里,99-00,篮网,74,74,38.9,0.432,7.7,17.8,0.283,0.9,3.1,0.813,5.9,7.2,3.2,0.8,2.4,8.4,1.5,0.2,3.6,2.6,22.2,31,43
雷-阿伦,99-00,雄鹿,82,82,37.4,0.455,7.8,17.2,0.423,2.1,5.0,0.887,4.3,4.9,4.4,1.0,3.4,3.8,1.3,0.2,2.2,2.3,22.1,42,40
阿朗佐-莫宁,99-00,热火,79,78,34.8,0.551,8.3,15.0,0.0,0.0,0.1,0.711,5.2,7.4,9.5,2.7,6.8,1.6,0.5,3.7,2.7,3.9,21.7,50,29
格伦-罗宾逊,99-00,雄鹿,81,81,35.9,0.472,8.5,18.0,0.363,1.1,2.9,0.802,2.8,3.5,6.0,1.3,4.7,2.4,1.0,0.5,2.8,2.6,20.9,42,39
安托万-沃克,99-00,凯尔特,82,82,36.6,0.43,7.9,18.4,0.256,0.9,3.5,0.699,3.8,5.4,8.0,2.4,5.5,3.7,1.4,0.4,3.2,3.2,20.5,35,47
谢里夫-阿布杜-拉希姆,99-00,灰熊,82,82,39.3,0.465,7.2,15.6,0.302,0.4,1.2,0.809,5.4,6.7,10.1,2.7,7.4,3.3,1.1,1.1,3.0,3.0,20.3,22,60
埃尔顿-布兰德,99-00,公牛,81,80,37.0,0.482,7.8,16.1,0.0,0.0,0.0,0.685,4.5,6.6,10.0,4.3,5.7,1.9,0.8,1.6,2.8,3.2,20.1,17,64
埃迪-琼斯,99-00,黄蜂,72,72,39.0,0.427,6.6,15.5,0.375,1.8,4.7,0.864,5.0,5.8,4.8,1.1,3.6,4.2,2.7,0.7,2.2,2.4,20.1,47,25
阿兰-休斯顿,99-00,尼克斯,82,82,38.6,0.483,7.5,15.5,0.436,1.3,3.0,0.838,3.4,4.1,3.3,0.5,2.8,2.7,0.8,0.2,2.3,2.7,19.7,50,32
