球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
鲍伯-麦克阿杜,75-76,勇敢者,78,-1.0,42.7,0.487,12.0,24.6,-0.01,-1.0,-1.0,0.762,7.2,9.4,12.4,3.1,9.3,4.0,1.2,2.1,-1.0,3.8,31.1,-1.0,-1.0
朱利叶斯-欧文,75-76,老篮网,84,-1.0,38.6,0.507,11.3,22.3,0.33,0.4,1.2,0.801,6.3,7.9,11.0,4.0,7.0,5.0,2.5,1.9,3.7,2.6,29.3,-1.0,-1.0
比利-奈特,75-76,老者,70,-1.0,39.6,0.494,11.1,22.4,0.4,0.1,0.2,0.828,5.9,7.2,10.1,4.2,5.9,3.7,1.3,0.3,4.3,2.9,28.1,-1.0,-1.0
卡里姆-贾巴尔,75-76,湖人,82,-1.0,41.2,0.529,11.1,21.1,-0.01,-1.0,-1.0,0.703,5.5,7.8,16.9,3.3,13.5,5.0,1.5,4.1,-1.0,3.6,27.7,-1.0,-1.0
大卫-汤普森,75-76,老掘金,83,-1.0,37.4,0.515,9.7,18.9,0.158,0.0,0.2,0.794,6.5,8.2,6.3,2.7,3.6,3.7,1.6,1.2,3.0,3.4,26.0,-1.0,-1.0
皮特-马拉维奇,75-76,爵士,62,-1.0,38.3,0.459,9.7,21.2,-0.01,-1.0,-1.0,0.811,6.4,7.9,4.8,0.7,4.1,5.4,1.4,0.4,-1.0,3.2,25.9,-1.0,-1.0
奈特-阿奇博尔德,75-76,国王,78,-1.0,40.8,0.453,9.2,20.3,-0.01,-1.0,-1.0,0.802,6.4,8.0,2.7,0.9,1.9,7.9,1.6,0.2,-1.0,2.2,24.8,-1.0,-1.0
阿尔提斯-吉尔莫尔,75-76,上校,84,-1.0,39.1,0.552,9.2,16.7,-0.01,0.0,0.0,0.682,6.2,9.1,15.5,4.8,10.7,2.5,0.7,2.4,3.5,4.1,24.6,-1.0,-1.0
马尔文-巴恩斯,75-76,精神,67,-1.0,37.1,0.503,10.2,20.2,0.273,0.0,0.2,0.74,3.7,5.1,10.8,3.9,6.9,2.2,1.9,2.0,3.4,4.1,24.1,-1.0,-1.0
詹姆斯-塞拉斯,75-76,老刺,84,-1.0,37.0,0.519,8.5,16.5,0.0,0.0,0.0,0.872,6.7,7.7,4.0,1.3,2.7,5.4,1.8,0.3,3.0,3.1,23.8,-1.0,-1.0
弗莱德-布朗,75-76,超音速,76,-1.0,33.1,0.488,9.8,20.0,-0.01,-1.0,-1.0,0.869,3.6,4.1,4.2,1.5,2.7,2.7,1.9,0.2,-1.0,2.4,23.1,-1.0,-1.0
丹-伊塞尔,75-76,老掘金,84,-1.0,34.0,0.511,9.0,17.5,0.25,0.0,0.0,0.816,5.1,6.2,11.0,3.6,7.4,2.4,1.2,0.7,2.4,3.2,23.0,-1.0,-1.0
乔治-麦克吉尼斯,75-76,76人,77,-1.0,38.3,0.417,8.4,20.2,-0.01,-1.0,-1.0,0.74,6.2,8.3,12.6,3.4,9.2,4.7,2.6,0.5,-1.0,4.3,23.0,-1.0,-1.0
罗恩-布恩,75-76,-1,78,-1.0,38.0,0.486,9.1,18.8,0.372,0.2,0.6,0.871,3.6,4.1,4.1,1.5,2.6,5.0,2.0,0.2,3.5,3.1,22.0,-1.0,-1.0
乔治-格文,75-76,老刺,81,-1.0,33.9,0.499,8.7,17.5,0.255,0.2,0.7,0.857,4.2,4.9,6.7,2.2,4.5,2.5,1.4,1.5,2.7,3.6,21.8,-1.0,-1.0
兰迪-史密斯,75-76,勇敢者,82,-1.0,38.6,0.494,8.6,17.3,-0.01,-1.0,-1.0,0.817,4.7,5.7,5.1,1.3,3.8,5.9,1.9,0.0,-1.0,3.3,21.8,-1.0,-1.0
约翰-德鲁,75-76,老鹰,77,-1.0,30.5,0.502,7.6,15.2,-0.01,-1.0,-1.0,0.744,6.3,8.5,8.6,3.7,4.9,1.9,1.8,0.4,-1.0,3.4,21.6,-1.0,-1.0
鲍伯-丹德里奇,75-76,雄鹿,73,-1.0,37.5,0.502,8.9,17.8,-0.01,-1.0,-1.0,0.824,3.7,4.5,7.4,2.3,5.1,2.8,1.5,0.5,-1.0,3.6,21.5,-1.0,-1.0
鲍伯-兰尼尔,75-76,活塞,64,-1.0,36.9,0.532,8.5,15.9,-0.01,-1.0,-1.0,0.768,4.4,5.8,11.7,3.4,8.3,3.4,1.2,1.3,-1.0,3.2,21.3,-1.0,-1.0
凯尔文-墨菲,75-76,火箭,82,-1.0,36.5,0.493,8.2,16.7,-0.01,-1.0,-1.0,0.907,4.5,5.0,2.5,0.6,1.9,7.3,1.8,0.1,-1.0,3.6,21.0,-1.0,-1.0
里克-巴里,75-76,勇士,81,-1.0,38.5,0.435,8.7,20.0,-0.01,-1.0,-1.0,0.923,3.5,3.8,6.1,0.9,5.2,6.1,2.5,0.3,-1.0,2.7,21.0,-1.0,-1.0
道格-科林斯,75-76,76人,77,-1.0,38.9,0.513,8.0,15.5,-0.01,-1.0,-1.0,0.836,4.8,5.8,4.0,1.6,2.4,2.5,1.4,0.3,-1.0,3.2,20.8,-1.0,-1.0
厄尔-门罗,75-76,尼克斯,76,-1.0,38.0,0.478,8.5,17.8,-0.01,-1.0,-1.0,0.787,3.7,4.7,3.6,0.6,3.0,4.0,1.5,0.3,-1.0,2.8,20.7,-1.0,-1.0
保罗-韦斯特法尔,75-76,太阳,82,-1.0,36.1,0.494,8.0,16.2,-0.01,-1.0,-1.0,0.83,4.5,5.4,3.2,0.9,2.3,5.4,2.6,0.5,-1.0,2.7,20.5,-1.0,-1.0
菲尔-史密斯,75-76,勇士,82,-1.0,34.1,0.477,8.0,16.9,-0.01,-1.0,-1.0,0.788,3.9,5.0,4.6,1.6,3.0,4.4,1.3,0.2,-1.0,2.7,20.0,-1.0,-1.0
Ticky Burden,75-76,大地主,71,-1.0,30.7,0.45,7.9,17.6,0.222,0.1,0.5,0.767,4.0,5.2,2.8,1.5,1.3,1.8,1.5,0.1,2.5,2.6,19.9,-1.0,-1.0
菲尔-切尼尔,75-76,子弹,80,-1.0,36.9,0.483,8.2,16.9,-0.01,-1.0,-1.0,0.827,3.5,4.3,4.0,1.1,3.0,3.2,2.0,0.6,-1.0,2.3,19.9,-1.0,-1.0
斯宾瑟-海伍德,75-76,尼克斯,78,-1.0,37.1,0.445,7.8,17.4,-0.01,-1.0,-1.0,0.757,4.3,5.7,11.3,3.0,8.3,1.2,0.7,1.0,-1.0,3.3,19.9,-1.0,-1.0
埃尔文-海耶斯,75-76,子弹,80,-1.0,37.2,0.47,8.1,17.3,-0.01,-1.0,-1.0,0.628,3.6,5.7,11.0,2.6,8.4,1.5,1.3,2.5,-1.0,3.7,19.8,-1.0,-1.0
盖尔-古德里奇,75-76,湖人,75,-1.0,35.3,0.441,7.8,17.6,-0.01,-1.0,-1.0,0.847,3.9,4.6,2.9,1.3,1.6,5.6,1.6,0.2,-1.0,3.2,19.5,-1.0,-1.0
马克-卡尔文,75-76,大地主,45,-1.0,36.8,0.427,6.8,15.9,0.269,0.2,0.6,0.888,5.6,6.3,2.8,0.8,2.0,6.0,1.6,0.0,4.3,2.7,19.4,-1.0,-1.0
沃尔特-弗雷泽,75-76,尼克斯,59,-1.0,41.1,0.485,8.0,16.4,-0.01,-1.0,-1.0,0.823,3.2,3.8,6.8,1.3,5.4,5.9,1.8,0.2,-1.0,2.8,19.1,-1.0,-1.0
鲍伯-乐福,75-76,公牛,76,-1.0,37.1,0.39,7.1,18.3,-0.01,-1.0,-1.0,0.801,4.8,5.9,6.7,2.5,4.2,1.9,0.8,0.1,-1.0,3.1,19.1,-1.0,-1.0
西德尼-威克斯,75-76,开拓者,79,-1.0,38.5,0.483,7.3,15.2,-0.01,-1.0,-1.0,0.674,4.4,6.5,9.0,3.1,5.9,3.1,1.0,0.7,-1.0,3.2,19.1,-1.0,-1.0
阿尔万-亚当斯,75-76,太阳,80,-1.0,33.2,0.469,7.9,16.8,-0.01,-1.0,-1.0,0.735,3.3,4.4,9.1,2.7,6.4,5.6,1.5,1.5,-1.0,3.4,19.0,-1.0,-1.0
