球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
科比-布莱恩特,05-06,湖人,80,80,41.0,0.45,12.2,27.2,0.347,2.3,6.5,0.85,8.7,10.2,5.3,0.9,4.4,4.5,1.8,0.4,3.1,2.9,35.4,45,35
阿伦-艾弗森,05-06,76人,72,72,43.1,0.447,11.3,25.3,0.323,1.0,3.1,0.814,9.4,11.5,3.2,0.6,2.6,7.4,1.9,0.1,3.4,1.7,33.0,35,37
勒布朗-詹姆斯,05-06,骑士,79,79,42.5,0.48,11.1,23.1,0.335,1.6,4.8,0.738,7.6,10.3,7.0,0.9,6.1,6.6,1.6,0.8,3.3,2.3,31.4,47,32
吉尔伯特-阿里纳斯,05-06,奇才,80,80,42.3,0.447,9.3,20.9,0.369,2.5,6.8,0.82,8.2,10.0,3.5,0.7,2.8,6.1,2.0,0.3,3.7,3.6,29.3,40,40
德维恩-韦德,05-06,热火,75,75,38.6,0.495,9.3,18.8,0.171,0.2,1.0,0.783,8.4,10.7,5.7,1.4,4.3,6.7,1.9,0.8,3.6,2.9,27.2,48,27
保罗-皮尔斯,05-06,凯尔特,79,79,39.0,0.471,8.7,18.5,0.354,1.4,4.0,0.772,7.9,10.3,6.7,1.0,5.7,4.7,1.4,0.4,3.5,2.8,26.8,32,47
德克-诺维茨基,05-06,独行侠,81,81,38.1,0.48,9.3,19.3,0.406,1.4,3.3,0.901,6.7,7.4,9.0,1.4,7.6,2.8,0.7,1.0,1.9,2.0,26.6,60,21
卡梅罗-安东尼,05-06,掘金,80,80,36.8,0.481,9.5,19.7,0.243,0.5,1.9,0.808,7.2,8.9,4.9,1.5,3.4,2.7,1.1,0.5,2.7,2.9,26.5,44,36
迈克尔-里德,05-06,雄鹿,80,80,39.1,0.45,8.5,19.0,0.395,2.0,5.2,0.877,6.3,7.1,4.3,1.0,3.3,2.9,1.2,0.1,2.1,2.0,25.4,39,41
雷-阿伦,05-06,超音速,78,78,38.7,0.454,8.7,19.2,0.412,3.4,8.4,0.903,4.2,4.6,4.3,0.9,3.3,3.7,1.3,0.2,2.4,1.9,25.1,35,43
埃尔顿-布兰德,05-06,快船,79,79,39.2,0.527,9.6,18.2,0.333,0.0,0.0,0.775,5.6,7.2,10.0,3.0,7.0,2.6,1.0,2.5,2.2,2.9,24.7,44,35
特雷西·麦克格雷迪,05-06,火箭,47,47,37.1,0.406,8.7,21.5,0.312,1.6,5.0,0.747,5.4,7.2,6.5,1.0,5.6,4.8,1.3,0.9,2.6,1.9,24.4,27,20
文斯-卡特,05-06,篮网,79,79,36.8,0.43,8.3,19.2,0.341,1.6,4.6,0.799,6.1,7.6,5.8,1.7,4.1,4.3,1.2,0.7,2.7,3.0,24.2,49,30
杰森-理查德森,05-06,勇士,75,75,38.4,0.446,8.5,19.2,0.384,2.4,6.4,0.673,3.7,5.5,5.8,1.4,4.4,3.1,1.3,0.5,2.2,2.7,23.2,32,43
克里斯-波什,05-06,猛龙,70,70,39.3,0.505,7.8,15.5,0.0,0.0,0.2,0.816,6.8,8.3,9.2,2.9,6.3,2.6,0.7,1.1,2.2,3.0,22.5,26,44
姚明,05-06,火箭,57,57,34.2,0.519,8.2,15.8,0.0,0.0,0.0,0.853,5.9,6.9,10.2,2.6,7.6,1.5,0.5,1.6,2.6,3.4,22.3,27,30
肖恩-马里昂,05-06,太阳,81,81,40.3,0.525,8.8,16.9,0.331,1.2,3.6,0.809,3.0,3.7,11.8,3.1,8.8,1.8,2.0,1.7,1.5,2.8,21.8,53,28
凯文-加内特,05-06,森林狼,76,76,38.9,0.526,8.2,15.7,0.267,0.1,0.4,0.81,5.2,6.4,12.7,2.8,9.9,4.1,1.4,1.4,2.4,2.7,21.8,31,45
迈克-毕比,05-06,国王,82,82,38.6,0.432,7.3,16.9,0.386,2.3,6.1,0.849,4.2,4.9,2.9,0.4,2.6,5.4,1.0,0.1,2.4,2.1,21.1,44,38
安托万-贾米森,05-06,奇才,82,80,40.1,0.442,8.0,18.2,0.394,1.8,4.5,0.731,2.6,3.6,9.3,2.0,7.3,1.9,1.1,0.1,1.7,2.3,20.5,42,40
保罗-加索尔,05-06,灰熊,80,80,39.2,0.503,7.5,14.9,0.25,0.0,0.2,0.689,5.3,7.7,8.9,2.4,6.5,4.6,0.6,1.9,2.9,2.3,20.4,47,33
