球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
詹姆斯-哈登,18-19,火箭,78,78,36.8,0.442,10.8,24.5,0.368,4.8,13.2,0.879,9.7,11.0,6.6,0.8,5.8,7.5,2.0,0.7,5.0,3.1,36.1,51,27
保罗-乔治,18-19,雷霆,77,77,36.9,0.438,9.2,21.0,0.386,3.8,9.8,0.839,5.9,7.0,8.2,1.4,6.8,4.1,2.2,0.4,2.7,2.8,28.0,46,31
扬尼斯-阿德托昆博,18-19,雄鹿,72,72,32.8,0.578,10.0,17.3,0.256,0.7,2.8,0.729,6.9,9.5,12.5,2.2,10.3,5.9,1.3,1.5,3.7,3.2,27.7,56,16
乔尔-恩比德,18-19,76人,64,64,33.7,0.484,9.1,18.7,0.3,1.2,4.1,0.804,8.2,10.1,13.6,2.5,11.1,3.7,0.7,1.9,3.5,3.3,27.5,43,21
勒布朗-詹姆斯,18-19,湖人,55,55,35.2,0.51,10.1,19.9,0.339,2.0,5.9,0.665,5.1,7.6,8.5,1.0,7.4,8.3,1.3,0.6,3.6,1.7,27.4,28,27
斯蒂芬-库里,18-19,勇士,69,69,33.7,0.472,9.2,19.4,0.437,5.1,11.7,0.916,3.8,4.2,5.3,0.7,4.7,5.2,1.3,0.4,2.8,2.4,27.3,52,17
科怀-伦纳德,18-19,猛龙,60,60,34.0,0.496,9.3,18.8,0.371,1.9,5.0,0.854,6.1,7.1,7.3,1.3,6.0,3.3,1.8,0.4,2.0,1.5,26.6,41,19
德文-布克,18-19,太阳,64,64,35.0,0.467,9.2,19.6,0.326,2.1,6.5,0.866,6.1,7.1,4.1,0.6,3.5,6.8,0.9,0.2,4.1,3.1,26.6,15,49
凯文-杜兰特,18-19,勇士,78,78,34.7,0.521,9.2,17.7,0.353,1.8,5.0,0.885,5.7,6.5,6.4,0.4,5.9,5.9,0.7,1.1,2.9,2.0,26.0,54,24
安东尼-戴维斯,18-19,鹈鹕,56,56,33.1,0.517,9.5,18.3,0.331,0.9,2.6,0.794,6.1,7.7,12.0,3.1,8.9,3.9,1.6,2.4,2.0,2.4,25.9,25,31
达米安-利拉德,18-19,开拓者,80,80,35.5,0.444,8.5,19.2,0.369,3.0,8.0,0.912,5.9,6.4,4.6,0.9,3.8,6.9,1.1,0.4,2.7,1.9,25.8,51,29
肯巴-沃克,18-19,黄蜂,82,82,35.0,0.434,8.9,20.5,0.356,3.2,8.9,0.844,4.6,5.5,4.4,0.6,3.8,5.9,1.2,0.4,2.6,1.6,25.6,39,43
布拉德利-比尔,18-19,奇才,82,82,36.9,0.475,9.3,19.6,0.351,2.5,7.3,0.808,4.4,5.5,5.0,1.1,3.9,5.5,1.5,0.7,2.7,2.8,25.6,32,50
布雷克-格里芬,18-19,活塞,75,75,34.9,0.462,8.3,17.9,0.362,2.5,7.0,0.753,5.5,7.3,7.5,1.3,6.2,5.4,0.7,0.4,3.4,2.7,24.5,39,36
卡尔-安东尼-唐斯,18-19,森林狼,77,77,33.1,0.518,8.8,17.1,0.4,1.8,4.6,0.836,4.9,5.8,12.4,3.4,9.0,3.4,0.9,1.6,3.1,3.8,24.4,34,43
凯里-欧文,18-19,凯尔特,67,67,33.1,0.487,9.0,18.5,0.401,2.6,6.5,0.873,3.2,3.7,5.0,1.1,3.9,6.9,1.5,0.5,2.6,2.5,23.8,37,30
多诺万-米切尔,18-19,爵士,77,77,33.7,0.432,8.6,19.9,0.362,2.4,6.7,0.806,4.1,5.1,4.1,0.8,3.3,4.2,1.4,0.4,2.8,2.7,23.8,49,28
扎克-拉文,18-19,公牛,63,62,34.4,0.467,8.4,18.0,0.374,1.9,5.1,0.832,5.0,6.0,4.7,0.6,4.0,4.5,1.0,0.4,3.4,2.2,23.7,16,47
拉塞尔-威斯布鲁克,18-19,雷霆,73,73,36.1,0.428,8.6,20.2,0.29,1.6,5.6,0.656,4.1,6.2,11.1,1.5,9.6,10.7,1.9,0.5,4.5,3.4,22.9,44,29
克莱-汤普森,18-19,勇士,78,78,34.0,0.467,8.4,18.0,0.402,3.1,7.7,0.816,1.7,2.0,3.8,0.5,3.4,2.4,1.1,0.6,1.5,2.0,21.5,55,23
朱利叶斯-兰德尔,18-19,鹈鹕,73,49,30.6,0.524,7.8,14.9,0.344,0.9,2.7,0.731,4.9,6.7,8.7,2.2,6.5,3.1,0.7,0.6,2.8,3.4,21.4,31,42
拉玛库斯-阿尔德里奇,18-19,马刺,81,81,33.2,0.519,8.4,16.3,0.238,0.1,0.5,0.847,4.3,5.1,9.2,3.1,6.1,2.4,0.5,1.3,1.8,2.2,21.3,48,33
德玛尔-德罗赞,18-19,马刺,77,77,34.9,0.481,8.2,17.1,0.156,0.1,0.6,0.83,4.8,5.7,6.0,0.7,5.3,6.2,1.1,0.5,2.6,2.3,21.2,44,33
卢卡-东契奇,18-19,独行侠,72,72,32.3,0.427,7.0,16.5,0.327,2.3,7.1,0.713,4.8,6.7,7.8,1.2,6.6,6.0,1.1,0.3,3.4,1.9,21.2,28,44
朱-霍勒迪,18-19,鹈鹕,67,67,35.9,0.472,8.2,17.3,0.325,1.8,5.4,0.768,3.1,4.0,5.0,1.1,3.9,7.7,1.6,0.8,3.1,2.2,21.2,30,37
德安吉洛-拉塞尔,18-19,篮网,81,81,30.3,0.434,8.1,18.7,0.369,2.9,7.8,0.78,2.0,2.5,3.9,0.7,3.2,7.0,1.2,0.2,3.1,1.7,21.1,42,39
迈克-康利,18-19,灰熊,70,70,33.4,0.438,7.0,16.0,0.364,2.2,6.1,0.845,4.9,5.8,3.4,0.6,2.8,6.4,1.3,0.3,1.9,1.8,21.1,30,40
