球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
斯蒂芬-库里,15-16,勇士,79,79,34.2,0.504,10.2,20.2,0.454,5.1,11.2,0.908,4.6,5.1,5.4,0.9,4.6,6.7,2.1,0.2,3.3,2.0,30.1,71,8
詹姆斯-哈登,15-16,火箭,82,82,38.1,0.439,8.7,19.7,0.359,2.9,8.0,0.86,8.8,10.2,6.1,0.8,5.3,7.5,1.7,0.6,4.6,2.8,29.0,41,41
凯文-杜兰特,15-16,雷霆,72,72,35.8,0.505,9.7,19.2,0.387,2.6,6.7,0.898,6.2,6.9,8.2,0.6,7.6,5.0,1.0,1.2,3.5,1.9,28.2,52,20
德马库斯-考辛斯,15-16,国王,65,65,34.5,0.451,9.2,20.5,0.333,1.1,3.2,0.718,7.3,10.2,11.5,2.4,9.1,3.3,1.6,1.4,3.8,3.6,26.9,29,36
勒布朗-詹姆斯,15-16,骑士,76,76,35.7,0.52,9.7,18.6,0.309,1.1,3.7,0.731,4.7,6.5,7.4,1.5,6.0,6.8,1.4,0.6,3.3,1.9,25.3,56,20
达米安-利拉德,15-16,开拓者,75,75,35.6,0.419,8.2,19.7,0.375,3.1,8.1,0.892,5.5,6.2,4.0,0.6,3.4,6.8,0.9,0.4,3.2,2.2,25.1,40,35
安东尼-戴维斯,15-16,鹈鹕,61,61,35.4,0.493,9.2,18.6,0.324,0.6,1.8,0.758,5.3,7.0,10.3,2.1,8.1,1.9,1.3,2.0,2.0,2.4,24.3,24,37
拉塞尔-威斯布鲁克,15-16,雷霆,80,80,34.4,0.454,8.2,18.1,0.296,1.3,4.3,0.812,5.8,7.2,7.8,1.8,6.0,10.4,2.0,0.3,4.3,2.5,23.5,55,25
德玛尔-德罗赞,15-16,猛龙,78,78,35.9,0.446,7.9,17.7,0.338,0.6,1.8,0.85,7.1,8.4,4.5,0.8,3.7,4.0,1.0,0.3,2.2,2.1,23.5,53,25
保罗-乔治,15-16,步行者,81,81,34.9,0.418,7.5,17.9,0.371,2.6,7.0,0.86,5.6,6.5,7.0,1.0,6.0,4.1,1.9,0.4,3.3,2.8,23.1,44,37
以赛亚-托马斯,15-16,凯尔特,82,79,32.3,0.428,7.2,16.9,0.359,2.0,5.7,0.871,5.8,6.6,3.0,0.6,2.4,6.2,1.1,0.1,2.7,2.0,22.2,48,34
克莱-汤普森,15-16,勇士,80,80,33.3,0.47,8.1,17.3,0.425,3.5,8.1,0.873,2.4,2.8,3.8,0.4,3.4,2.1,0.8,0.6,1.7,1.9,22.1,71,9
卡梅罗-安东尼,15-16,尼克斯,72,72,35.1,0.434,7.9,18.2,0.339,1.5,4.3,0.829,4.6,5.6,7.7,1.4,6.4,4.2,0.9,0.5,2.4,2.5,21.8,32,40
布雷克-格里芬,15-16,快船,35,35,33.5,0.499,8.6,17.2,0.333,0.2,0.5,0.727,4.0,5.5,8.4,1.5,6.9,4.9,0.8,0.5,2.4,2.7,21.4,22,13
凯尔-洛瑞,15-16,猛龙,77,77,37.1,0.427,6.6,15.6,0.388,2.8,7.1,0.811,5.2,6.4,4.7,0.7,4.0,6.4,2.1,0.4,2.9,2.7,21.2,54,23
科怀-伦纳德,15-16,马刺,72,72,33.1,0.506,7.7,15.1,0.443,1.8,4.0,0.874,4.1,4.6,6.8,1.3,5.5,2.6,1.8,1.0,1.5,1.8,21.2,60,12
吉米-巴特勒,15-16,公牛,67,67,36.9,0.454,7.0,15.4,0.312,1.0,3.1,0.832,5.9,7.1,5.3,1.2,4.2,4.8,1.6,0.6,2.0,1.9,20.9,37,30
肯巴-沃克,15-16,黄蜂,81,81,35.6,0.427,7.0,16.4,0.371,2.2,6.0,0.847,4.6,5.4,4.4,0.7,3.7,5.2,1.6,0.5,2.1,1.4,20.9,47,34
C.J.迈克鲁姆,15-16,开拓者,80,80,34.7,0.448,8.0,17.9,0.417,2.5,5.9,0.827,2.3,2.8,3.2,0.6,2.7,4.3,1.2,0.3,2.5,2.3,20.8,44,36
安德鲁-威金斯,15-16,森林狼,81,81,35.1,0.459,7.3,16.0,0.3,0.7,2.3,0.761,5.3,7.0,3.6,1.3,2.3,2.0,1.0,0.6,2.2,2.0,20.7,29,52
布鲁克-洛佩斯,15-16,篮网,73,73,33.7,0.511,8.1,15.8,0.143,0.0,0.2,0.787,4.3,5.5,7.8,2.8,5.1,2.0,0.8,1.7,2.4,2.9,20.6,21,52
埃里克-布莱索,15-16,太阳,31,31,34.1,0.453,7.2,15.9,0.372,1.5,4.2,0.802,4.5,5.5,4.0,0.6,3.5,6.1,2.0,0.6,3.5,2.4,20.4,12,19
约翰-沃尔,15-16,奇才,77,77,36.1,0.424,7.4,17.5,0.351,1.5,4.3,0.791,3.5,4.5,4.9,0.5,4.4,10.2,1.9,0.8,4.1,2.1,19.9,37,40
戈登-海沃德,15-16,爵士,80,80,36.1,0.433,6.5,15.0,0.349,1.8,5.1,0.824,4.9,6.0,5.0,0.8,4.2,3.7,1.2,0.3,2.5,2.3,19.7,38,42
凯里-欧文,15-16,骑士,53,53,31.4,0.448,7.4,16.6,0.321,1.6,4.9,0.885,3.2,3.6,3.0,0.8,2.1,4.7,1.1,0.3,2.3,2.0,19.6,37,16
布兰登-奈特,15-16,太阳,52,50,36.0,0.415,7.1,17.2,0.342,2.3,6.8,0.852,3.0,3.5,3.9,0.7,3.2,5.1,1.2,0.4,3.4,2.4,19.6,16,36
达尼罗-加里纳利,15-16,掘金,53,53,34.7,0.41,5.4,13.2,0.364,1.6,4.5,0.868,7.1,8.2,5.3,1.0,4.3,2.5,0.8,0.4,1.5,1.6,19.5,22,31
克里斯-保罗,15-16,快船,74,74,32.8,0.462,7.0,15.1,0.371,1.6,4.4,0.896,4.0,4.4,4.2,0.5,3.7,10.0,2.1,0.2,2.6,2.5,19.5,50,24
克里斯-波什,15-16,热火,53,53,33.5,0.467,6.8,14.5,0.365,1.5,4.2,0.795,4.0,5.1,7.4,0.9,6.5,2.4,0.7,0.6,1.5,1.9,19.1,29,24
德维恩-韦德,15-16,热火,74,73,30.5,0.456,7.3,16.0,0.159,0.1,0.6,0.793,4.4,5.5,4.1,1.1,3.0,4.6,1.1,0.6,2.7,1.6,19.0,43,31
雷吉-杰克逊,15-16,活塞,79,79,30.7,0.434,6.8,15.7,0.353,1.5,4.2,0.864,3.7,4.3,3.2,0.7,2.5,6.2,0.7,0.1,2.8,2.4,18.8,43,36
卡尔-安东尼-唐斯,15-16,森林狼,82,82,32.0,0.542,7.6,14.1,0.341,0.4,1.1,0.811,2.7,3.4,10.5,2.8,7.7,2.0,0.7,1.7,2.2,3.0,18.3,29,53
德克-诺维茨基,15-16,独行侠,75,75,31.5,0.448,6.6,14.8,0.368,1.7,4.6,0.893,3.3,3.7,6.5,0.7,5.8,1.8,0.7,0.7,1.1,2.1,18.3,38,37
尼古拉-武切维奇,15-16,魔术,65,60,31.4,0.51,8.2,16.1,0.222,0.0,0.1,0.753,1.7,2.3,8.9,2.7,6.2,2.8,0.8,1.1,1.9,2.7,18.2,28,37
克里斯-米德尔顿,15-16,雄鹿,79,79,36.1,0.444,6.4,14.5,0.396,1.8,4.6,0.888,3.5,3.9,3.8,0.6,3.3,4.2,1.7,0.2,2.3,2.6,18.2,33,46
拉玛库斯-阿尔德里奇,15-16,马刺,74,74,30.5,0.513,7.2,14.1,0.0,0.0,0.2,0.858,3.5,4.1,8.5,2.4,6.2,1.5,0.5,1.1,1.3,2.0,18.0,61,13
科比-布莱恩特,15-16,湖人,66,66,28.2,0.358,6.0,16.9,0.285,2.0,7.1,0.826,3.5,4.3,3.7,0.6,3.1,2.8,0.9,0.2,2.0,1.7,17.6,13,53
贾希尔-奥卡福,15-16,76人,53,48,30.1,0.508,7.5,14.7,0.167,0.0,0.1,0.686,2.5,3.7,7.0,2.3,4.7,1.2,0.4,1.2,2.3,2.6,17.5,6,47
布拉德利-比尔,15-16,奇才,55,35,31.1,0.449,6.5,14.5,0.387,1.9,4.9,0.767,2.5,3.2,3.4,0.7,2.7,2.9,1.0,0.2,2.0,2.1,17.4,28,27
鲁迪-盖伊,15-16,国王,70,70,34.0,0.463,6.7,14.4,0.344,1.1,3.1,0.78,2.8,3.6,6.5,1.5,5.0,1.7,1.4,0.7,2.0,2.6,17.2,29,41
保罗-米尔萨普,15-16,老鹰,81,81,32.6,0.47,6.2,13.2,0.319,0.9,2.9,0.757,3.8,5.0,9.0,2.4,6.6,3.3,1.8,1.7,2.4,2.9,17.1,48,33
莱恩-安德森,15-16,鹈鹕,66,7,30.5,0.427,6.0,14.1,0.366,2.0,5.4,0.873,3.0,3.5,6.0,2.0,4.0,1.1,0.6,0.4,1.4,1.7,17.0,24,42
扬尼斯-阿德托昆博,15-16,雄鹿,80,79,35.3,0.506,6.4,12.7,0.257,0.4,1.4,0.724,3.7,5.1,7.7,1.4,6.2,4.3,1.2,1.4,2.6,3.2,16.9,32,48
朱-霍勒迪,15-16,鹈鹕,65,23,28.1,0.439,6.3,14.4,0.336,1.3,4.0,0.843,2.8,3.3,3.0,0.4,2.6,6.0,1.4,0.3,2.6,2.3,16.8,27,38
马克-加索尔,15-16,灰熊,52,52,34.5,0.464,6.3,13.6,0.667,0.0,0.1,0.829,3.9,4.7,7.0,1.1,5.8,3.8,1.0,1.3,2.3,2.7,16.6,30,22
保罗-加索尔,15-16,公牛,72,72,31.9,0.469,6.5,13.8,0.348,0.3,1.0,0.792,3.2,4.0,11.0,2.2,8.9,4.1,0.6,2.0,2.3,2.1,16.5,36,36
德里克-费弗斯,15-16,爵士,62,59,32.0,0.515,6.7,13.1,0.0,0.0,0.1,0.709,2.9,4.1,8.1,2.7,5.4,1.5,1.2,1.5,1.7,2.4,16.4,30,32
德里克-罗斯,15-16,公牛,66,66,31.7,0.427,6.8,15.9,0.293,0.7,2.3,0.793,2.2,2.7,3.4,0.7,2.7,4.7,0.7,0.2,2.7,1.3,16.4,32,34
J.J.雷迪克,15-16,快船,75,75,27.9,0.48,5.6,11.7,0.475,2.7,5.6,0.888,2.4,2.7,1.9,0.1,1.7,1.4,0.6,0.1,1.0,1.8,16.3,50,25
安德烈-德拉蒙德,15-16,活塞,81,81,32.9,0.521,6.8,13.1,0.333,0.0,0.1,0.355,2.6,7.2,14.8,4.9,9.9,0.8,1.5,1.4,1.9,3.0,16.2,43,38
凯文-乐福,15-16,骑士,77,77,31.5,0.419,5.3,12.7,0.36,2.1,5.7,0.822,3.4,4.1,9.9,1.9,8.0,2.4,0.8,0.5,1.8,2.1,16.0,53,24
维克多-奥拉迪波,15-16,魔术,72,52,33.1,0.438,5.9,13.5,0.348,1.4,3.9,0.83,2.8,3.4,4.8,0.7,4.1,3.9,1.6,0.8,2.1,2.4,16.0,32,40
杰夫-蒂格,15-16,老鹰,79,78,28.5,0.439,5.5,12.5,0.401,1.4,3.5,0.837,3.3,3.9,2.7,0.4,2.3,5.9,1.2,0.3,2.8,2.1,15.7,47,32
乔丹-克拉克森,15-16,湖人,79,79,32.4,0.433,6.0,13.9,0.347,1.4,4.1,0.804,2.1,2.6,4.0,1.2,2.8,2.4,1.1,0.1,1.7,2.1,15.5,17,62
埃文-富尼耶,15-16,魔术,79,71,32.5,0.462,5.4,11.8,0.4,2.0,4.9,0.836,2.5,3.0,2.8,0.4,2.4,2.7,1.2,0.0,1.7,2.7,15.4,33,46
路易斯-威廉姆斯,15-16,湖人,67,35,28.5,0.408,4.2,10.3,0.344,1.6,4.8,0.83,5.3,6.3,2.5,0.5,2.1,2.5,0.9,0.3,1.6,1.6,15.3,14,53
格雷格-门罗,15-16,雄鹿,79,67,29.3,0.522,6.2,11.9,0.0,0.0,0.0,0.74,2.9,3.9,8.8,2.8,6.1,2.3,0.9,0.8,1.6,2.1,15.3,32,47
迈克-康利,15-16,灰熊,56,56,31.3,0.422,5.3,12.4,0.363,1.4,3.8,0.834,3.4,4.1,2.9,0.5,2.5,6.1,1.2,0.3,1.5,1.8,15.3,33,23
扎克-兰多夫,15-16,灰熊,68,53,29.7,0.475,6.3,13.3,0.231,0.1,0.4,0.796,2.5,3.2,7.8,2.6,5.1,2.1,0.6,0.2,1.5,2.1,15.3,37,31
埃里克-戈登,15-16,鹈鹕,45,44,32.9,0.418,5.1,12.3,0.384,2.5,6.5,0.888,2.5,2.8,2.2,0.2,2.0,2.7,1.0,0.3,1.6,2.2,15.2,14,31
艾尔-霍福德,15-16,老鹰,82,82,32.2,0.505,6.5,12.8,0.344,1.1,3.1,0.798,1.3,1.6,7.3,1.8,5.5,3.2,0.8,1.5,1.3,2.0,15.2,48,34
艾弗里-布拉德利,15-16,凯尔特,76,72,33.4,0.447,6.0,13.4,0.361,1.9,5.4,0.78,1.3,1.6,2.9,0.6,2.3,2.1,1.5,0.3,1.4,2.2,15.2,45,31
泰瑞克-埃文斯,15-16,鹈鹕,25,25,30.6,0.433,5.4,12.6,0.388,1.3,3.4,0.796,3.0,3.7,5.2,0.8,4.4,6.6,1.3,0.3,2.9,2.6,15.2,11,14
赛迪斯-杨,15-16,篮网,73,73,33.1,0.514,6.8,13.2,0.233,0.1,0.4,0.644,1.4,2.2,9.0,2.4,6.6,1.9,1.5,0.5,1.9,2.5,15.1,21,52
尼古拉斯-巴通姆,15-16,黄蜂,70,70,35.0,0.426,5.3,12.5,0.348,2.0,5.7,0.849,2.3,2.7,6.1,0.8,5.3,5.8,0.9,0.6,2.9,1.6,14.9,41,29
托比亚斯-哈里斯,15-16,-1,76,74,33.1,0.469,5.5,11.7,0.335,1.1,3.1,0.831,2.7,3.2,6.7,1.3,5.4,2.2,0.9,0.5,1.4,2.0,14.7,37,39
罗德尼-胡德,15-16,爵士,79,79,32.2,0.42,5.2,12.3,0.359,2.0,5.7,0.86,2.2,2.5,3.4,0.5,2.9,2.7,0.9,0.2,1.6,2.6,14.5,39,40
肯塔维奥斯-卡德维尔-波普,15-16,活塞,76,76,36.7,0.42,5.3,12.6,0.309,1.5,4.9,0.811,2.4,3.0,3.7,0.9,2.8,1.8,1.4,0.2,1.4,2.2,14.5,41,35
威尔-巴顿,15-16,掘金,82,1,28.7,0.432,5.2,12.0,0.345,1.4,4.0,0.806,2.6,3.3,5.8,0.7,5.1,2.5,0.9,0.5,1.7,1.8,14.4,33,49
克里斯塔普斯-波尔津吉斯,15-16,尼克斯,72,72,28.5,0.421,5.2,12.3,0.333,1.1,3.4,0.838,2.8,3.3,7.3,1.8,5.5,1.3,0.7,1.9,1.7,2.8,14.3,28,44
哈桑-怀特塞德,15-16,热火,73,43,29.1,0.606,5.7,9.3,-0.01,0.0,0.0,0.65,2.9,4.5,11.8,3.3,8.6,0.4,0.6,3.7,1.9,2.8,14.2,42,31
杰-克劳德,15-16,凯尔特,73,73,31.6,0.443,4.9,11.1,0.336,1.7,5.0,0.82,2.7,3.3,5.1,1.0,4.2,1.8,1.7,0.5,1.1,2.7,14.2,43,30
贾马尔-克劳福德,15-16,快船,79,5,26.9,0.404,4.8,11.9,0.34,1.5,4.4,0.904,3.1,3.4,1.8,0.3,1.6,2.3,0.7,0.2,1.4,1.5,14.2,51,28
戈兰-德拉季奇,15-16,热火,72,72,32.8,0.477,5.8,12.2,0.312,0.9,2.8,0.727,1.7,2.3,3.8,0.8,3.1,5.8,1.0,0.2,2.6,2.6,14.1,44,28
马库斯-莫里斯,15-16,活塞,80,80,35.7,0.434,5.1,11.8,0.362,1.4,3.7,0.749,2.5,3.4,5.1,1.1,3.9,2.5,0.8,0.3,1.8,2.1,14.1,42,38
德隆-威廉姆斯,15-16,独行侠,65,63,32.4,0.414,4.9,11.9,0.344,1.5,4.3,0.869,2.8,3.2,2.9,0.3,2.6,5.8,0.9,0.2,2.3,2.4,14.1,31,34
贾巴里-帕克,15-16,雄鹿,76,72,31.7,0.493,5.8,11.8,0.257,0.1,0.5,0.768,2.3,3.0,5.2,1.6,3.6,1.7,0.9,0.4,1.5,2.0,14.1,32,44
扎克-拉文,15-16,森林狼,82,33,28.0,0.452,5.3,11.7,0.389,1.5,3.9,0.793,2.0,2.5,2.8,0.3,2.5,3.1,0.8,0.2,1.9,2.4,14.0,29,53
达伦-科里森,15-16,国王,74,15,29.9,0.486,5.1,10.5,0.401,1.2,2.9,0.858,2.6,3.1,2.3,0.4,1.9,4.3,1.0,0.1,1.8,1.9,14.0,29,45
德雷蒙德-格林,15-16,勇士,81,81,34.7,0.49,5.0,10.1,0.388,1.2,3.2,0.696,2.8,4.1,9.5,1.7,7.8,7.4,1.5,1.4,3.2,3.0,14.0,73,8
蒙塔-艾利斯,15-16,步行者,81,81,33.7,0.427,5.4,12.6,0.309,1.1,3.5,0.786,2.0,2.5,3.3,0.5,2.8,4.7,1.9,0.5,2.5,2.1,13.8,44,37
德文-布克,15-16,太阳,76,51,27.8,0.423,4.8,11.4,0.343,1.3,3.8,0.84,2.8,3.4,2.5,0.4,2.1,2.6,0.6,0.3,2.1,3.0,13.8,20,56
德怀特-霍华德,15-16,火箭,71,71,32.1,0.62,5.2,8.5,0.0,0.0,0.1,0.489,3.3,6.7,11.8,3.4,8.4,1.4,1.0,1.6,2.3,3.1,13.7,34,37
钱德勒-帕森斯,15-16,独行侠,61,51,29.5,0.492,5.2,10.7,0.414,1.7,4.1,0.684,1.5,2.2,4.7,0.5,4.2,2.8,0.8,0.3,1.6,1.9,13.7,29,32
马尔钦-戈塔特,15-16,奇才,75,74,30.1,0.567,5.8,10.2,0.0,0.0,0.0,0.705,1.9,2.8,9.9,3.0,6.9,1.4,0.6,1.3,1.6,2.6,13.5,35,40
亚历克-伯克斯,15-16,爵士,31,3,25.7,0.41,4.4,10.8,0.405,1.0,2.5,0.752,3.4,4.5,3.5,0.5,3.0,2.0,0.6,0.1,1.6,2.3,13.3,13,18
德安吉洛-拉塞尔,15-16,湖人,80,48,28.2,0.41,4.9,12.0,0.351,1.6,4.6,0.737,1.8,2.4,3.4,0.6,2.8,3.3,1.2,0.2,2.5,1.8,13.2,17,63
贾莱特-杰克,15-16,篮网,32,32,32.1,0.391,4.4,11.2,0.304,1.0,3.2,0.893,3.1,3.5,4.3,0.3,4.0,7.4,1.1,0.2,2.9,2.4,12.8,10,22
伊曼纽尔-穆迪埃,15-16,掘金,68,66,30.4,0.364,4.8,13.3,0.319,1.1,3.4,0.67,2.1,3.1,3.4,0.5,2.9,5.5,1.0,0.5,3.2,2.1,12.8,29,39
罗波特-考文顿,15-16,76人,67,49,28.4,0.385,4.1,10.6,0.353,2.5,7.2,0.791,2.1,2.6,6.3,1.0,5.3,1.4,1.6,0.6,2.1,3.5,12.8,10,57
阿隆-阿弗拉罗,15-16,尼克斯,71,57,33.2,0.443,5.0,11.3,0.382,1.3,3.4,0.84,1.5,1.8,3.7,0.3,3.4,2.0,0.4,0.1,1.2,2.0,12.8,27,44
约纳斯-瓦兰丘纳斯,15-16,猛龙,60,59,26.0,0.565,5.1,8.9,-0.01,0.0,0.0,0.761,2.7,3.6,9.1,3.1,6.1,0.7,0.4,1.3,1.4,2.6,12.8,40,20
迈克尔-比斯利,15-16,火箭,20,0,18.0,0.522,5.4,10.3,0.333,0.2,0.5,0.776,1.9,2.5,4.9,1.5,3.5,0.8,0.6,0.5,1.2,2.0,12.8,10,10
德安德鲁-乔丹,15-16,快船,77,77,33.8,0.703,4.6,6.6,0.0,0.0,0.0,0.43,3.5,8.0,13.8,3.5,10.3,1.2,0.7,2.3,1.4,2.7,12.7,51,26
埃内斯-坎特,15-16,雷霆,82,1,21.0,0.576,5.0,8.8,0.476,0.1,0.3,0.797,2.4,3.1,8.1,3.0,5.1,0.4,0.3,0.4,1.4,2.0,12.7,55,27
特雷沃-阿里扎,15-16,火箭,81,81,35.3,0.416,4.4,10.6,0.371,2.3,6.2,0.783,1.6,2.0,4.5,0.8,3.7,2.3,2.0,0.3,1.4,2.2,12.7,40,41
伊斯梅尔-史密斯,15-16,-1,77,53,29.1,0.411,5.2,12.6,0.329,0.7,2.2,0.693,1.6,2.3,4.0,0.6,3.4,6.5,1.1,0.3,2.3,1.7,12.6,16,61
赛尔吉-伊巴卡,15-16,雷霆,78,78,32.1,0.479,5.3,11.1,0.326,0.8,2.4,0.752,1.2,1.6,6.8,1.8,5.0,0.8,0.5,1.9,1.4,2.7,12.6,54,24
韦斯利-马修斯,15-16,独行侠,78,78,33.9,0.388,4.2,10.9,0.36,2.4,6.7,0.863,1.6,1.9,3.1,0.3,2.7,1.9,1.0,0.2,1.0,2.3,12.5,40,38
肯尼思-法里德,15-16,掘金,67,64,25.3,0.558,5.2,9.3,0.5,0.0,0.0,0.613,2.0,3.3,8.7,3.5,5.2,1.2,0.5,0.9,1.4,2.5,12.5,26,41
J.R.史密斯,15-16,骑士,77,77,30.7,0.415,4.6,11.0,0.4,2.6,6.6,0.634,0.6,0.9,2.8,0.6,2.3,1.7,1.1,0.3,0.8,2.6,12.4,53,24
洛尔-邓,15-16,热火,74,73,32.4,0.455,4.6,10.1,0.344,1.2,3.5,0.755,2.0,2.6,6.0,1.5,4.5,1.9,1.0,0.4,1.1,1.6,12.3,45,29
加里-哈里斯,15-16,掘金,76,76,32.1,0.469,4.7,10.1,0.354,1.4,3.9,0.82,1.4,1.8,2.9,0.7,2.2,1.9,1.3,0.2,1.3,1.9,12.3,31,45
乔-约翰逊,15-16,-1,81,81,33.4,0.439,4.7,10.6,0.383,1.5,3.9,0.831,1.5,1.8,3.6,0.6,3.0,3.9,0.8,0.0,2.0,1.8,12.2,31,50
米尔扎-泰利托维奇,15-16,太阳,79,1,21.3,0.427,4.2,9.8,0.393,2.3,5.8,0.774,1.5,2.0,3.8,0.7,3.1,1.1,0.4,0.3,1.1,2.0,12.2,23,56
乔治-希尔,15-16,步行者,74,73,34.1,0.441,4.4,10.0,0.408,1.7,4.2,0.76,1.5,2.0,4.0,0.8,3.2,3.5,1.1,0.2,1.4,2.0,12.1,41,33
艾尔-杰弗森,15-16,黄蜂,47,18,23.3,0.485,5.2,10.7,-0.01,0.0,0.0,0.649,1.5,2.4,6.4,1.2,5.2,1.5,0.6,0.9,0.7,2.5,12.0,33,14
马基夫-莫里斯,15-16,-1,64,45,25.5,0.425,4.8,11.2,0.303,0.7,2.4,0.735,1.7,2.3,5.5,1.1,4.4,1.9,0.9,0.5,2.1,2.9,12.0,22,42
拉简-朗多,15-16,国王,72,72,35.2,0.454,4.9,10.9,0.365,0.9,2.4,0.58,1.2,2.1,6.0,1.1,5.0,11.7,2.0,0.1,3.9,2.4,11.9,29,43
托尼-帕克,15-16,马刺,72,72,27.5,0.493,4.9,9.9,0.415,0.4,0.9,0.76,1.8,2.4,2.4,0.2,2.2,5.3,0.8,0.2,1.8,1.6,11.9,59,13
欧米-卡斯比,15-16,国王,69,21,27.3,0.481,4.3,9.0,0.409,1.6,4.0,0.648,1.5,2.3,5.9,0.8,5.1,1.4,0.8,0.2,1.4,2.2,11.8,27,42
尼古拉-米罗蒂奇,15-16,公牛,66,38,25.0,0.407,3.8,9.2,0.39,2.0,5.2,0.807,2.2,2.7,5.5,0.9,4.6,1.5,0.9,0.7,1.5,2.3,11.8,37,29
C.J. Miles,15-16,步行者,64,24,22.9,0.409,4.0,9.9,0.367,2.2,6.0,0.75,1.5,1.9,2.7,0.4,2.3,1.0,0.8,0.5,1.1,2.2,11.8,34,30
杰夫-格林,15-16,-1,80,41,28.2,0.43,4.4,10.3,0.315,0.8,2.7,0.745,2.1,2.8,4.2,0.9,3.2,1.7,0.7,0.5,1.2,2.1,11.7,48,32
哈里森-巴恩斯,15-16,勇士,66,59,31.0,0.466,4.5,9.6,0.383,1.2,3.2,0.761,1.5,2.0,4.9,1.2,3.8,1.8,0.6,0.2,0.9,2.1,11.7,59,7
林书豪,15-16,黄蜂,78,13,26.2,0.412,3.8,9.3,0.336,1.0,2.9,0.815,3.1,3.7,3.2,0.5,2.7,3.0,0.7,0.5,1.9,2.1,11.7,47,31
马文-威廉姆斯,15-16,黄蜂,81,81,28.9,0.452,4.2,9.2,0.402,1.9,4.7,0.833,1.5,1.8,6.4,1.6,4.9,1.4,0.7,1.0,0.8,1.6,11.7,47,34
肯特-贝兹莫尔,15-16,老鹰,75,68,27.7,0.441,4.3,9.7,0.357,1.5,4.1,0.815,1.6,2.0,5.1,0.4,4.7,2.3,1.3,0.5,1.8,2.3,11.6,44,31
奥托-波特,15-16,奇才,75,73,30.3,0.473,4.5,9.6,0.367,1.3,3.6,0.754,1.3,1.7,5.2,1.3,3.9,1.6,1.4,0.4,0.9,2.2,11.6,36,39
迈克尔-卡特-威廉姆斯,15-16,雄鹿,54,37,30.5,0.452,4.6,10.3,0.273,0.3,1.0,0.654,2.0,3.0,5.1,0.9,4.2,5.2,1.5,0.8,2.8,3.0,11.5,21,33
乔丹-汉密尔顿,15-16,鹈鹕,11,4,27.7,0.422,4.5,10.5,0.289,1.2,4.1,0.667,1.3,1.9,5.6,1.1,4.5,2.3,0.7,0.3,1.5,2.2,11.4,4,7
朱利叶斯-兰德尔,15-16,湖人,81,60,28.2,0.429,4.4,10.3,0.278,0.1,0.4,0.715,2.4,3.3,10.2,2.1,8.1,1.8,0.7,0.4,1.8,3.0,11.3,17,64
博扬-博格达诺维奇,15-16,篮网,79,39,26.8,0.433,4.1,9.5,0.382,1.6,4.3,0.833,1.4,1.7,3.2,0.5,2.8,1.3,0.4,0.1,1.5,1.5,11.2,21,58
诺伦斯-诺尔,15-16,76人,67,62,29.3,0.521,4.6,8.8,0.5,0.0,0.0,0.59,2.0,3.4,8.1,2.3,5.8,1.8,1.8,1.5,2.4,2.9,11.1,10,57
肖恩-基尔帕特里克,15-16,-1,31,0,19.8,0.456,4.0,8.7,0.342,1.3,3.7,0.896,1.9,2.2,1.8,0.4,1.4,0.9,0.4,0.1,1.0,1.2,11.1,7,24
德马雷-卡罗尔,15-16,猛龙,26,22,30.3,0.389,4.0,10.4,0.39,1.8,4.5,0.6,1.2,1.9,4.7,1.2,3.5,1.0,1.7,0.2,1.1,2.4,11.0,16,10
丹尼斯-施罗德,15-16,老鹰,80,6,20.2,0.421,4.1,9.8,0.322,1.0,3.0,0.791,1.8,2.3,2.6,0.3,2.2,4.4,0.9,0.1,2.3,1.7,11.0,47,33
以赛亚-坎南,15-16,76人,77,39,25.5,0.36,3.4,9.4,0.363,2.3,6.3,0.833,1.9,2.3,2.3,0.3,2.0,1.8,0.7,0.2,1.2,1.7,11.0,10,67
TJ-沃伦,15-16,太阳,47,4,22.7,0.501,4.7,9.4,0.4,0.6,1.5,0.703,1.0,1.4,3.1,1.2,1.9,0.9,0.8,0.3,0.7,2.0,11.0,14,33
