球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
奈伊尔-约翰斯顿,54-55,勇士,72,-1.0,40.5,0.44,7.2,16.4,-0.01,-1.0,-1.0,0.766,8.2,10.7,15.1,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,3.5,22.7,-1.0,-1.0
鲍勃-库西,54-55,凯尔特,71,-1.0,38.7,0.397,7.4,18.5,-0.01,-1.0,-1.0,0.807,6.5,8.0,6.0,-1.0,-1.0,7.8,-1.0,-1.0,-1.0,2.3,21.2,-1.0,-1.0
保罗-阿里金,54-55,勇士,72,-1.0,41.0,0.399,7.3,18.4,-0.01,-1.0,-1.0,0.776,6.3,8.1,9.4,-1.0,-1.0,2.9,-1.0,-1.0,-1.0,3.8,21.0,-1.0,-1.0
鲍勃-佩蒂特,54-55,老鹰,72,-1.0,36.9,0.407,7.2,17.8,-0.01,-1.0,-1.0,0.751,5.9,7.9,13.8,-1.0,-1.0,3.2,-1.0,-1.0,-1.0,3.6,20.4,-1.0,-1.0
弗兰克-塞尔维,54-55,-1,71,-1.0,37.6,0.378,6.4,16.8,-0.01,-1.0,-1.0,0.728,6.3,8.6,5.5,-1.0,-1.0,3.5,-1.0,-1.0,-1.0,3.2,19.0,-1.0,-1.0
克莱德-拉福莱特,54-55,老湖人,70,-1.0,33.7,0.435,7.4,17.0,-0.01,-1.0,-1.0,0.686,3.9,5.7,11.5,-1.0,-1.0,1.4,-1.0,-1.0,-1.0,3.7,18.7,-1.0,-1.0
沃恩-米克尔森,54-55,老湖人,71,-1.0,36.0,0.422,6.2,14.7,-0.01,-1.0,-1.0,0.747,6.3,8.4,10.2,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,4.5,18.7,-1.0,-1.0
多尔夫-谢伊斯,54-55,国民,72,-1.0,35.1,0.383,5.9,15.3,-0.01,-1.0,-1.0,0.833,6.8,8.2,12.3,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,3.4,18.5,-1.0,-1.0
比尔-沙尔曼,54-55,凯尔特,68,-1.0,36.1,0.427,6.7,15.6,-0.01,-1.0,-1.0,0.897,5.1,5.7,4.4,-1.0,-1.0,4.1,-1.0,-1.0,-1.0,3.1,18.4,-1.0,-1.0
艾德-麦考雷,54-55,凯尔特,71,-1.0,38.1,0.424,5.7,13.4,-0.01,-1.0,-1.0,0.792,6.2,7.9,8.5,-1.0,-1.0,3.9,-1.0,-1.0,-1.0,2.4,17.6,-1.0,-1.0
乔治-亚德利,54-55,活塞,60,-1.0,35.8,0.418,6.1,14.5,-0.01,-1.0,-1.0,0.745,5.2,6.9,9.9,-1.0,-1.0,2.1,-1.0,-1.0,-1.0,3.4,17.3,-1.0,-1.0
