球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
阿伦-艾弗森,01-02,76人,60,59,43.7,0.398,11.1,27.8,0.291,1.3,4.5,0.812,7.9,9.8,4.5,0.7,3.8,5.5,2.8,0.2,4.0,1.7,31.4,36,24
沙奎尔-奥尼尔,01-02,湖人,67,66,36.1,0.579,10.6,18.3,0.0,0.0,0.0,0.555,5.9,10.7,10.7,3.5,7.2,3.0,0.6,2.0,2.6,3.0,27.2,51,16
保罗-皮尔斯,01-02,凯尔特,82,82,40.3,0.442,8.6,19.5,0.404,2.6,6.3,0.809,6.3,7.8,6.9,1.0,5.9,3.2,1.9,1.0,2.9,2.9,26.1,49,33
特雷西·麦克格雷迪,01-02,魔术,76,76,38.3,0.451,9.4,20.9,0.364,1.4,3.7,0.748,5.5,7.3,7.9,2.0,5.9,5.3,1.6,1.0,2.5,1.8,25.6,43,33
蒂姆-邓肯,01-02,马刺,82,82,40.6,0.508,9.3,18.3,0.1,0.0,0.1,0.799,6.8,8.5,12.7,3.3,9.4,3.7,0.7,2.5,3.2,2.6,25.5,58,24
科比-布莱恩特,01-02,湖人,80,80,38.3,0.469,9.4,20.0,0.25,0.4,1.7,0.829,6.1,7.4,5.5,1.4,4.1,5.5,1.5,0.4,2.8,2.9,25.2,56,24
文斯-卡特,01-02,猛龙,60,60,39.8,0.428,9.3,21.8,0.387,2.0,5.2,0.798,4.1,5.1,5.2,2.3,2.9,4.0,1.6,0.7,2.6,3.2,24.7,30,30
克里斯-韦伯,01-02,国王,54,54,38.4,0.495,9.9,19.9,0.263,0.1,0.4,0.749,4.7,6.3,10.1,2.8,7.3,4.8,1.7,1.4,2.9,3.4,24.5,42,12
德克-诺维茨基,01-02,独行侠,76,76,38.0,0.477,7.9,16.6,0.397,1.8,4.6,0.853,5.8,6.8,9.9,1.6,8.4,2.4,1.1,1.0,1.9,2.9,23.4,53,23
迈克尔-乔丹,01-02,奇才,60,53,34.9,0.416,9.2,22.1,0.189,0.2,0.9,0.79,4.4,5.6,5.7,0.8,4.8,5.2,1.4,0.4,2.7,2.0,22.9,30,30
