球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
凯文-杜兰特,11-12,雷霆,66,66,38.6,0.496,9.7,19.7,0.387,2.0,5.2,0.86,6.5,7.6,8.0,0.6,7.4,3.5,1.3,1.2,3.8,2.0,28.0,47,19
科比-布莱恩特,11-12,湖人,58,58,38.5,0.43,9.9,23.0,0.303,1.5,4.9,0.845,6.6,7.8,5.4,1.1,4.3,4.6,1.2,0.3,3.5,1.8,27.9,36,22
勒布朗-詹姆斯,11-12,热火,62,62,37.5,0.531,10.0,18.9,0.362,0.9,2.4,0.771,6.2,8.1,7.9,1.5,6.4,6.2,1.9,0.8,3.4,1.5,27.1,45,17
凯文-乐福,11-12,森林狼,55,55,39.1,0.448,8.6,19.3,0.372,1.9,5.1,0.824,6.9,8.4,13.3,4.1,9.2,2.0,0.9,0.5,2.3,2.8,26.0,24,31
拉塞尔-威斯布鲁克,11-12,雷霆,66,66,35.3,0.457,8.8,19.2,0.316,0.9,3.0,0.823,5.2,6.3,4.6,1.5,3.1,5.5,1.7,0.3,3.6,2.2,23.6,47,19
卡梅罗-安东尼,11-12,尼克斯,55,55,34.1,0.43,8.0,18.6,0.335,1.2,3.7,0.804,5.4,6.7,6.3,1.6,4.7,3.6,1.1,0.4,2.6,2.8,22.6,29,26
德维恩-韦德,11-12,热火,49,49,33.2,0.497,8.5,17.1,0.268,0.3,1.1,0.791,4.8,6.1,4.8,1.5,3.3,4.6,1.7,1.3,2.6,2.2,22.1,32,17
德里克-罗斯,11-12,公牛,39,39,35.3,0.435,7.7,17.8,0.312,1.4,4.4,0.812,5.0,6.1,3.4,0.7,2.7,7.9,0.9,0.7,3.1,1.3,21.8,32,7
拉玛库斯-阿尔德里奇,11-12,开拓者,55,55,36.3,0.512,8.8,17.1,0.182,0.0,0.2,0.814,4.1,5.0,8.0,2.7,5.3,2.4,0.9,0.8,2.0,2.8,21.7,26,29
德克-诺维茨基,11-12,独行侠,62,62,33.5,0.457,7.6,16.7,0.368,1.3,3.4,0.896,5.1,5.7,6.7,0.7,6.0,2.2,0.7,0.5,1.9,2.1,21.6,33,29
德隆-威廉姆斯,11-12,篮网,55,55,36.3,0.407,7.1,17.5,0.336,2.1,6.2,0.843,4.7,5.5,3.3,0.4,2.9,8.7,1.2,0.4,4.0,2.2,21.0,21,34
布雷克-格里芬,11-12,快船,66,66,36.2,0.549,8.5,15.5,0.125,0.0,0.2,0.521,3.7,7.1,10.9,3.3,7.6,3.2,0.8,0.7,2.3,3.3,20.7,40,26
德怀特-霍华德,11-12,魔术,54,54,38.3,0.573,7.7,13.4,0.0,0.0,0.1,0.491,5.2,10.6,14.5,3.7,10.8,1.9,1.5,2.1,3.2,2.9,20.6,33,21
蒙塔-艾利斯,11-12,-1,58,58,36.6,0.433,7.8,17.9,0.308,1.1,3.5,0.796,3.8,4.7,3.4,0.3,3.1,6.0,1.5,0.3,3.1,2.3,20.4,29,29
大卫-李,11-12,勇士,57,57,37.2,0.503,8.1,16.2,0.0,0.0,0.1,0.782,3.8,4.9,9.6,3.0,6.6,2.8,0.9,0.4,2.6,3.1,20.1,22,35
克里斯-保罗,11-12,快船,60,60,36.3,0.478,7.1,14.8,0.371,1.3,3.6,0.861,4.3,5.0,3.6,0.7,2.9,9.1,2.5,0.1,2.1,2.3,19.8,37,23
安德里亚-巴尼亚尼,11-12,猛龙,31,31,33.3,0.432,6.7,15.6,0.296,1.1,3.7,0.873,4.9,5.6,5.5,0.8,4.8,2.0,0.6,0.5,2.2,1.7,19.5,13,18
保罗-皮尔斯,11-12,凯尔特,61,61,34.0,0.443,6.5,14.6,0.366,1.6,4.5,0.852,4.8,5.6,5.2,0.6,4.6,4.5,1.1,0.4,2.8,2.4,19.4,38,23
艾尔-杰弗森,11-12,爵士,61,61,34.0,0.492,8.5,17.2,0.25,0.0,0.1,0.774,2.2,2.9,9.6,2.2,7.4,2.2,0.8,1.7,1.0,2.5,19.2,32,29
布兰登-詹宁斯,11-12,雄鹿,66,66,35.3,0.418,7.1,17.0,0.332,2.0,5.9,0.808,2.9,3.6,3.4,0.7,2.7,5.5,1.6,0.3,2.2,1.7,19.1,31,35
鲁迪-盖伊,11-12,灰熊,65,65,37.3,0.455,7.5,16.4,0.312,0.8,2.7,0.791,3.2,4.0,6.4,2.0,4.4,2.3,1.5,0.8,2.5,2.1,19.0,41,24
乔-约翰逊,11-12,老鹰,60,60,35.4,0.454,7.1,15.5,0.388,2.1,5.4,0.849,2.6,3.1,3.7,0.9,2.8,3.9,0.8,0.2,1.9,1.3,18.8,36,24
约什-史密斯,11-12,老鹰,66,66,35.3,0.458,7.6,16.7,0.257,0.4,1.7,0.63,3.1,4.9,9.6,2.1,7.5,3.9,1.4,1.7,2.5,2.6,18.8,40,26
安德鲁-拜纳姆,11-12,湖人,60,60,35.2,0.558,7.4,13.3,0.2,0.0,0.1,0.692,3.9,5.6,11.8,3.2,8.6,1.4,0.5,1.9,2.5,1.7,18.7,38,22
丹尼-格兰杰,11-12,步行者,62,62,33.3,0.416,6.3,15.2,0.381,2.0,5.2,0.873,4.1,4.7,5.0,1.3,3.7,1.8,1.0,0.6,1.8,2.3,18.7,41,21
马库斯-索顿,11-12,国王,51,51,34.9,0.438,6.9,15.7,0.345,2.1,6.1,0.865,2.8,3.2,3.7,1.6,2.0,1.9,1.4,0.2,1.6,2.2,18.7,19,32
凯里-欧文,11-12,骑士,51,51,30.5,0.469,6.9,14.6,0.399,1.4,3.6,0.872,3.4,3.8,3.7,0.9,2.9,5.4,1.1,0.4,3.1,2.2,18.5,17,34
托尼-帕克,11-12,马刺,60,60,32.1,0.48,7.1,14.8,0.23,0.2,1.0,0.799,3.8,4.7,2.9,0.4,2.5,7.7,1.0,0.1,2.6,1.3,18.3,47,13
