球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
乔治-迈肯,48-49,老湖人,60,-1.0,-1.0,0.416,9.7,23.4,-0.01,-1.0,-1.0,0.772,8.9,11.5,-1.0,-1.0,-1.0,3.6,-1.0,-1.0,-1.0,4.3,28.3,-1.0,-1.0
乔-福尔克斯,48-49,勇士,60,-1.0,-1.0,0.313,8.8,28.2,-0.01,-1.0,-1.0,0.787,8.4,10.6,-1.0,-1.0,-1.0,1.2,-1.0,-1.0,-1.0,4.4,26.0,-1.0,-1.0
马克斯尔-扎斯洛夫斯基,48-49,雄鹿,58,-1.0,-1.0,0.35,7.3,21.0,-0.01,-1.0,-1.0,0.84,6.0,7.1,-1.0,-1.0,-1.0,2.6,-1.0,-1.0,-1.0,2.7,20.6,-1.0,-1.0
阿尔尼-李森,48-49,皇家,60,-1.0,-1.0,0.423,5.8,13.6,-0.01,-1.0,-1.0,0.66,5.1,7.7,-1.0,-1.0,-1.0,1.7,-1.0,-1.0,-1.0,3.6,16.6,-1.0,-1.0
伯鲁斯-斯马维利,48-49,轰炸机,59,-1.0,-1.0,0.372,6.0,16.0,-0.01,-1.0,-1.0,0.747,3.6,4.8,-1.0,-1.0,-1.0,3.1,-1.0,-1.0,-1.0,2.5,15.5,-1.0,-1.0
艾德-萨多夫斯基,48-49,勇士,60,-1.0,-1.0,0.405,5.7,14.0,-0.01,-1.0,-1.0,0.686,4.0,5.8,-1.0,-1.0,-1.0,2.7,-1.0,-1.0,-1.0,4.6,15.3,-1.0,-1.0
鲍伯-戴维斯,48-49,皇家,60,-1.0,-1.0,0.364,5.3,14.5,-0.01,-1.0,-1.0,0.776,4.5,5.8,-1.0,-1.0,-1.0,5.4,-1.0,-1.0,-1.0,3.3,15.1,-1.0,-1.0
吉姆-波拉德,48-49,老湖人,53,-1.0,-1.0,0.396,5.9,14.9,-0.01,-1.0,-1.0,0.687,2.9,4.3,-1.0,-1.0,-1.0,2.7,-1.0,-1.0,-1.0,2.7,14.8,-1.0,-1.0
乔治-卡夫腾,48-49,凯尔特,21,-1.0,-1.0,0.368,5.5,15.0,-0.01,-1.0,-1.0,0.626,3.4,5.5,-1.0,-1.0,-1.0,2.9,-1.0,-1.0,-1.0,1.3,14.5,-1.0,-1.0
卡尔-布劳恩,48-49,尼克斯,57,-1.0,-1.0,0.33,5.2,15.9,-0.01,-1.0,-1.0,0.76,3.7,4.9,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,2.5,14.2,-1.0,-1.0
John Logan,48-49,轰炸机,57,-1.0,-1.0,0.346,4.9,14.3,-0.01,-1.0,-1.0,0.791,4.2,5.3,-1.0,-1.0,-1.0,4.8,-1.0,-1.0,-1.0,3.4,14.1,-1.0,-1.0
豪威尔-香农,48-49,蒸汽,55,-1.0,-1.0,0.364,5.3,14.6,-0.01,-1.0,-1.0,0.804,2.8,3.4,-1.0,-1.0,-1.0,2.3,-1.0,-1.0,-1.0,2.8,13.4,-1.0,-1.0
康尼尔-西蒙斯,48-49,子弹,60,-1.0,-1.0,0.377,5.0,13.2,-0.01,-1.0,-1.0,0.683,3.0,4.4,-1.0,-1.0,-1.0,1.9,-1.0,-1.0,-1.0,3.6,13.0,-1.0,-1.0
鲍伯-费德里克,48-49,老首都,58,-1.0,-1.0,0.35,4.3,12.2,-0.01,-1.0,-1.0,0.859,4.4,5.1,-1.0,-1.0,-1.0,3.2,-1.0,-1.0,-1.0,2.9,13.0,-1.0,-1.0
雷-兰普,48-49,-1,61,-1.0,-1.0,0.349,4.6,13.1,-0.01,-1.0,-1.0,0.774,3.6,4.6,-1.0,-1.0,-1.0,2.6,-1.0,-1.0,-1.0,2.8,12.7,-1.0,-1.0
Bones McKinney,48-49,老首都,57,-1.0,-1.0,0.328,4.6,14.1,-0.01,-1.0,-1.0,0.706,3.5,4.9,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,3.8,12.7,-1.0,-1.0
Bud Palmer,48-49,尼克斯,58,-1.0,-1.0,0.35,4.1,11.8,-0.01,-1.0,-1.0,0.762,4.0,5.3,-1.0,-1.0,-1.0,1.9,-1.0,-1.0,-1.0,3.6,12.3,-1.0,-1.0
安迪-菲利浦,48-49,雄鹿,60,-1.0,-1.0,0.348,4.8,13.6,-0.01,-1.0,-1.0,0.676,2.5,3.7,-1.0,-1.0,-1.0,5.3,-1.0,-1.0,-1.0,3.4,12.0,-1.0,-1.0
Kleggie Hermsen,48-49,老首都,60,-1.0,-1.0,0.312,4.1,13.2,-0.01,-1.0,-1.0,0.682,3.5,5.2,-1.0,-1.0,-1.0,1.7,-1.0,-1.0,-1.0,4.3,11.8,-1.0,-1.0
杰克-尼古拉斯,48-49,老首都,34,-1.0,-1.0,0.39,4.5,11.5,-0.01,-1.0,-1.0,0.73,2.7,3.7,-1.0,-1.0,-1.0,1.6,-1.0,-1.0,-1.0,3.5,11.7,-1.0,-1.0
Walt Budko,48-49,子弹,60,-1.0,-1.0,0.348,3.7,10.7,-0.01,-1.0,-1.0,0.79,4.1,5.2,-1.0,-1.0,-1.0,1.7,-1.0,-1.0,-1.0,3.4,11.5,-1.0,-1.0
Fred Scolari,48-49,老首都,48,-1.0,-1.0,0.31,4.1,13.2,-0.01,-1.0,-1.0,0.798,3.0,3.8,-1.0,-1.0,-1.0,2.1,-1.0,-1.0,-1.0,3.1,11.2,-1.0,-1.0
Freddie Lewis_,48-49,-1,61,-1.0,-1.0,0.326,4.5,13.7,-0.01,-1.0,-1.0,0.762,2.3,3.0,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0,2.7,11.2,-1.0,-1.0
