球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
詹姆斯-哈登,19-20,火箭,61,61,36.7,0.435,9.9,22.7,0.352,4.4,12.6,0.861,10.1,11.8,6.3,1.0,5.3,7.4,1.7,0.9,4.4,3.4,34.4,39,22
布拉德利-比尔,19-20,奇才,57,57,36.0,0.455,10.4,22.9,0.353,3.0,8.4,0.843,6.8,8.0,4.2,0.9,3.3,6.1,1.3,0.4,3.4,2.2,30.6,20,37
扬尼斯-阿德托昆博,19-20,雄鹿,57,57,30.9,0.547,10.9,20.0,0.306,1.5,4.8,0.635,6.4,10.0,13.7,2.3,11.5,5.8,1.1,1.0,3.7,3.0,29.7,48,9
特雷-杨,19-20,老鹰,60,60,35.4,0.437,9.1,20.8,0.361,3.4,9.5,0.86,8.0,9.3,4.2,0.5,3.7,9.3,1.1,0.1,4.8,1.7,29.6,18,42
达米安-利拉德,19-20,开拓者,58,58,36.9,0.457,9.2,20.0,0.394,3.9,9.9,0.888,6.7,7.6,4.3,0.5,3.8,7.8,1.0,0.4,2.9,1.7,28.9,27,31
卢卡-东契奇,19-20,独行侠,54,54,33.3,0.461,9.5,20.6,0.318,2.9,9.1,0.752,6.8,9.1,9.3,1.3,8.0,8.7,1.1,0.2,4.2,2.5,28.7,34,20
拉塞尔-威斯布鲁克,19-20,火箭,53,53,35.9,0.474,10.7,22.6,0.254,1.0,3.8,0.777,5.1,6.5,8.1,1.8,6.3,7.0,1.7,0.3,4.5,3.5,27.5,34,19
凯里-欧文,19-20,篮网,20,20,33.0,0.478,10.0,20.8,0.394,2.8,7.1,0.922,4.7,5.1,5.2,1.1,4.1,6.4,1.4,0.5,2.6,2.7,27.4,8,12
科怀-伦纳德,19-20,快船,51,51,32.3,0.469,9.3,19.9,0.366,2.1,5.7,0.889,6.1,6.9,7.3,1.0,6.3,5.0,1.8,0.6,2.7,1.9,26.9,38,13
安东尼-戴维斯,19-20,湖人,55,55,34.4,0.511,9.2,18.1,0.335,1.2,3.5,0.845,7.0,8.3,9.4,2.2,7.1,3.1,1.5,2.4,2.4,2.5,26.7,43,12
卡尔-安东尼-唐斯,19-20,森林狼,35,35,33.9,0.508,9.0,17.8,0.412,3.3,7.9,0.796,5.1,6.5,10.8,2.7,8.1,4.4,1.0,1.2,3.1,3.3,26.5,10,25
德文-布克,19-20,太阳,62,62,36.1,0.487,8.8,18.0,0.36,2.0,5.6,0.916,6.5,7.1,4.1,0.4,3.7,6.6,0.7,0.3,3.9,3.0,26.1,26,36
勒布朗-詹姆斯,19-20,湖人,60,60,34.9,0.498,9.8,19.6,0.349,2.2,6.4,0.697,4.0,5.7,7.9,1.0,6.9,10.6,1.2,0.5,4.0,1.8,25.7,47,13
扎克-拉文,19-20,公牛,60,60,34.8,0.449,9.0,20.0,0.38,3.1,8.1,0.802,4.5,5.6,4.8,0.7,4.1,4.2,1.5,0.5,3.4,2.2,25.5,20,40
布兰顿-英格拉姆,19-20,鹈鹕,56,56,34.3,0.466,8.4,18.0,0.387,2.4,6.3,0.858,5.1,5.9,6.2,0.9,5.4,4.3,1.0,0.6,3.1,2.9,24.3,23,33
多诺万-米切尔,19-20,爵士,63,63,34.3,0.453,8.9,19.6,0.364,2.5,6.8,0.859,4.0,4.6,4.4,0.7,3.7,4.2,1.0,0.2,2.7,2.4,24.2,40,23
帕斯卡尔-西亚卡姆,19-20,猛龙,53,53,35.5,0.459,8.7,18.9,0.359,2.2,6.0,0.8,4.2,5.2,7.5,1.1,6.5,3.6,1.0,0.9,2.5,2.8,23.6,40,13
Zion Williamson,19-20,鹈鹕,19,19,29.7,0.589,9.1,15.4,0.462,0.3,0.7,0.645,5.2,8.0,6.8,2.9,3.9,2.2,0.8,0.5,2.7,1.7,23.6,10,9
杰森-塔特姆,19-20,凯尔特,59,59,34.7,0.448,8.5,18.9,0.398,2.8,7.1,0.806,3.8,4.7,7.1,1.0,6.1,2.9,1.4,0.9,2.2,2.1,23.6,41,18
乔尔-恩比德,19-20,76人,44,44,30.2,0.473,7.5,16.0,0.348,1.3,3.7,0.814,7.1,8.7,11.8,2.8,9.0,3.1,0.8,1.3,3.1,3.4,23.4,28,16
德安吉洛-拉塞尔,19-20,-1,45,45,32.2,0.426,8.0,18.8,0.367,3.5,9.6,0.809,3.6,4.4,3.9,0.4,3.6,6.3,1.0,0.3,3.3,1.9,23.1,11,34
C.J.迈克鲁姆,19-20,开拓者,62,62,36.0,0.453,8.9,19.5,0.38,2.8,7.4,0.75,2.0,2.6,4.1,0.7,3.5,4.3,0.7,0.6,1.9,2.6,22.5,28,34
德玛尔-德罗赞,19-20,马刺,61,61,34.3,0.526,8.2,15.7,0.267,0.1,0.5,0.843,5.5,6.6,5.7,0.6,5.0,5.6,1.0,0.2,2.4,2.7,22.1,26,35
安德鲁-威金斯,19-20,-1,54,54,34.4,0.447,8.1,18.1,0.332,2.1,6.2,0.709,3.5,5.0,5.1,1.2,3.9,3.7,0.8,1.0,2.4,2.4,21.8,15,39
约翰-科林斯,19-20,老鹰,41,41,33.2,0.583,8.6,14.8,0.401,1.4,3.6,0.8,2.9,3.7,10.1,2.8,7.3,1.5,0.8,1.6,1.8,3.4,21.6,15,26
肯巴-沃克,19-20,凯尔特,50,50,31.8,0.421,7.0,16.6,0.377,3.3,8.8,0.867,3.9,4.5,4.1,0.7,3.4,4.9,0.9,0.5,2.1,1.5,21.2,33,17
克里斯-米德尔顿,19-20,雄鹿,55,52,30.1,0.499,7.7,15.5,0.418,2.4,5.8,0.908,3.2,3.6,6.2,0.7,5.5,4.1,0.9,0.1,2.0,2.2,21.1,44,11
保罗-乔治,19-20,快船,42,42,29.1,0.432,6.9,16.0,0.399,3.2,7.9,0.882,3.9,4.5,5.7,0.5,5.2,3.9,1.3,0.5,2.7,2.4,21.0,30,12
科林-塞克斯顿,19-20,骑士,65,65,32.9,0.472,7.9,16.7,0.38,1.5,3.9,0.846,3.5,4.1,3.2,1.0,2.2,3.0,1.0,0.1,2.4,2.2,20.8,19,46
斯宾瑟-丁维迪,19-20,篮网,64,49,31.2,0.416,6.6,15.9,0.308,1.9,6.3,0.778,5.4,7.0,3.5,0.5,3.0,6.8,0.6,0.3,2.7,2.8,20.6,30,34
