球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
阿德里安-丹特利,80-81,爵士,80,-1.0,42.7,0.559,11.4,20.3,0.286,0.0,0.1,0.806,7.9,9.8,6.4,2.4,4.0,4.0,1.4,0.2,3.5,3.1,30.7,-1.0,-1.0
摩西-马龙,80-81,火箭,80,-1.0,40.6,0.522,10.1,19.3,0.333,0.0,0.0,0.757,7.6,10.1,14.8,5.9,8.8,1.8,1.0,1.9,3.9,2.8,27.8,-1.0,-1.0
乔治-格文,80-81,马刺,82,-1.0,33.7,0.492,10.4,21.1,0.257,0.1,0.4,0.826,6.2,7.6,5.1,1.5,3.6,3.2,1.1,0.7,3.1,2.6,27.1,-1.0,-1.0
卡里姆-贾巴尔,80-81,湖人,80,-1.0,37.2,0.574,10.5,18.2,0.0,0.0,0.0,0.766,5.3,6.9,10.3,2.5,7.8,3.4,0.7,2.9,3.1,3.1,26.2,-1.0,-1.0
大卫-汤普森,80-81,掘金,77,-1.0,34.0,0.506,9.5,18.8,0.256,0.1,0.5,0.795,6.4,8.0,3.7,1.4,2.3,3.0,0.7,0.8,3.2,3.0,25.5,-1.0,-1.0
奥蒂斯-比尔德松,80-81,国王,71,-1.0,36.5,0.544,10.0,18.4,0.286,0.1,0.5,0.697,4.5,6.4,3.6,1.7,2.0,3.3,1.3,0.3,2.4,2.4,24.6,-1.0,-1.0
朱利叶斯-欧文,80-81,76人,82,-1.0,35.0,0.521,9.7,18.6,0.222,0.0,0.2,0.787,5.1,6.5,8.0,3.0,5.0,4.4,2.1,1.8,3.2,2.8,24.6,-1.0,-1.0
迈克-米切尔,80-81,骑士,82,-1.0,39.0,0.476,10.4,21.8,0.444,0.0,0.1,0.784,3.7,4.7,6.1,2.6,3.5,1.7,0.8,0.6,2.1,2.4,24.5,-1.0,-1.0
沃尔德-B-弗里,80-81,勇士,65,-1.0,36.5,0.446,7.9,17.8,0.161,0.1,0.5,0.814,8.1,10.0,2.4,0.7,1.7,5.6,1.3,0.2,3.0,2.8,24.1,-1.0,-1.0
阿历克斯-英格利什,80-81,掘金,81,-1.0,38.2,0.494,9.5,19.2,0.6,0.0,0.1,0.85,4.8,5.7,8.0,3.4,4.6,3.6,1.3,1.2,3.0,3.1,23.8,-1.0,-1.0
贾马尔-威尔克斯,80-81,湖人,81,-1.0,37.4,0.526,9.7,18.5,0.077,0.0,0.2,0.758,3.1,4.1,5.4,1.8,3.6,2.9,1.5,0.4,2.6,2.8,22.6,-1.0,-1.0
伯纳德-金,80-81,勇士,81,-1.0,36.0,0.588,9.0,15.4,0.333,0.0,0.1,0.703,3.8,5.4,6.8,2.2,4.6,3.5,0.9,0.4,3.3,3.8,21.9,-1.0,-1.0
丹-伊塞尔,80-81,掘金,80,-1.0,33.0,0.503,7.7,15.3,0.167,0.0,0.2,0.759,6.5,8.6,8.5,2.9,5.6,2.0,1.0,0.7,1.6,3.1,21.9,-1.0,-1.0
约翰-德鲁,80-81,老鹰,67,-1.0,31.0,0.456,7.5,16.4,0.0,0.0,0.1,0.787,6.8,8.6,5.7,2.2,3.6,1.2,1.5,0.2,2.9,3.9,21.7,-1.0,-1.0
埃尔文-约翰逊,80-81,湖人,37,-1.0,37.1,0.532,8.4,15.9,0.176,0.1,0.5,0.76,4.6,6.1,8.6,2.7,5.9,8.6,3.4,0.7,3.9,2.7,21.6,-1.0,-1.0
迈克-纽林,80-81,篮网,79,-1.0,36.8,0.497,8.0,16.1,0.333,0.1,0.4,0.888,5.2,5.9,2.8,1.0,1.8,3.8,1.1,0.1,3.1,3.0,21.4,-1.0,-1.0
拉里-伯德,80-81,凯尔特,82,82.0,39.5,0.478,8.8,18.3,0.27,0.2,0.9,0.863,3.5,4.0,10.9,2.3,8.6,5.5,2.0,0.8,3.5,2.9,21.2,-1.0,-1.0
达内尔-格里菲斯,80-81,爵士,81,-1.0,35.4,0.464,8.8,19.1,0.192,0.1,0.6,0.716,2.8,4.0,3.6,1.0,2.6,2.4,1.3,0.5,2.9,2.7,20.6,-1.0,-1.0
马奎斯-约翰逊,80-81,雄鹿,76,-1.0,33.4,0.552,8.4,15.2,0.0,0.0,0.1,0.706,3.5,5.0,6.8,3.0,3.9,4.6,1.5,0.5,2.5,2.6,20.3,-1.0,-1.0
比尔-卡特赖特,80-81,尼克斯,82,-1.0,35.7,0.554,7.5,13.6,0.0,0.0,0.0,0.788,5.0,6.3,7.5,2.0,5.5,1.4,0.6,1.0,2.4,3.2,20.1,-1.0,-1.0
