球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
阿德里安-丹特利,82-83,爵士,22,22,40.3,0.58,10.6,18.3,-0.01,0.0,0.0,0.847,9.5,11.3,6.4,2.6,3.7,4.8,0.9,0.0,3.7,2.8,30.7,-1.0,-1.0
阿历克斯-英格利什,82-83,掘金,82,82,36.4,0.516,11.7,22.6,0.167,0.0,0.1,0.829,5.0,6.0,7.3,3.2,4.1,4.8,1.4,1.5,3.2,2.9,28.4,-1.0,-1.0
奇奇-范德维奇,82-83,掘金,82,79,35.5,0.547,10.3,18.7,0.294,0.2,0.6,0.875,6.0,6.8,5.3,1.5,3.8,2.5,0.8,0.5,2.2,2.4,26.7,-1.0,-1.0
凯利-特里普卡,82-83,活塞,58,58,38.8,0.489,9.7,19.9,0.378,0.2,0.6,0.845,6.8,8.0,4.6,2.2,2.4,4.1,1.2,0.3,3.2,2.7,26.5,-1.0,-1.0
乔治-格文,82-83,马刺,78,78,36.3,0.487,9.7,19.9,0.364,0.2,0.4,0.853,6.6,7.8,4.6,1.4,3.2,3.4,1.1,0.9,3.2,3.1,26.2,-1.0,-1.0
摩西-马龙,82-83,76人,78,78,37.5,0.501,8.4,16.7,0.0,0.0,0.0,0.761,7.7,10.1,15.3,5.7,9.6,1.3,1.1,2.0,3.4,2.6,24.5,-1.0,-1.0
马克-阿吉雷,82-83,独行侠,81,75,34.4,0.483,9.5,19.6,0.211,0.2,0.9,0.728,5.3,7.3,6.3,2.4,3.9,4.1,1.0,0.3,3.2,3.0,24.4,-1.0,-1.0
乔伊-巴里-卡罗尔,82-83,勇士,79,79,37.8,0.513,9.9,19.4,0.0,0.0,0.0,0.719,4.3,5.9,8.7,2.8,5.9,2.1,1.4,2.0,3.6,3.3,24.1,-1.0,-1.0
沃尔德-B-弗里,82-83,-1,73,69,36.1,0.456,8.9,19.5,0.333,0.2,0.6,0.738,5.9,8.0,2.8,1.3,1.5,4.0,1.3,0.2,2.9,3.3,23.9,-1.0,-1.0
雷杰-瑟乌斯,82-83,公牛,82,81,34.8,0.478,9.1,19.1,0.231,0.3,1.1,0.801,5.3,6.6,3.7,1.1,2.5,5.9,1.7,0.2,3.9,3.4,23.8,-1.0,-1.0
特里-卡明斯,82-83,圣快船,70,69,36.2,0.523,9.8,18.7,0.0,0.0,0.0,0.709,4.2,5.9,10.6,4.3,6.3,2.5,1.8,0.9,2.9,4.2,23.7,-1.0,-1.0
拉里-伯德,82-83,凯尔特,79,79,37.7,0.504,9.5,18.7,0.286,0.3,1.0,0.84,4.4,5.3,11.0,2.4,8.6,5.8,1.9,0.9,3.0,2.5,23.6,-1.0,-1.0
伊塞亚-托马斯,82-83,活塞,81,81,38.2,0.472,9.0,19.0,0.288,0.4,1.5,0.71,4.5,6.4,4.0,1.3,2.8,7.8,2.5,0.4,4.0,3.9,22.9,-1.0,-1.0
西德尼-蒙克利夫,82-83,雄鹿,76,76,35.7,0.524,8.0,15.2,0.1,0.0,0.1,0.826,6.6,7.9,5.8,2.5,3.2,3.9,1.5,0.3,2.6,2.4,22.5,-1.0,-1.0
达内尔-格里菲斯,82-83,爵士,77,76,36.2,0.484,9.8,20.2,0.288,0.5,1.7,0.679,2.2,3.2,3.9,1.3,2.6,3.5,1.8,0.4,3.3,2.4,22.2,-1.0,-1.0
伯纳德-金,82-83,尼克斯,68,68,32.5,0.528,8.9,16.8,0.0,0.0,0.1,0.722,4.1,5.7,4.8,1.5,3.3,2.9,1.3,0.2,2.9,3.4,21.9,-1.0,-1.0
卡里姆-贾巴尔,82-83,湖人,79,79,32.3,0.588,9.1,15.5,0.0,0.0,0.0,0.749,3.5,4.7,7.5,2.1,5.4,2.5,0.8,2.2,2.5,2.8,21.8,-1.0,-1.0
吉姆-帕克森,82-83,开拓者,81,81,33.8,0.515,8.4,16.3,0.16,0.0,0.3,0.812,4.8,5.9,2.1,0.8,1.3,2.9,1.7,0.2,1.9,2.0,21.7,-1.0,-1.0
丹-伊塞尔,82-83,掘金,80,80,30.4,0.51,8.3,16.2,0.211,0.1,0.2,0.835,5.0,6.0,7.5,1.9,5.6,2.8,1.0,0.5,2.2,2.8,21.6,-1.0,-1.0
普维斯-绍特,82-83,勇士,67,57,35.8,0.487,8.8,18.0,0.267,0.1,0.2,0.828,3.8,4.6,5.3,2.2,3.1,3.4,1.4,0.2,2.9,3.6,21.4,-1.0,-1.0
马奎斯-约翰逊,82-83,雄鹿,80,80,35.7,0.509,9.0,17.8,0.2,0.1,0.3,0.735,3.3,4.5,7.0,2.5,4.6,4.5,1.3,0.7,2.5,2.6,21.4,-1.0,-1.0
朱利叶斯-欧文,82-83,76人,72,72,33.6,0.517,8.4,16.3,0.286,0.0,0.1,0.759,4.6,6.0,6.8,2.4,4.4,3.7,1.6,1.8,2.7,2.8,21.4,-1.0,-1.0
约翰-德鲁,82-83,爵士,44,33,27.4,0.474,7.2,15.3,0.0,0.0,0.1,0.755,6.7,8.9,5.3,2.2,3.1,2.2,0.8,0.2,3.1,3.5,21.2,-1.0,-1.0
凯尔文-奈特,82-83,开拓者,80,80,36.0,0.543,8.1,14.8,0.15,0.0,0.3,0.792,4.2,5.4,7.5,2.7,4.8,2.1,0.8,0.4,2.5,2.3,20.4,-1.0,-1.0
拉里-德鲁,82-83,国王,75,74,35.9,0.492,8.0,16.2,0.125,0.0,0.2,0.82,4.1,5.0,2.8,0.6,2.2,8.1,1.7,0.1,3.6,2.8,20.1,-1.0,-1.0
