球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
威尔特-张伯伦,59-60,勇士,72,-1.0,46.4,0.461,14.8,32.1,-0.01,-1.0,-1.0,0.582,8.0,13.8,27.0,-1.0,-1.0,2.3,-1.0,-1.0,-1.0,2.1,37.6,-1.0,-1.0
杰克-特威曼,59-60,皇家,75,-1.0,40.3,0.422,11.6,27.5,-0.01,-1.0,-1.0,0.785,8.0,10.2,8.9,-1.0,-1.0,3.5,-1.0,-1.0,-1.0,3.7,31.2,-1.0,-1.0
埃尔金-贝勒,59-60,老湖人,70,-1.0,41.0,0.424,10.8,25.4,-0.01,-1.0,-1.0,0.732,8.1,11.0,16.4,-1.0,-1.0,3.5,-1.0,-1.0,-1.0,3.3,29.6,-1.0,-1.0
鲍勃-佩蒂特,59-60,老鹰,72,-1.0,40.2,0.438,9.3,21.2,-0.01,-1.0,-1.0,0.753,7.6,10.0,17.0,-1.0,-1.0,3.6,-1.0,-1.0,-1.0,2.8,26.1,-1.0,-1.0
克里夫-哈根,59-60,老鹰,75,-1.0,37.3,0.464,9.6,20.7,-0.01,-1.0,-1.0,0.803,5.6,7.0,10.7,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,3.6,24.8,-1.0,-1.0
杰纳-苏,59-60,活塞,75,-1.0,44.5,0.413,8.3,20.0,-0.01,-1.0,-1.0,0.872,6.3,7.2,5.5,-1.0,-1.0,3.9,-1.0,-1.0,-1.0,1.9,22.8,-1.0,-1.0
多尔夫-谢伊斯,59-60,国民,75,-1.0,36.5,0.401,7.7,19.2,-0.01,-1.0,-1.0,0.893,7.1,8.0,12.8,-1.0,-1.0,3.4,-1.0,-1.0,-1.0,3.5,22.5,-1.0,-1.0
保罗-阿里金,59-60,勇士,72,-1.0,36.4,0.424,8.2,19.4,-0.01,-1.0,-1.0,0.798,5.8,7.3,8.6,-1.0,-1.0,2.3,-1.0,-1.0,-1.0,3.7,22.3,-1.0,-1.0
里切尔-盖兰,59-60,尼克斯,74,-1.0,32.8,0.42,7.8,18.6,-0.01,-1.0,-1.0,0.773,6.2,8.0,6.8,-1.0,-1.0,6.3,-1.0,-1.0,-1.0,3.3,21.8,-1.0,-1.0
汤姆-海恩索恩,59-60,凯尔特,75,-1.0,32.3,0.423,9.0,21.2,-0.01,-1.0,-1.0,0.733,3.8,5.1,10.6,-1.0,-1.0,2.3,-1.0,-1.0,-1.0,3.7,21.7,-1.0,-1.0
威利-诺尔斯,59-60,尼克斯,65,-1.0,34.6,0.428,8.5,19.8,-0.01,-1.0,-1.0,0.836,4.4,5.3,14.2,-1.0,-1.0,2.1,-1.0,-1.0,-1.0,3.3,21.4,-1.0,-1.0
克莱德-拉福莱特,59-60,老鹰,68,-1.0,28.7,0.468,8.1,17.3,-0.01,-1.0,-1.0,0.821,4.6,5.7,10.6,-1.0,-1.0,1.9,-1.0,-1.0,-1.0,3.6,20.8,-1.0,-1.0
乔治-亚德利,59-60,国民,73,-1.0,32.9,0.453,7.5,16.5,-0.01,-1.0,-1.0,0.816,5.2,6.4,7.9,-1.0,-1.0,1.7,-1.0,-1.0,-1.0,3.1,20.2,-1.0,-1.0
鲍勃-库西,59-60,凯尔特,75,-1.0,34.5,0.384,7.6,19.7,-0.01,-1.0,-1.0,0.792,4.3,5.4,4.7,-1.0,-1.0,9.5,-1.0,-1.0,-1.0,1.9,19.4,-1.0,-1.0
比尔-沙尔曼,59-60,凯尔特,71,-1.0,27.0,0.456,7.9,17.3,-0.01,-1.0,-1.0,0.866,3.5,4.1,3.7,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,2.2,19.3,-1.0,-1.0
Kenny Sears,59-60,尼克斯,64,-1.0,32.8,0.477,6.4,13.5,-0.01,-1.0,-1.0,0.868,5.7,6.5,13.7,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,3.0,18.5,-1.0,-1.0
比尔-拉塞尔,59-60,凯尔特,74,-1.0,42.5,0.467,7.5,16.1,-0.01,-1.0,-1.0,0.612,3.2,5.3,24.0,-1.0,-1.0,3.7,-1.0,-1.0,-1.0,2.8,18.2,-1.0,-1.0
拜利-霍维尔,59-60,活塞,75,-1.0,31.3,0.456,6.8,14.9,-0.01,-1.0,-1.0,0.739,4.2,5.6,10.5,-1.0,-1.0,0.8,-1.0,-1.0,-1.0,3.8,17.8,-1.0,-1.0
弗兰克-拉姆西,59-60,凯尔特,73,-1.0,27.5,0.397,5.8,14.5,-0.01,-1.0,-1.0,0.787,3.7,4.8,6.9,-1.0,-1.0,1.9,-1.0,-1.0,-1.0,3.4,15.3,-1.0,-1.0
沃尔特-杜克斯,59-60,活塞,66,-1.0,32.4,0.361,4.8,13.2,-0.01,-1.0,-1.0,0.74,5.7,7.7,13.4,-1.0,-1.0,1.2,-1.0,-1.0,-1.0,4.7,15.2,-1.0,-1.0
汤姆-古拉,59-60,勇士,75,-1.0,38.3,0.433,5.7,13.1,-0.01,-1.0,-1.0,0.794,3.6,4.5,10.4,-1.0,-1.0,5.5,-1.0,-1.0,-1.0,4.1,15.0,-1.0,-1.0
里德-科尔,59-60,国民,75,-1.0,31.6,0.392,5.8,14.8,-0.01,-1.0,-1.0,0.752,3.1,4.1,12.2,-1.0,-1.0,2.2,-1.0,-1.0,-1.0,2.8,14.7,-1.0,-1.0
拉里-科斯特洛,59-60,国民,71,-1.0,34.8,0.453,5.2,11.6,-0.01,-1.0,-1.0,0.862,3.5,4.1,5.5,-1.0,-1.0,6.3,-1.0,-1.0,-1.0,3.3,14.0,-1.0,-1.0
鲁迪-拉鲁索,59-60,老湖人,71,-1.0,29.5,0.389,5.0,12.9,-0.01,-1.0,-1.0,0.742,3.7,5.0,9.6,-1.0,-1.0,1.2,-1.0,-1.0,-1.0,3.1,13.7,-1.0,-1.0
