球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
乔治-迈肯,49-50,老湖人,68,-1.0,-1.0,0.407,9.5,23.5,-0.01,-1.0,-1.0,0.779,8.3,10.7,-1.0,-1.0,-1.0,2.9,-1.0,-1.0,-1.0,4.4,27.4,-1.0,-1.0
艾利克斯-戈洛加,49-50,波利斯,64,-1.0,-1.0,0.478,8.1,17.0,-0.01,-1.0,-1.0,0.729,7.1,9.7,-1.0,-1.0,-1.0,2.5,-1.0,-1.0,-1.0,3.5,23.4,-1.0,-1.0
Frankie Brian,49-50,包装工,64,-1.0,-1.0,0.318,5.8,18.1,-0.01,-1.0,-1.0,0.824,6.3,7.6,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,3.0,17.8,-1.0,-1.0
多尔夫-谢伊斯,49-50,国民,64,-1.0,-1.0,0.385,5.4,14.1,-0.01,-1.0,-1.0,0.774,5.9,7.6,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,3.5,16.8,-1.0,-1.0
马克斯尔-扎斯洛夫斯基,49-50,雄鹿,68,-1.0,-1.0,0.351,5.8,16.6,-0.01,-1.0,-1.0,0.843,4.7,5.6,-1.0,-1.0,-1.0,2.3,-1.0,-1.0,-1.0,2.7,16.4,-1.0,-1.0
艾德-麦考雷,49-50,轰炸机,67,-1.0,-1.0,0.398,5.2,13.2,-0.01,-1.0,-1.0,0.718,5.7,7.9,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,3.3,16.1,-1.0,-1.0
卡尔-布劳恩,49-50,尼克斯,67,-1.0,-1.0,0.364,5.6,15.3,-0.01,-1.0,-1.0,0.762,4.3,5.6,-1.0,-1.0,-1.0,3.7,-1.0,-1.0,-1.0,2.8,15.4,-1.0,-1.0
拉尔斐-贝尔德,49-50,波利斯,60,-1.0,-1.0,0.363,5.7,15.6,-0.01,-1.0,-1.0,0.762,3.6,4.7,-1.0,-1.0,-1.0,3.9,-1.0,-1.0,-1.0,2.2,14.9,-1.0,-1.0
吉姆-波拉德,49-50,老湖人,66,-1.0,-1.0,0.346,6.0,17.3,-0.01,-1.0,-1.0,0.764,2.8,3.7,-1.0,-1.0,-1.0,3.8,-1.0,-1.0,-1.0,2.2,14.7,-1.0,-1.0
Paul Hoffman,49-50,子弹,60,-1.0,-1.0,0.341,5.2,15.2,-0.01,-1.0,-1.0,0.665,4.0,6.1,-1.0,-1.0,-1.0,2.7,-1.0,-1.0,-1.0,3.9,14.4,-1.0,-1.0
