球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
鲍伯-麦克阿杜,73-74,勇敢者,74,-1.0,43.0,0.547,12.2,22.3,-0.01,-1.0,-1.0,0.793,6.2,7.8,15.1,3.8,11.3,2.3,1.2,3.3,-1.0,3.4,30.6,-1.0,-1.0
皮特-马拉维奇,73-74,老鹰,76,-1.0,38.2,0.457,10.8,23.6,-0.01,-1.0,-1.0,0.826,6.2,7.5,4.9,1.3,3.6,5.2,1.5,0.2,-1.0,3.4,27.7,-1.0,-1.0
朱利叶斯-欧文,73-74,老篮网,84,-1.0,40.5,0.512,10.9,21.3,0.395,0.2,0.5,0.766,5.4,7.1,10.7,3.1,7.6,5.2,2.3,2.4,4.1,3.2,27.4,-1.0,-1.0
卡里姆-贾巴尔,73-74,雄鹿,81,-1.0,43.8,0.539,11.7,21.7,-0.01,-1.0,-1.0,0.702,3.6,5.2,14.5,3.5,11.0,4.8,1.4,3.5,-1.0,2.9,27.0,-1.0,-1.0
乔治-麦克吉尼斯,73-74,老者,80,-1.0,40.8,0.468,9.9,21.1,0.147,0.1,0.4,0.683,6.1,8.9,15.0,5.3,9.7,3.3,2.0,0.5,4.9,4.1,25.9,-1.0,-1.0
丹-伊塞尔,73-74,上校,83,-1.0,40.3,0.48,10.0,20.8,0.176,0.0,0.2,0.787,5.5,7.0,10.2,4.2,6.0,1.7,0.8,0.4,2.1,2.4,25.5,-1.0,-1.0
查理-斯科特,73-74,太阳,52,-1.0,38.5,0.459,10.3,22.5,-0.01,-1.0,-1.0,0.781,4.7,6.1,4.3,1.2,3.0,5.2,1.9,0.4,-1.0,3.7,25.4,-1.0,-1.0
卢-哈德森,73-74,老鹰,65,-1.0,39.8,0.5,10.4,20.9,-0.01,-1.0,-1.0,0.836,4.5,5.4,5.4,1.9,3.4,3.3,2.5,0.4,-1.0,3.2,25.4,-1.0,-1.0
盖尔-古德里奇,73-74,湖人,82,-1.0,37.3,0.442,9.6,21.6,-0.01,-1.0,-1.0,0.864,6.2,7.2,3.0,1.2,1.9,5.2,1.5,0.1,-1.0,2.8,25.3,-1.0,-1.0
里克-巴里,73-74,勇士,80,-1.0,36.5,0.456,10.0,21.8,-0.01,-1.0,-1.0,0.899,5.2,5.8,6.8,1.3,5.5,6.1,2.1,0.5,-1.0,3.3,25.1,-1.0,-1.0
鲁迪-汤姆贾诺维奇,73-74,火箭,80,-1.0,40.3,0.536,9.9,18.4,-0.01,-1.0,-1.0,0.848,4.8,5.7,9.0,2.9,6.1,3.1,1.1,0.8,-1.0,2.9,24.5,-1.0,-1.0
乔夫-皮特里,73-74,开拓者,73,-1.0,38.4,0.481,10.1,21.1,-0.01,-1.0,-1.0,0.853,4.0,4.7,2.8,0.9,2.0,4.3,1.2,0.2,-1.0,2.7,24.3,-1.0,-1.0
斯宾瑟-海伍德,73-74,超音速,75,-1.0,40.5,0.457,9.3,20.3,-0.01,-1.0,-1.0,0.814,5.0,6.1,13.4,4.2,9.2,3.2,0.9,1.4,-1.0,2.6,23.5,-1.0,-1.0
乔治-格文,73-74,-1,74,-1.0,33.9,0.471,9.1,19.3,0.143,0.1,0.8,0.815,5.1,6.3,8.4,2.3,6.1,1.9,1.4,1.6,3.4,3.6,23.4,-1.0,-1.0
约翰-哈福利切克,73-74,凯尔特,76,-1.0,40.7,0.456,9.0,19.8,-0.01,-1.0,-1.0,0.832,4.6,5.5,6.4,1.8,4.6,5.9,1.3,0.4,-1.0,2.6,22.6,-1.0,-1.0
鲍伯-兰尼尔,73-74,活塞,81,-1.0,37.6,0.504,9.2,18.3,-0.01,-1.0,-1.0,0.797,4.0,5.0,13.3,3.3,9.9,4.2,1.4,3.0,-1.0,3.4,22.5,-1.0,-1.0
西德尼-威克斯,73-74,开拓者,75,-1.0,38.0,0.459,9.1,19.9,-0.01,-1.0,-1.0,0.762,4.2,5.5,9.1,2.6,6.5,4.3,1.2,0.8,-1.0,2.9,22.5,-1.0,-1.0
威利-维斯,73-74,星光,82,-1.0,40.1,0.49,8.7,17.8,0.125,0.0,0.2,0.79,4.8,6.1,7.6,2.1,5.5,3.7,1.4,0.5,2.5,3.0,22.3,-1.0,-1.0
菲尔-切尼尔,73-74,子弹,76,-1.0,38.7,0.434,9.2,21.1,-0.01,-1.0,-1.0,0.82,3.6,4.4,5.1,1.5,3.6,3.1,2.0,0.9,-1.0,1.8,21.9,-1.0,-1.0
奥斯汀-凯尔,73-74,骑士,81,-1.0,38.3,0.445,9.2,20.8,-0.01,-1.0,-1.0,0.856,3.4,4.0,3.6,1.7,1.9,3.8,1.1,0.2,-1.0,2.3,21.9,-1.0,-1.0
鲍伯-乐福,73-74,公牛,82,-1.0,40.1,0.417,8.9,21.4,-0.01,-1.0,-1.0,0.818,3.9,4.8,6.0,2.2,3.8,1.6,1.0,0.3,-1.0,2.7,21.8,-1.0,-1.0
埃尔文-海耶斯,73-74,子弹,81,-1.0,44.5,0.423,8.5,20.1,-0.01,-1.0,-1.0,0.721,4.4,6.1,18.1,4.4,13.7,2.0,1.1,3.0,-1.0,3.1,21.4,-1.0,-1.0
弗莱德-卡特,73-74,76人,78,-1.0,39.0,0.43,9.1,21.0,-0.01,-1.0,-1.0,0.709,3.3,4.6,4.8,1.1,3.7,5.7,1.4,0.3,-1.0,3.5,21.4,-1.0,-1.0
沃尔特-弗雷泽,73-74,尼克斯,80,-1.0,41.7,0.472,8.4,17.9,-0.01,-1.0,-1.0,0.838,3.7,4.4,6.7,1.5,5.2,6.9,2.0,0.2,-1.0,2.7,20.5,-1.0,-1.0
卡兹-拉塞尔,73-74,勇士,82,-1.0,31.4,0.482,9.0,18.7,-0.01,-1.0,-1.0,0.835,2.5,3.0,4.3,1.7,2.6,2.3,0.7,0.2,-1.0,2.4,20.5,-1.0,-1.0
比利-康宁汉姆,73-74,美洲狮,32,-1.0,37.2,0.471,7.9,16.8,0.125,0.0,0.3,0.797,4.7,5.8,10.3,2.7,7.7,4.7,1.8,0.7,4.0,3.3,20.5,-1.0,-1.0
凯尔文-墨菲,73-74,火箭,81,-1.0,36.1,0.522,8.3,15.9,-0.01,-1.0,-1.0,0.868,3.8,4.4,2.3,0.6,1.7,7.4,1.9,0.0,-1.0,3.8,20.4,-1.0,-1.0
伯-拉马尔,73-74,征服者,84,-1.0,33.6,0.397,8.2,20.5,0.279,0.8,2.9,0.777,3.2,4.2,3.5,1.3,2.2,3.4,1.5,0.2,2.2,1.8,20.4,-1.0,-1.0
杰里-韦斯特,73-74,湖人,31,-1.0,31.2,0.447,7.5,16.7,-0.01,-1.0,-1.0,0.833,5.3,6.4,3.7,1.0,2.8,6.6,2.6,0.7,-1.0,2.6,20.3,-1.0,-1.0
Stew Johnson,73-74,征服者,84,-1.0,31.6,0.429,8.5,19.9,0.311,0.7,2.3,0.847,2.4,2.8,6.3,2.2,4.2,1.5,0.9,0.2,1.6,1.9,20.1,-1.0,-1.0
汤姆-范阿斯戴尔,73-74,76人,78,-1.0,39.0,0.428,7.9,18.4,-0.01,-1.0,-1.0,0.851,3.8,4.5,5.0,1.1,3.9,2.6,0.8,0.0,-1.0,3.8,19.6,-1.0,-1.0
乔治-卡特,73-74,大地主,80,-1.0,35.2,0.422,7.0,16.6,0.344,0.4,1.2,0.841,4.9,5.8,6.7,2.4,4.3,1.7,0.8,0.2,2.9,3.9,19.3,-1.0,-1.0
切特-沃克,73-74,公牛,82,-1.0,32.5,0.486,7.0,14.4,-0.01,-1.0,-1.0,0.875,5.4,6.1,5.0,1.6,3.4,2.4,0.8,0.0,-1.0,2.5,19.3,-1.0,-1.0
