球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
里克-巴里,66-67,勇士,78,-1.0,40.7,0.451,13.0,28.7,-0.01,-1.0,-1.0,0.884,9.7,10.9,9.2,-1.0,-1.0,3.6,-1.0,-1.0,-1.0,3.3,35.6,-1.0,-1.0
奥斯卡-罗波特森,66-67,皇家,79,-1.0,43.9,0.493,10.6,21.5,-0.01,-1.0,-1.0,0.873,9.3,10.7,6.2,-1.0,-1.0,10.7,-1.0,-1.0,-1.0,2.9,30.5,-1.0,-1.0
杰里-韦斯特,66-67,湖人,66,-1.0,40.5,0.464,9.8,21.0,-0.01,-1.0,-1.0,0.878,9.1,10.4,5.9,-1.0,-1.0,6.8,-1.0,-1.0,-1.0,2.4,28.7,-1.0,-1.0
埃尔金-贝勒,66-67,湖人,70,-1.0,38.7,0.429,10.2,23.7,-0.01,-1.0,-1.0,0.813,6.3,7.7,12.8,-1.0,-1.0,3.1,-1.0,-1.0,-1.0,3.0,26.6,-1.0,-1.0
威尔特-张伯伦,66-67,76人,81,-1.0,45.5,0.683,9.7,14.2,-0.01,-1.0,-1.0,0.441,4.8,10.8,24.2,-1.0,-1.0,7.8,-1.0,-1.0,-1.0,1.8,24.1,-1.0,-1.0
萨姆-琼斯,66-67,凯尔特,72,-1.0,32.3,0.454,8.9,19.5,-0.01,-1.0,-1.0,0.857,4.4,5.2,4.7,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,2.7,22.1,-1.0,-1.0
豪尔-格瑞尔,66-67,76人,80,-1.0,38.6,0.459,8.7,19.1,-0.01,-1.0,-1.0,0.788,4.6,5.8,5.3,-1.0,-1.0,3.8,-1.0,-1.0,-1.0,3.8,22.1,-1.0,-1.0
约翰-哈福利切克,66-67,凯尔特,81,-1.0,32.1,0.444,8.4,19.0,-0.01,-1.0,-1.0,0.828,4.5,5.4,6.6,-1.0,-1.0,3.4,-1.0,-1.0,-1.0,2.6,21.4,-1.0,-1.0
威利斯-里德,66-67,尼克斯,78,-1.0,36.2,0.489,8.1,16.6,-0.01,-1.0,-1.0,0.735,4.6,6.2,14.6,-1.0,-1.0,1.6,-1.0,-1.0,-1.0,3.8,20.9,-1.0,-1.0
盖斯-约翰逊,66-67,子弹,73,-1.0,36.0,0.45,8.5,18.9,-0.01,-1.0,-1.0,0.708,3.7,5.2,11.7,-1.0,-1.0,2.7,-1.0,-1.0,-1.0,3.8,20.7,-1.0,-1.0
唐-奥尔,66-67,子弹,58,-1.0,34.9,0.451,7.8,17.3,-0.01,-1.0,-1.0,0.78,4.8,6.1,3.3,-1.0,-1.0,2.9,-1.0,-1.0,-1.0,2.6,20.3,-1.0,-1.0
戴夫-宾,66-67,活塞,80,-1.0,34.5,0.436,8.3,19.0,-0.01,-1.0,-1.0,0.738,3.4,4.6,4.5,-1.0,-1.0,4.1,-1.0,-1.0,-1.0,2.7,20.0,-1.0,-1.0
拜利-霍维尔,66-67,凯尔特,81,-1.0,30.9,0.512,7.9,15.3,-0.01,-1.0,-1.0,0.741,4.3,5.8,8.4,-1.0,-1.0,1.3,-1.0,-1.0,-1.0,3.7,20.0,-1.0,-1.0
切特-沃克,66-67,76人,81,-1.0,33.2,0.488,6.9,14.2,-0.01,-1.0,-1.0,0.766,5.5,7.2,8.1,-1.0,-1.0,2.3,-1.0,-1.0,-1.0,2.9,19.3,-1.0,-1.0
