球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
迈克尔-乔丹,92-93,公牛,78,78,39.3,0.495,12.7,25.7,0.352,1.0,2.9,0.837,6.1,7.3,6.7,1.7,5.0,5.5,2.8,0.8,2.7,2.4,32.6,56,22
多米尼克-威尔金斯,92-93,老鹰,71,70,37.3,0.468,10.4,22.3,0.38,1.7,4.5,0.828,7.3,8.8,6.8,2.6,4.2,3.2,1.0,0.4,2.6,1.6,29.9,39,32
卡尔-马龙,92-93,爵士,82,82,37.8,0.552,9.7,17.6,0.2,0.0,0.2,0.74,7.5,10.2,11.2,2.8,8.4,3.8,1.5,1.0,2.9,3.2,27.0,47,35
哈基姆-奥拉朱旺,92-93,火箭,82,82,39.5,0.529,10.3,19.5,0.0,0.0,0.1,0.779,5.4,7.0,13.0,3.5,9.6,3.5,1.8,4.2,3.2,3.7,26.1,55,27
克里斯-穆林,92-93,勇士,46,46,41.3,0.51,10.3,20.2,0.451,1.3,2.9,0.81,4.0,4.9,5.0,0.9,4.1,3.6,1.5,0.9,3.0,1.7,25.9,20,26
查尔斯-巴克利,92-93,太阳,76,76,37.6,0.52,9.4,18.1,0.305,0.9,2.9,0.765,5.9,7.7,12.2,3.1,9.1,5.1,1.6,1.0,3.1,2.6,25.6,61,15
帕特里克-尤因,92-93,尼克斯,81,81,37.1,0.503,9.6,19.1,0.143,0.0,0.1,0.719,4.9,6.9,12.1,2.4,9.7,1.9,0.9,2.0,3.3,3.5,24.2,59,22
乔-杜马斯,92-93,活塞,77,77,40.2,0.466,8.8,18.9,0.375,1.5,3.9,0.864,4.5,5.2,1.9,0.8,1.1,4.0,1.0,0.1,1.8,1.8,23.5,37,40
沙奎尔-奥尼尔,92-93,魔术,81,81,37.9,0.562,9.0,16.1,0.0,0.0,0.0,0.592,5.3,8.9,13.9,4.2,9.6,1.9,0.7,3.5,3.8,4.0,23.4,41,40
大卫-罗宾逊,92-93,马刺,82,82,39.2,0.501,8.2,16.4,0.176,0.0,0.2,0.732,6.8,9.3,11.7,2.8,8.9,3.7,1.5,3.2,2.9,2.9,23.4,49,33
丹尼-曼宁,92-93,快船,79,77,34.9,0.509,8.9,17.5,0.267,0.1,0.4,0.802,4.9,6.1,6.6,2.5,4.1,2.6,1.4,1.3,2.9,4.1,22.8,40,39
德拉赞-皮特洛维奇,92-93,篮网,70,67,38.0,0.518,8.4,16.2,0.449,1.1,2.4,0.87,4.5,5.2,2.7,0.6,2.1,3.5,1.3,0.2,2.9,3.4,22.3,39,31
拉里-约翰逊,92-93,黄蜂,82,82,40.5,0.526,8.9,16.9,0.254,0.2,0.9,0.767,4.1,5.3,10.5,3.4,7.1,4.3,0.6,0.3,2.8,2.3,22.1,44,38
米奇-里奇蒙德,92-93,国王,45,45,38.4,0.474,8.2,17.4,0.369,1.1,2.9,0.845,4.4,5.2,3.4,0.4,3.0,4.9,1.2,0.2,2.9,3.0,21.9,17,28
蒂姆-哈达威,92-93,勇士,66,66,39.5,0.447,7.9,17.7,0.33,1.5,4.7,0.744,4.1,5.6,4.0,0.9,3.1,10.6,1.8,0.2,3.3,2.3,21.5,28,38
雷吉-米勒,92-93,步行者,82,82,36.0,0.479,7.0,14.5,0.399,2.0,5.1,0.88,5.2,5.9,3.1,0.8,2.3,3.2,1.5,0.3,1.8,2.2,21.2,41,41
阿朗佐-莫宁,92-93,黄蜂,78,78,33.9,0.511,7.3,14.3,0.0,0.0,0.0,0.781,6.3,8.1,10.3,3.4,6.9,1.0,0.3,3.5,3.0,3.7,21.0,42,36
雷杰-刘易斯,92-93,凯尔特,80,80,39.3,0.47,8.3,17.6,0.233,0.2,0.8,0.867,4.1,4.7,4.3,1.1,3.2,3.7,1.5,1.0,1.7,3.1,20.8,46,34
德里克-科尔曼,92-93,篮网,76,73,36.3,0.46,7.4,16.1,0.232,0.3,1.3,0.808,5.5,6.9,11.2,3.3,8.0,3.6,1.2,1.7,3.2,2.8,20.7,39,37
何塞-霍金斯,92-93,76人,81,81,36.8,0.47,6.8,14.5,0.397,1.5,3.8,0.86,5.2,6.0,4.3,1.1,3.1,3.9,1.7,0.4,2.2,2.3,20.3,25,56
布拉德-多赫迪,92-93,骑士,71,71,37.9,0.571,7.3,12.8,0.5,0.0,0.0,0.795,5.5,6.9,10.2,2.3,7.9,4.4,0.7,0.8,2.1,2.5,20.2,50,21
尼克-安德森,92-93,魔术,79,76,37.0,0.449,7.5,16.8,0.353,1.1,3.2,0.741,3.8,5.1,6.0,1.5,4.5,3.4,1.6,0.7,2.1,2.5,19.9,41,38
克莱德-德雷克斯勒,92-93,开拓者,49,49,34.1,0.429,7.1,16.7,0.233,0.6,2.7,0.839,5.0,6.0,6.3,2.6,3.7,5.7,1.9,0.8,2.3,3.2,19.9,30,19
道格-韦斯特,92-93,森林狼,80,80,38.8,0.517,8.1,15.6,0.087,0.0,0.3,0.841,3.1,3.7,3.1,1.1,2.0,2.9,1.1,0.3,2.1,3.5,19.3,19,61
马翰默德-劳夫,92-93,掘金,81,81,33.5,0.45,7.8,17.4,0.355,0.9,2.4,0.935,2.7,2.9,2.8,0.6,2.1,4.2,1.0,0.1,2.3,2.2,19.2,36,45
克里弗德-罗宾逊,92-93,开拓者,82,12,31.4,0.473,7.7,16.3,0.247,0.2,0.9,0.69,3.5,5.1,6.6,2.0,4.6,2.2,1.2,2.0,2.1,3.5,19.1,51,31
杰夫-霍纳塞克,92-93,76人,79,78,36.2,0.47,7.4,15.7,0.39,1.2,3.2,0.865,3.2,3.7,4.3,1.1,3.3,6.9,1.7,0.3,2.8,2.6,19.1,26,53
德特雷夫-施拉姆夫,92-93,步行者,82,60,37.8,0.476,6.3,13.2,0.154,0.1,0.6,0.804,6.4,8.0,9.5,2.6,7.0,6.0,1.0,0.3,3.0,3.7,19.1,41,41
格伦-莱斯,92-93,热火,82,82,37.6,0.44,7.1,16.1,0.383,1.8,4.7,0.82,3.0,3.6,5.2,1.1,4.0,2.2,1.1,0.3,1.9,2.5,19.0,36,46
斯科蒂-皮蓬,92-93,公牛,81,81,38.6,0.473,7.8,16.4,0.237,0.3,1.1,0.663,2.9,4.3,7.7,2.5,5.2,6.3,2.1,0.9,3.0,2.7,18.6,56,25
哈维-格兰特,92-93,子弹,72,72,37.0,0.487,7.8,16.0,0.1,0.0,0.1,0.727,3.0,4.2,5.7,1.8,3.9,2.8,1.0,0.6,1.3,2.3,18.6,21,51
