球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
奈伊尔-约翰斯顿,53-54,勇士,72,-1.0,45.8,0.449,8.2,18.3,-0.01,-1.0,-1.0,0.747,8.0,10.7,11.1,-1.0,-1.0,2.8,-1.0,-1.0,-1.0,3.6,24.4,-1.0,-1.0
鲍勃-库西,53-54,凯尔特,72,-1.0,39.7,0.385,6.8,17.5,-0.01,-1.0,-1.0,0.787,5.7,7.3,5.5,-1.0,-1.0,7.2,-1.0,-1.0,-1.0,2.8,19.2,-1.0,-1.0
艾德-麦考雷,53-54,凯尔特,71,-1.0,39.3,0.486,6.5,13.4,-0.01,-1.0,-1.0,0.758,5.9,7.8,8.0,-1.0,-1.0,3.8,-1.0,-1.0,-1.0,2.4,18.9,-1.0,-1.0
乔治-迈肯,53-54,老湖人,72,-1.0,32.8,0.38,6.1,16.1,-0.01,-1.0,-1.0,0.777,5.9,7.6,14.3,-1.0,-1.0,2.4,-1.0,-1.0,-1.0,3.7,18.1,-1.0,-1.0
雷-法利克斯,53-54,子弹,72,-1.0,37.1,0.417,5.7,13.7,-0.01,-1.0,-1.0,0.638,6.2,9.8,13.3,-1.0,-1.0,1.1,-1.0,-1.0,-1.0,3.5,17.6,-1.0,-1.0
多尔夫-谢伊斯,53-54,国民,72,-1.0,36.9,0.38,5.1,13.5,-0.01,-1.0,-1.0,0.827,6.8,8.2,12.1,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,3.2,17.1,-1.0,-1.0
比尔-沙尔曼,53-54,凯尔特,72,-1.0,34.3,0.45,5.7,12.7,-0.01,-1.0,-1.0,0.844,4.6,5.4,3.5,-1.0,-1.0,3.2,-1.0,-1.0,-1.0,2.9,16.0,-1.0,-1.0
拉里-福斯特,53-54,活塞,72,-1.0,37.4,0.409,5.2,12.8,-0.01,-1.0,-1.0,0.712,4.7,6.6,13.4,-1.0,-1.0,2.2,-1.0,-1.0,-1.0,3.6,15.1,-1.0,-1.0
卡尔-布劳恩,53-54,尼克斯,72,-1.0,33.0,0.4,4.9,12.3,-0.01,-1.0,-1.0,0.825,4.9,6.0,3.4,-1.0,-1.0,2.9,-1.0,-1.0,-1.0,3.6,14.8,-1.0,-1.0
鲍比-温泽尔,53-54,皇家,72,-1.0,35.3,0.386,4.5,11.6,-0.01,-1.0,-1.0,0.734,4.4,5.9,5.4,-1.0,-1.0,3.5,-1.0,-1.0,-1.0,2.4,13.3,-1.0,-1.0
乔-戈拉伯斯基,53-54,勇士,71,-1.0,38.9,0.354,5.0,14.1,-0.01,-1.0,-1.0,0.674,3.3,4.9,9.4,-1.0,-1.0,2.3,-1.0,-1.0,-1.0,3.1,13.3,-1.0,-1.0
哈里-盖拉汀,53-54,尼克斯,72,-1.0,37.4,0.404,3.6,8.9,-0.01,-1.0,-1.0,0.784,6.0,7.7,15.3,-1.0,-1.0,2.1,-1.0,-1.0,-1.0,2.9,13.2,-1.0,-1.0
阿尔尼-李森,53-54,皇家,72,-1.0,33.1,0.368,4.5,12.1,-0.01,-1.0,-1.0,0.714,4.3,6.0,10.1,-1.0,-1.0,1.7,-1.0,-1.0,-1.0,3.9,13.2,-1.0,-1.0
保罗-西摩尔,53-54,国民,71,-1.0,38.4,0.377,4.5,11.8,-0.01,-1.0,-1.0,0.813,4.2,5.2,4.1,-1.0,-1.0,5.1,-1.0,-1.0,-1.0,2.6,13.1,-1.0,-1.0
马克斯尔-扎斯洛夫斯基,53-54,-1,65,-1.0,28.9,0.368,4.3,11.6,-0.01,-1.0,-1.0,0.714,3.9,5.5,2.5,-1.0,-1.0,2.4,-1.0,-1.0,-1.0,2.2,12.5,-1.0,-1.0
鲍伯-戴维斯,53-54,皇家,72,-1.0,29.7,0.371,4.0,10.8,-0.01,-1.0,-1.0,0.718,4.3,6.0,2.7,-1.0,-1.0,4.5,-1.0,-1.0,-1.0,3.1,12.3,-1.0,-1.0
杰克-莫里纳斯,53-54,活塞,29,-1.0,34.2,0.388,3.7,9.6,-0.01,-1.0,-1.0,0.761,4.6,6.1,7.2,-1.0,-1.0,1.6,-1.0,-1.0,-1.0,2.6,12.1,-1.0,-1.0
吉姆-波拉德,53-54,老湖人,71,-1.0,35.0,0.37,4.6,12.4,-0.01,-1.0,-1.0,0.778,2.5,3.2,7.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,2.3,11.7,-1.0,-1.0
乔治-金,53-54,国民,72,-1.0,32.9,0.376,3.9,10.3,-0.01,-1.0,-1.0,0.627,3.6,5.7,3.7,-1.0,-1.0,3.8,-1.0,-1.0,-1.0,2.5,11.3,-1.0,-1.0
唐-山德拉奇,53-54,老鹰,68,-1.0,32.8,0.34,3.7,11.0,-0.01,-1.0,-1.0,0.748,3.7,5.0,3.3,-1.0,-1.0,2.8,-1.0,-1.0,-1.0,3.9,11.2,-1.0,-1.0
沃恩-米克尔森,53-54,老湖人,72,-1.0,31.2,0.374,4.0,10.7,-0.01,-1.0,-1.0,0.742,3.1,4.1,8.5,-1.0,-1.0,1.7,-1.0,-1.0,-1.0,3.7,11.1,-1.0,-1.0
安迪-菲利浦,53-54,活塞,71,-1.0,38.1,0.375,3.6,9.6,-0.01,-1.0,-1.0,0.73,3.4,4.6,3.7,-1.0,-1.0,6.3,-1.0,-1.0,-1.0,2.9,10.6,-1.0,-1.0
迈尔-哈特金斯,53-54,活塞,72,-1.0,40.8,0.401,4.1,10.2,-0.01,-1.0,-1.0,0.677,2.1,3.1,9.7,-1.0,-1.0,2.9,-1.0,-1.0,-1.0,3.2,10.3,-1.0,-1.0
Paul Hoffman,53-54,子弹,72,-1.0,34.8,0.332,3.5,10.6,-0.01,-1.0,-1.0,0.716,3.0,4.2,6.8,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,3.8,10.0,-1.0,-1.0
杰克-麦克马洪,53-54,皇家,71,-1.0,26.6,0.362,3.5,9.7,-0.01,-1.0,-1.0,0.696,3.0,4.3,3.0,-1.0,-1.0,3.4,-1.0,-1.0,-1.0,3.1,10.0,-1.0,-1.0
康尼尔-西蒙斯,53-54,尼克斯,72,-1.0,27.9,0.358,3.5,9.9,-0.01,-1.0,-1.0,0.689,2.9,4.2,6.7,-1.0,-1.0,1.8,-1.0,-1.0,-1.0,3.3,10.0,-1.0,-1.0
埃迪-米勒,53-54,子弹,72,-1.0,23.0,0.407,3.4,8.3,-0.01,-1.0,-1.0,0.729,3.2,4.4,7.5,-1.0,-1.0,1.3,-1.0,-1.0,-1.0,2.7,10.0,-1.0,-1.0
斯拉特尔-马丁,53-54,老湖人,69,-1.0,35.8,0.388,3.7,9.5,-0.01,-1.0,-1.0,0.724,2.6,3.5,2.4,-1.0,-1.0,3.7,-1.0,-1.0,-1.0,2.9,9.9,-1.0,-1.0
杰克-科尔曼,53-54,皇家,71,-1.0,33.5,0.405,4.1,10.1,-0.01,-1.0,-1.0,0.597,1.5,2.5,8.3,-1.0,-1.0,2.2,-1.0,-1.0,-1.0,2.8,9.7,-1.0,-1.0
Nathaniel Clifton,53-54,尼克斯,72,-1.0,30.3,0.368,3.6,9.7,-0.01,-1.0,-1.0,0.628,2.4,3.8,7.3,-1.0,-1.0,2.4,-1.0,-1.0,-1.0,3.0,9.6,-1.0,-1.0
杰克-乔治,53-54,勇士,71,-1.0,37.3,0.352,3.6,10.4,-0.01,-1.0,-1.0,0.59,2.2,3.7,5.4,-1.0,-1.0,4.4,-1.0,-1.0,-1.0,3.0,9.5,-1.0,-1.0
迪克-马克圭尔,53-54,尼克斯,68,-1.0,34.5,0.408,3.0,7.3,-0.01,-1.0,-1.0,0.638,3.2,5.1,4.6,-1.0,-1.0,5.2,-1.0,-1.0,-1.0,2.8,9.1,-1.0,-1.0
厄尔-洛依德,53-54,国民,72,-1.0,30.6,0.374,3.5,9.3,-0.01,-1.0,-1.0,0.746,2.2,2.9,7.3,-1.0,-1.0,1.6,-1.0,-1.0,-1.0,4.2,9.1,-1.0,-1.0
Bill Gabor,53-54,国民,61,-1.0,19.9,0.37,3.3,9.0,-0.01,-1.0,-1.0,0.716,2.3,3.2,1.6,-1.0,-1.0,2.7,-1.0,-1.0,-1.0,3.0,9.0,-1.0,-1.0
乔治-亚德利,53-54,活塞,63,-1.0,23.6,0.425,3.3,7.8,-0.01,-1.0,-1.0,0.712,2.3,3.3,6.5,-1.0,-1.0,1.6,-1.0,-1.0,-1.0,2.6,9.0,-1.0,-1.0
沃利-奥斯特科恩,53-54,国民,70,-1.0,30.9,0.346,2.9,8.4,-0.01,-1.0,-1.0,0.579,3.0,5.2,7.0,-1.0,-1.0,2.2,-1.0,-1.0,-1.0,3.0,8.8,-1.0,-1.0
鲍伯-霍伯雷葛斯,53-54,-1,70,-1.0,28.1,0.372,3.0,8.0,-0.01,-1.0,-1.0,0.714,2.7,3.8,5.4,-1.0,-1.0,1.8,-1.0,-1.0,-1.0,3.0,8.7,-1.0,-1.0
艾尔-罗杰斯,53-54,子弹,67,-1.0,28.9,0.358,3.3,9.2,-0.01,-1.0,-1.0,0.726,1.9,2.7,3.2,-1.0,-1.0,2.4,-1.0,-1.0,-1.0,2.6,8.5,-1.0,-1.0
Zeke Zawoluk,53-54,勇士,71,-1.0,25.3,0.376,2.9,7.6,-0.01,-1.0,-1.0,0.809,2.6,3.2,4.6,-1.0,-1.0,1.4,-1.0,-1.0,-1.0,3.1,8.3,-1.0,-1.0
