球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
乔治-亚德利,57-58,活塞,72,-1.0,39.5,0.414,9.3,22.6,-0.01,-1.0,-1.0,0.811,9.1,11.2,10.7,-1.0,-1.0,1.3,-1.0,-1.0,-1.0,3.1,27.8,-1.0,-1.0
多尔夫-谢伊斯,57-58,国民,72,-1.0,40.5,0.398,8.1,20.3,-0.01,-1.0,-1.0,0.904,8.7,9.7,14.2,-1.0,-1.0,3.1,-1.0,-1.0,-1.0,3.4,24.9,-1.0,-1.0
鲍勃-佩蒂特,57-58,老鹰,70,-1.0,36.1,0.41,8.3,20.3,-0.01,-1.0,-1.0,0.749,8.0,10.6,17.4,-1.0,-1.0,2.2,-1.0,-1.0,-1.0,3.2,24.6,-1.0,-1.0
克莱德-拉福莱特,57-58,皇家,71,-1.0,36.5,0.441,9.6,21.7,-0.01,-1.0,-1.0,0.743,4.2,5.7,12.1,-1.0,-1.0,1.9,-1.0,-1.0,-1.0,3.3,23.4,-1.0,-1.0
比尔-沙尔曼,57-58,凯尔特,63,-1.0,35.1,0.424,8.7,20.6,-0.01,-1.0,-1.0,0.893,4.8,5.4,4.7,-1.0,-1.0,2.7,-1.0,-1.0,-1.0,2.5,22.3,-1.0,-1.0
保罗-阿里金,57-58,勇士,68,-1.0,35.0,0.393,7.1,18.1,-0.01,-1.0,-1.0,0.809,6.5,8.0,7.4,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,3.5,20.7,-1.0,-1.0
克里夫-哈根,57-58,老鹰,70,-1.0,31.3,0.443,7.2,16.2,-0.01,-1.0,-1.0,0.768,5.5,7.2,10.1,-1.0,-1.0,2.5,-1.0,-1.0,-1.0,3.8,19.9,-1.0,-1.0
奈伊尔-约翰斯顿,57-58,勇士,71,-1.0,33.9,0.429,6.7,15.5,-0.01,-1.0,-1.0,0.819,6.2,7.6,11.1,-1.0,-1.0,2.3,-1.0,-1.0,-1.0,3.3,19.5,-1.0,-1.0
Kenny Sears,57-58,尼克斯,72,-1.0,37.3,0.439,6.2,14.1,-0.01,-1.0,-1.0,0.822,6.3,7.6,10.9,-1.0,-1.0,1.8,-1.0,-1.0,-1.0,3.5,18.6,-1.0,-1.0
威利-诺尔斯,57-58,尼克斯,68,-1.0,34.8,0.397,6.9,17.5,-0.01,-1.0,-1.0,0.826,4.2,5.1,11.8,-1.0,-1.0,1.4,-1.0,-1.0,-1.0,3.2,18.1,-1.0,-1.0
鲍勃-库西,57-58,凯尔特,65,-1.0,34.2,0.353,6.8,19.4,-0.01,-1.0,-1.0,0.85,4.3,5.0,5.0,-1.0,-1.0,7.1,-1.0,-1.0,-1.0,2.1,18.0,-1.0,-1.0
汤姆-海恩索恩,57-58,凯尔特,69,-1.0,32.0,0.382,6.8,17.8,-0.01,-1.0,-1.0,0.746,4.3,5.7,10.2,-1.0,-1.0,1.8,-1.0,-1.0,-1.0,4.0,17.8,-1.0,-1.0
沃恩-米克尔森,57-58,老湖人,72,-1.0,33.2,0.41,6.1,14.9,-0.01,-1.0,-1.0,0.786,5.1,6.5,11.2,-1.0,-1.0,2.3,-1.0,-1.0,-1.0,4.2,17.3,-1.0,-1.0
