球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
乔治-格文,81-82,马刺,79,79,35.7,0.5,12.6,25.2,0.278,0.1,0.5,0.864,7.0,8.1,5.0,1.7,3.2,2.4,1.0,0.6,2.7,2.7,32.3,-1.0,-1.0
摩西-马龙,81-82,火箭,81,81,42.0,0.519,11.7,22.5,0.0,0.0,0.1,0.762,7.8,10.2,14.7,6.9,7.8,1.8,0.9,1.5,3.6,2.6,31.1,-1.0,-1.0
阿德里安-丹特利,81-82,爵士,81,81,39.8,0.57,11.2,19.6,0.333,0.0,0.0,0.792,8.0,10.1,6.3,2.9,3.5,4.0,1.2,0.2,3.7,3.1,30.3,-1.0,-1.0
阿历克斯-英格利什,81-82,掘金,82,82,36.8,0.551,10.4,18.9,0.0,0.0,0.1,0.84,4.5,5.4,6.8,2.6,4.2,5.3,1.1,1.5,3.2,3.2,25.4,-1.0,-1.0
朱利叶斯-欧文,81-82,76人,81,81,34.4,0.546,9.6,17.6,0.273,0.0,0.1,0.763,5.1,6.7,6.9,2.7,4.2,3.9,2.0,1.7,2.6,2.8,24.4,-1.0,-1.0
卡里姆-贾巴尔,81-82,湖人,76,76,35.2,0.579,9.9,17.1,0.0,0.0,0.0,0.706,4.1,5.8,8.7,2.3,6.4,3.0,0.8,2.7,3.0,2.9,23.9,-1.0,-1.0
盖斯-威廉姆斯,81-82,超音速,80,80,36.0,0.486,9.7,19.9,0.225,0.1,0.5,0.734,4.0,5.5,3.1,1.2,1.9,6.9,2.2,0.5,2.5,2.0,23.4,-1.0,-1.0
伯纳德-金,81-82,勇士,79,77,36.2,0.566,9.4,16.5,0.2,0.0,0.1,0.705,4.5,6.3,5.9,1.8,4.2,3.6,1.0,0.3,3.4,3.6,23.2,-1.0,-1.0
沃尔德-B-弗里,81-82,勇士,78,78,35.8,0.448,8.3,18.6,0.179,0.1,0.7,0.74,6.1,8.3,3.2,1.5,1.7,5.4,0.9,0.1,2.7,2.8,22.9,-1.0,-1.0
拉里-伯德,81-82,凯尔特,77,58,38.0,0.503,9.2,18.4,0.212,0.1,0.7,0.863,4.3,4.9,10.9,2.6,8.3,5.8,1.9,0.9,3.3,3.2,22.9,-1.0,-1.0
丹-伊塞尔,81-82,掘金,81,81,30.5,0.527,8.0,15.3,0.667,0.0,0.1,0.834,6.7,8.1,7.5,2.1,5.4,2.2,0.8,0.7,2.1,3.0,22.9,-1.0,-1.0
约翰-朗,81-82,活塞,69,66,32.0,0.492,9.2,18.8,0.133,0.0,0.2,0.865,3.4,4.0,3.7,1.4,2.3,2.1,0.9,0.4,2.4,2.5,21.9,-1.0,-1.0
凯利-特里普卡,81-82,活塞,82,82,37.5,0.496,7.8,15.6,0.227,0.1,0.3,0.797,6.0,7.6,5.4,2.7,2.7,3.3,1.1,0.2,3.4,2.9,21.6,-1.0,-1.0
奇奇-范德维奇,81-82,掘金,82,78,33.8,0.56,8.6,15.4,0.077,0.0,0.2,0.857,4.2,4.9,5.6,1.8,3.8,3.0,0.6,0.4,2.3,2.6,21.5,-1.0,-1.0
简-文森特,81-82,独行侠,81,62,32.4,0.497,8.9,17.9,0.25,0.0,0.0,0.716,3.6,5.0,7.0,2.2,4.7,2.2,1.1,0.3,2.4,3.8,21.4,-1.0,-1.0
贾马尔-威尔克斯,81-82,湖人,82,82,35.4,0.525,9.1,17.3,0.0,0.0,0.0,0.732,3.0,4.1,4.8,1.9,2.9,1.7,1.1,0.3,2.0,2.9,21.1,-1.0,-1.0
迈克尔-汤普森,81-82,开拓者,79,78,39.6,0.523,8.6,16.5,-0.01,0.0,0.0,0.628,3.5,5.6,11.7,3.3,8.4,4.0,0.9,1.4,3.1,2.9,20.8,-1.0,-1.0
迈克-米切尔,81-82,-1,84,83,36.5,0.51,9.0,17.6,0.0,0.0,0.1,0.728,2.6,3.6,7.0,2.9,4.1,1.0,0.7,0.5,1.8,3.3,20.5,-1.0,-1.0
雷-威廉姆斯,81-82,篮网,82,69,33.3,0.462,7.8,16.9,0.167,0.1,0.7,0.832,4.7,5.7,4.0,1.4,2.5,6.0,2.4,0.5,3.5,3.7,20.4,-1.0,-1.0
罗波特-帕里什,81-82,凯尔特,80,78,31.7,0.542,8.4,15.4,-0.01,0.0,0.0,0.71,3.2,4.4,10.8,3.6,7.2,1.8,0.9,2.4,2.8,3.3,19.9,-1.0,-1.0
达内尔-格里菲斯,81-82,爵士,80,79,32.5,0.482,8.6,17.9,0.288,0.2,0.7,0.697,2.4,3.4,3.8,1.6,2.2,2.3,1.2,0.4,2.4,2.7,19.8,-1.0,-1.0
西德尼-蒙克利夫,81-82,雄鹿,80,80,37.3,0.523,7.0,13.3,0.071,0.0,0.2,0.817,5.9,7.2,6.7,2.8,3.9,4.8,1.7,0.3,2.6,2.6,19.8,-1.0,-1.0
杰克-希科马,81-82,超音速,82,82,37.2,0.479,7.1,14.8,0.154,0.0,0.2,0.855,5.5,6.4,12.7,2.7,9.9,3.4,1.2,1.3,2.6,3.3,19.6,-1.0,-1.0
丹尼斯-约翰逊,81-82,太阳,80,77,36.7,0.47,7.2,15.4,0.19,0.1,0.5,0.806,5.0,6.2,5.1,1.8,3.4,4.6,1.3,0.7,2.9,3.2,19.5,-1.0,-1.0
特鲁克-罗宾逊,81-82,太阳,74,72,37.1,0.513,7.8,15.2,1.0,0.0,0.0,0.687,3.4,5.0,9.7,2.7,7.0,2.4,0.6,0.4,2.7,2.9,19.1,-1.0,-1.0
吉姆-帕克森,81-82,开拓者,82,82,33.6,0.526,8.1,15.3,0.229,0.1,0.4,0.767,2.7,3.5,2.7,0.9,1.8,3.4,1.6,0.1,1.8,1.9,18.9,-1.0,-1.0
罗恩-布鲁尔,81-82,-1,72,45,32.2,0.477,7.9,16.6,0.258,0.1,0.4,0.812,2.9,3.6,2.2,0.8,1.5,2.6,1.1,0.4,1.7,2.1,18.8,-1.0,-1.0
格雷格-巴拉德,81-82,子弹,79,79,37.3,0.475,7.9,16.5,0.409,0.1,0.3,0.83,3.0,3.6,8.0,1.7,6.3,3.2,1.7,0.3,1.5,2.6,18.8,-1.0,-1.0
马克-阿吉雷,81-82,独行侠,51,20,28.8,0.465,7.5,16.1,0.352,0.5,1.4,0.68,3.3,4.8,4.9,1.7,3.1,3.2,0.7,0.4,2.6,3.0,18.7,-1.0,-1.0
丹-劳恩德菲尔德,81-82,老鹰,61,58,36.3,0.466,7.0,14.9,0.2,0.0,0.1,0.76,4.7,6.1,11.8,3.7,8.1,2.7,1.0,1.5,3.0,3.4,18.6,-1.0,-1.0
埃尔文-约翰逊,81-82,湖人,78,77,38.3,0.537,7.1,13.3,0.207,0.1,0.4,0.76,4.2,5.6,9.6,3.2,6.4,9.5,2.7,0.4,3.7,2.9,18.6,-1.0,-1.0
约翰-德鲁,81-82,老鹰,70,51,29.1,0.486,6.6,13.7,0.333,0.1,0.2,0.741,5.2,7.0,5.4,2.4,2.9,1.4,0.9,0.0,2.5,3.6,18.5,-1.0,-1.0
Cliff Robinson,81-82,-1,68,59,32.0,0.453,7.6,16.8,0.0,0.0,0.1,0.709,3.3,4.6,9.0,2.6,6.4,1.8,1.3,1.5,2.2,3.3,18.5,-1.0,-1.0
阿尔提斯-吉尔莫尔,81-82,公牛,82,82,34.1,0.652,6.7,10.2,1.0,0.0,0.0,0.768,5.2,6.7,10.2,2.7,7.5,1.7,0.6,2.7,2.8,3.5,18.5,-1.0,-1.0
雷杰-瑟乌斯,81-82,公牛,82,82,34.6,0.469,6.8,14.6,0.25,0.3,1.2,0.808,4.4,5.5,3.8,1.4,2.4,5.8,1.1,0.2,3.4,3.0,18.4,-1.0,-1.0
米切尔-雷-理查德森,81-82,尼克斯,82,79,37.1,0.461,7.5,16.4,0.188,0.2,1.2,0.7,2.6,3.7,6.9,2.2,4.7,7.0,2.6,0.5,3.5,3.9,17.9,-1.0,-1.0
埃迪-约翰逊,81-82,老鹰,68,57,34.0,0.45,6.7,14.9,0.233,0.1,0.4,0.764,4.3,5.7,2.8,0.9,1.9,5.3,1.5,0.2,2.7,2.8,17.8,-1.0,-1.0
凯尔文-奈特,81-82,开拓者,75,71,34.7,0.576,6.9,11.9,0.25,0.0,0.1,0.75,3.9,5.2,8.2,2.6,5.6,2.0,0.8,0.5,1.9,2.3,17.7,-1.0,-1.0
诺姆-尼克森,81-82,湖人,82,82,36.9,0.493,7.7,15.5,0.25,0.0,0.1,0.808,2.2,2.7,2.1,0.5,1.7,8.0,1.6,0.1,2.9,3.2,17.6,-1.0,-1.0
汤姆-钱伯斯,81-82,圣快船,81,58,33.1,0.525,6.8,13.0,0.0,0.0,0.0,0.62,3.5,5.7,6.9,2.6,4.3,1.8,0.7,0.6,2.7,4.2,17.2,-1.0,-1.0
约翰-戴维斯,81-82,步行者,82,70,32.5,0.467,6.6,14.1,0.185,0.1,0.3,0.799,3.8,4.8,2.2,0.9,1.3,4.2,0.9,0.1,2.3,2.1,17.0,-1.0,-1.0
伊塞亚-托马斯,81-82,活塞,72,72,33.8,0.424,6.3,14.8,0.288,0.2,0.8,0.704,4.2,6.0,2.9,0.8,2.1,7.8,2.1,0.2,4.2,3.5,17.0,-1.0,-1.0
乔伊-巴里-卡罗尔,81-82,勇士,76,75,34.6,0.519,6.9,13.4,0.0,0.0,0.0,0.728,3.1,4.3,8.3,2.8,5.6,0.8,0.8,1.7,2.7,3.5,17.0,-1.0,-1.0
詹姆斯-爱德华兹,81-82,骑士,77,75,33.0,0.511,6.9,13.4,0.0,0.0,0.1,0.684,3.0,4.4,7.5,2.5,5.1,1.6,0.3,1.5,2.1,4.5,16.7,-1.0,-1.0
安德鲁-托尼,81-82,76人,77,1,24.8,0.522,6.6,12.7,0.424,0.3,0.8,0.742,2.9,4.0,1.7,0.6,1.2,3.7,0.8,0.2,2.8,3.5,16.5,-1.0,-1.0
马奎斯-约翰逊,81-82,雄鹿,60,52,31.7,0.532,6.7,12.7,0.0,0.0,0.1,0.7,3.0,4.3,6.1,2.6,3.5,3.6,1.0,0.6,2.4,2.4,16.5,-1.0,-1.0
埃尔文-海耶斯,81-82,火箭,82,82,37.0,0.472,6.3,13.4,0.0,0.0,0.1,0.664,3.4,5.1,9.1,3.3,5.9,1.8,0.8,1.3,2.5,3.5,16.1,-1.0,-1.0
凯文-兰西,81-82,开拓者,78,68,31.0,0.46,6.5,14.0,0.079,0.0,0.5,0.761,3.1,4.1,2.4,0.5,1.9,7.1,1.2,0.1,2.9,2.2,16.1,-1.0,-1.0
布莱恩-温特斯,81-82,雄鹿,61,13,30.0,0.501,6.6,13.2,0.387,0.6,1.5,0.788,2.0,2.6,2.8,0.8,2.0,4.1,0.9,0.1,1.9,3.1,15.9,-1.0,-1.0
莫里斯-卢卡斯,81-82,尼克斯,80,74,33.4,0.504,6.3,12.5,0.0,0.0,0.0,0.725,3.2,4.4,11.3,3.4,7.9,2.2,0.9,0.9,2.2,3.9,15.8,-1.0,-1.0
迈克-伍德森,81-82,-1,83,74,28.1,0.503,6.5,12.9,0.28,0.1,0.3,0.773,2.7,3.4,3.0,1.2,1.7,2.7,1.7,0.4,1.8,2.7,15.7,-1.0,-1.0
迈克尔-布鲁克斯,81-82,圣快船,82,73,33.5,0.504,6.5,13.0,0.0,0.0,0.1,0.757,2.5,3.3,7.6,2.5,5.1,2.9,1.4,0.5,2.4,3.5,15.6,-1.0,-1.0
巴克-威廉姆斯,81-82,篮网,82,82,34.5,0.582,6.3,10.7,0.0,0.0,0.0,0.624,3.0,4.7,12.3,4.2,8.0,1.3,1.0,1.0,2.9,3.5,15.5,-1.0,-1.0
阿尔万-亚当斯,81-82,太阳,79,75,30.3,0.494,6.4,13.0,0.0,0.0,0.0,0.781,2.3,2.9,7.4,1.7,5.7,4.5,1.4,1.0,2.5,3.4,15.1,-1.0,-1.0
罗尼尔-谢尔顿,81-82,超音速,81,81,32.9,0.486,6.3,12.9,0.0,0.0,0.1,0.783,2.3,3.0,6.3,2.0,4.3,3.1,1.2,0.5,2.5,3.9,14.9,-1.0,-1.0
大卫-汤普森,81-82,掘金,61,5,20.4,0.486,5.1,10.6,0.286,0.1,0.2,0.814,4.5,5.6,2.4,0.9,1.5,1.9,0.6,0.5,2.3,2.4,14.9,-1.0,-1.0
