球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
乔治-格文,79-80,马刺,78,-1.0,37.6,0.528,13.1,24.9,0.314,0.4,1.3,0.852,6.5,7.6,5.2,2.0,3.2,2.6,1.4,1.0,3.3,2.7,33.1,-1.0,-1.0
沃尔德-B-弗里,79-80,圣快船,68,-1.0,38.0,0.474,10.8,22.9,0.36,0.1,0.4,0.753,8.4,11.2,3.5,1.9,1.6,4.2,1.2,0.5,3.4,2.9,30.2,-1.0,-1.0
阿德里安-丹特利,79-80,爵士,68,-1.0,39.3,0.576,10.7,18.6,0.0,0.0,0.0,0.842,6.5,7.7,7.6,2.7,4.9,2.8,1.4,0.2,3.4,3.1,28.0,-1.0,-1.0
朱利叶斯-欧文,79-80,76人,78,-1.0,36.1,0.519,10.7,20.7,0.2,0.1,0.3,0.787,5.4,6.8,7.4,2.8,4.6,4.6,2.2,1.8,3.6,2.7,26.9,-1.0,-1.0
摩西-马龙,79-80,火箭,82,-1.0,38.3,0.502,9.5,18.9,0.0,0.0,0.1,0.719,6.9,9.5,14.5,7.0,7.5,1.8,1.0,1.3,3.7,2.6,25.8,-1.0,-1.0
卡里姆-贾巴尔,79-80,湖人,82,-1.0,38.3,0.604,10.2,16.9,0.0,0.0,0.0,0.765,4.4,5.8,10.8,2.3,8.5,4.5,1.0,3.4,3.6,2.6,24.8,-1.0,-1.0
丹-伊塞尔,79-80,掘金,82,-1.0,35.8,0.505,8.7,17.3,0.333,0.0,0.1,0.775,6.3,8.1,8.8,2.9,5.9,2.4,1.1,0.7,2.0,2.3,23.8,-1.0,-1.0
埃尔文-海耶斯,79-80,子弹,81,-1.0,39.3,0.454,9.4,20.7,0.231,0.0,0.2,0.699,4.1,5.9,11.1,3.3,7.7,1.6,0.8,2.3,2.7,3.8,23.0,-1.0,-1.0
奥蒂斯-比尔德松,79-80,国王,82,-1.0,35.2,0.505,9.5,18.9,0.278,0.1,0.4,0.694,3.5,5.0,4.0,2.1,2.0,2.5,1.7,0.3,2.2,2.8,22.7,-1.0,-1.0
迈克-米切尔,79-80,骑士,82,-1.0,34.2,0.523,9.5,18.1,0.0,0.0,0.1,0.787,3.3,4.2,7.2,2.5,4.7,1.1,0.9,0.9,2.1,3.2,22.2,-1.0,-1.0
盖斯-威廉姆斯,79-80,超音速,82,-1.0,36.2,0.482,9.0,18.7,0.194,0.1,0.4,0.788,4.0,5.1,3.4,1.5,1.8,4.8,2.4,0.5,2.2,2.0,22.1,-1.0,-1.0
保罗-韦斯特法尔,79-80,太阳,82,-1.0,32.5,0.525,8.4,16.1,0.28,0.3,1.1,0.862,4.7,5.4,2.3,0.6,1.7,5.1,1.5,0.4,2.5,2.0,21.9,-1.0,-1.0
比尔·卡特赖特,79-80,尼克斯,82,-1.0,38.4,0.547,8.1,14.8,-0.01,0.0,0.0,0.797,5.5,6.9,8.9,2.4,6.5,2.0,0.6,1.2,2.7,3.4,21.7,-1.0,-1.0
