球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
鲍伯-麦克阿杜,74-75,勇敢者,82,-1.0,43.2,0.512,13.4,26.1,-0.01,-1.0,-1.0,0.805,7.8,9.7,14.1,3.7,10.3,2.2,1.1,2.1,-1.0,3.4,34.5,-1.0,-1.0
里克-巴里,74-75,勇士,80,-1.0,40.4,0.464,12.9,27.7,-0.01,-1.0,-1.0,0.904,4.9,5.5,5.7,1.2,4.6,6.2,2.9,0.4,-1.0,2.8,30.6,-1.0,-1.0
卡里姆-贾巴尔,74-75,雄鹿,65,-1.0,42.3,0.513,12.5,24.4,-0.01,-1.0,-1.0,0.763,5.0,6.6,14.0,3.0,11.0,4.1,1.0,3.3,-1.0,3.2,30.0,-1.0,-1.0
乔治-麦克吉尼斯,74-75,老者,79,-1.0,40.4,0.451,11.1,24.5,0.354,0.8,2.2,0.724,6.9,9.5,14.3,5.0,9.2,6.3,2.6,0.7,5.3,3.8,29.8,-1.0,-1.0
朱利叶斯-欧文,74-75,老篮网,84,-1.0,40.5,0.506,10.9,21.5,0.333,0.3,1.0,0.799,5.8,7.2,10.9,3.4,7.5,5.5,2.2,1.9,3.6,3.0,27.9,-1.0,-1.0
奈特-阿奇博尔德,74-75,国王,82,-1.0,39.6,0.456,9.3,20.3,-0.01,-1.0,-1.0,0.872,8.0,9.1,2.7,0.6,2.1,6.8,1.5,0.1,-1.0,2.3,26.5,-1.0,-1.0
罗恩-布恩,74-75,星光,84,-1.0,40.6,0.491,10.4,21.1,0.303,0.1,0.4,0.86,4.3,5.0,4.8,1.7,3.2,4.4,1.5,0.4,4.0,3.2,25.2,-1.0,-1.0
泰瑞斯-格兰特,74-75,征服者,53,-1.0,37.7,0.544,10.9,20.0,0.5,0.0,0.0,0.835,3.4,4.1,6.2,2.2,4.0,1.8,0.8,0.4,2.2,3.0,25.2,-1.0,-1.0
查理-斯科特,74-75,太阳,69,-1.0,37.6,0.441,10.2,23.1,-0.01,-1.0,-1.0,0.781,4.0,5.1,4.0,1.0,2.9,4.5,1.6,0.3,-1.0,4.3,24.3,-1.0,-1.0
马尔文-巴恩斯,74-75,精神,77,-1.0,39.9,0.498,10.1,20.3,0.0,0.0,0.0,0.67,3.8,5.7,15.6,5.4,10.2,3.2,1.2,1.8,4.0,4.3,24.0,-1.0,-1.0
鲍伯-兰尼尔,74-75,活塞,76,-1.0,39.3,0.51,9.6,18.9,-0.01,-1.0,-1.0,0.802,4.8,5.9,12.0,3.0,9.1,4.6,1.0,2.3,-1.0,3.1,24.0,-1.0,-1.0
阿尔提斯-吉尔莫尔,74-75,上校,84,-1.0,41.6,0.58,9.3,16.1,0.5,0.0,0.0,0.696,4.9,7.0,16.2,5.1,11.1,2.5,0.8,3.1,4.1,3.8,23.6,-1.0,-1.0
乔治-格文,74-75,老刺,84,-1.0,37.1,0.474,9.3,19.7,0.309,0.2,0.7,0.83,4.5,5.5,8.3,2.9,5.4,2.5,1.6,1.6,3.0,3.5,23.4,-1.0,-1.0
埃尔文-海耶斯,74-75,子弹,82,-1.0,42.3,0.443,9.0,20.3,-0.01,-1.0,-1.0,0.766,5.0,6.5,12.2,2.7,9.5,2.5,1.9,2.3,-1.0,2.9,23.0,-1.0,-1.0
盖尔-古德里奇,74-75,湖人,72,-1.0,37.1,0.459,9.1,19.8,-0.01,-1.0,-1.0,0.841,4.4,5.3,3.0,1.3,1.7,5.8,1.4,0.1,-1.0,3.0,22.6,-1.0,-1.0
斯宾瑟-海伍德,74-75,超音速,68,-1.0,37.2,0.459,8.9,19.5,-0.01,-1.0,-1.0,0.811,4.5,5.6,9.3,2.9,6.4,2.0,0.8,1.6,-1.0,2.5,22.4,-1.0,-1.0
弗莱迪-刘易斯,74-75,-1,69,-1.0,40.4,0.47,8.4,17.9,0.269,0.3,1.0,0.843,5.1,6.1,3.8,1.6,2.2,5.3,2.1,0.0,3.0,2.3,22.2,-1.0,-1.0
卢-哈德森,74-75,老鹰,11,-1.0,34.5,0.431,8.8,20.5,-0.01,-1.0,-1.0,0.842,4.4,5.2,4.3,1.3,3.0,3.6,1.2,0.2,-1.0,3.0,22.0,-1.0,-1.0
鲍伯-乐福,74-75,公牛,61,-1.0,39.4,0.429,8.8,20.6,-0.01,-1.0,-1.0,0.83,4.3,5.2,6.3,1.6,4.7,1.7,1.0,0.2,-1.0,3.4,22.0,-1.0,-1.0
弗莱德-卡特,74-75,76人,77,-1.0,39.6,0.447,9.3,20.8,-0.01,-1.0,-1.0,0.738,3.3,4.5,4.4,0.9,3.5,4.4,1.1,0.3,-1.0,3.3,21.9,-1.0,-1.0
