球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
奈特-阿奇博尔德,72-73,国王,80,-1.0,46.0,0.488,12.9,26.3,-0.01,-1.0,-1.0,0.847,8.3,9.8,2.8,-1.0,-1.0,11.4,-1.0,-1.0,-1.0,2.6,34.0,-1.0,-1.0
朱利叶斯-欧文,72-73,大地主,71,-1.0,42.2,0.496,12.6,25.4,0.208,0.1,0.3,0.776,6.7,8.6,12.2,3.7,8.5,4.2,2.5,1.8,4.6,2.8,31.9,-1.0,-1.0
卡里姆-贾巴尔,72-73,雄鹿,76,-1.0,42.8,0.554,12.9,23.3,-0.01,-1.0,-1.0,0.713,4.3,6.1,16.1,-1.0,-1.0,5.0,-1.0,-1.0,-1.0,2.7,30.2,-1.0,-1.0
斯宾瑟-海伍德,72-73,超音速,77,-1.0,42.3,0.476,11.5,24.3,-0.01,-1.0,-1.0,0.839,6.1,7.3,12.9,-1.0,-1.0,2.5,-1.0,-1.0,-1.0,2.8,29.2,-1.0,-1.0
乔治-麦克吉尼斯,72-73,老者,82,-1.0,40.8,0.495,10.6,21.4,0.25,0.1,0.4,0.665,6.3,9.5,12.5,5.3,7.2,2.5,2.0,-1.0,4.9,4.2,27.6,-1.0,-1.0
丹-伊塞尔,72-73,上校,84,-1.0,42.0,0.513,10.7,20.9,0.2,0.0,0.2,0.764,5.8,7.6,11.0,3.9,7.1,2.6,-1.0,-1.0,2.6,3.0,27.3,-1.0,-1.0
卢-哈德森,72-73,老鹰,75,-1.0,40.4,0.477,10.9,22.8,-0.01,-1.0,-1.0,0.825,5.3,6.4,6.2,-1.0,-1.0,3.4,-1.0,-1.0,-1.0,2.6,27.1,-1.0,-1.0
皮特-马拉维奇,72-73,老鹰,79,-1.0,39.1,0.441,10.0,22.6,-0.01,-1.0,-1.0,0.8,6.1,7.7,4.4,-1.0,-1.0,6.9,-1.0,-1.0,-1.0,3.1,26.1,-1.0,-1.0
查理-斯科特,72-73,太阳,81,-1.0,37.8,0.446,10.0,22.3,-0.01,-1.0,-1.0,0.784,5.4,6.9,4.2,-1.0,-1.0,6.1,-1.0,-1.0,-1.0,3.8,25.3,-1.0,-1.0
乔夫-皮特里,72-73,开拓者,79,-1.0,39.7,0.464,10.6,22.8,-0.01,-1.0,-1.0,0.778,3.8,4.8,3.5,-1.0,-1.0,4.4,-1.0,-1.0,-1.0,2.1,24.9,-1.0,-1.0
比利-康宁汉姆,72-73,美洲狮,84,-1.0,38.7,0.487,9.2,18.8,0.286,0.2,0.6,0.789,5.6,7.1,12.0,2.9,9.2,6.3,2.6,-1.0,4.5,3.7,24.1,-1.0,-1.0
盖尔-古德里奇,72-73,湖人,76,-1.0,35.5,0.464,9.9,21.3,-0.01,-1.0,-1.0,0.84,4.1,4.9,3.5,-1.0,-1.0,4.4,-1.0,-1.0,-1.0,2.5,23.9,-1.0,-1.0
西德尼-威克斯,72-73,开拓者,80,-1.0,39.4,0.452,9.5,21.1,-0.01,-1.0,-1.0,0.723,4.8,6.6,10.9,-1.0,-1.0,5.5,-1.0,-1.0,-1.0,3.2,23.8,-1.0,-1.0
鲍伯-兰尼尔,72-73,活塞,81,-1.0,38.9,0.49,10.0,20.4,-0.01,-1.0,-1.0,0.773,3.8,4.9,14.9,-1.0,-1.0,3.2,-1.0,-1.0,-1.0,3.4,23.8,-1.0,-1.0
约翰-哈福利切克,72-73,凯尔特,80,-1.0,42.1,0.45,9.6,21.3,-0.01,-1.0,-1.0,0.858,4.6,5.4,7.1,-1.0,-1.0,6.6,-1.0,-1.0,-1.0,2.4,23.8,-1.0,-1.0
拉尔斐-辛普森,72-73,火箭,81,-1.0,32.0,0.438,9.0,20.6,0.208,0.1,0.3,0.757,5.2,6.9,4.6,1.7,2.9,2.7,1.6,-1.0,3.5,3.0,23.3,-1.0,-1.0
鲍伯-乐福,72-73,公牛,82,-1.0,37.0,0.431,9.4,21.9,-0.01,-1.0,-1.0,0.824,4.2,5.1,6.5,-1.0,-1.0,1.5,-1.0,-1.0,-1.0,2.9,23.1,-1.0,-1.0
杰里-韦斯特,72-73,湖人,69,-1.0,35.7,0.479,9.0,18.7,-0.01,-1.0,-1.0,0.805,4.9,6.1,4.2,-1.0,-1.0,8.8,-1.0,-1.0,-1.0,2.0,22.8,-1.0,-1.0
戴夫-宾,72-73,活塞,82,-1.0,41.0,0.448,8.4,18.8,-0.01,-1.0,-1.0,0.814,5.6,6.8,3.6,-1.0,-1.0,7.8,-1.0,-1.0,-1.0,2.8,22.4,-1.0,-1.0
里克-巴里,72-73,勇士,82,-1.0,37.5,0.452,9.0,19.9,-0.01,-1.0,-1.0,0.902,4.4,4.8,8.9,-1.0,-1.0,4.9,-1.0,-1.0,-1.0,3.0,22.3,-1.0,-1.0
里奇-琼斯,72-73,丛林,67,-1.0,40.2,0.413,8.4,20.4,0.339,0.6,1.9,0.783,4.8,6.2,10.0,2.6,7.4,4.1,-1.0,-1.0,3.4,3.6,22.3,-1.0,-1.0
Stew Johnson,72-73,征服者,80,-1.0,36.9,0.44,9.6,21.9,0.278,0.5,1.7,0.819,2.4,3.0,7.5,2.2,5.2,2.2,-1.0,-1.0,2.0,3.2,22.1,-1.0,-1.0
威利-维斯,72-73,星光,83,-1.0,37.7,0.479,8.1,16.9,0.167,0.0,0.2,0.784,5.7,7.3,8.2,2.6,5.6,3.3,-1.0,-1.0,2.8,3.3,22.0,-1.0,-1.0
乔治-汤普森,72-73,檀木,80,-1.0,36.6,0.456,7.2,15.9,0.274,0.3,0.9,0.784,6.9,8.8,3.3,1.2,2.1,5.0,-1.0,-1.0,3.1,3.1,21.6,-1.0,-1.0
埃尔文-海耶斯,72-73,子弹,81,-1.0,41.3,0.444,8.8,19.8,-0.01,-1.0,-1.0,0.671,3.6,5.4,14.5,-1.0,-1.0,1.6,-1.0,-1.0,-1.0,2.9,21.2,-1.0,-1.0
沃尔特-弗雷泽,72-73,尼克斯,78,-1.0,40.8,0.49,8.7,17.8,-0.01,-1.0,-1.0,0.817,3.7,4.5,7.3,-1.0,-1.0,5.9,-1.0,-1.0,-1.0,2.4,21.1,-1.0,-1.0
阿尔提斯-吉尔莫尔,72-73,上校,84,-1.0,41.7,0.559,8.2,14.6,0.5,0.0,0.0,0.643,4.4,6.8,17.6,5.3,12.2,3.5,-1.0,3.1,3.4,3.6,20.8,-1.0,-1.0
奥斯汀-凯尔,72-73,骑士,82,-1.0,37.8,0.446,8.6,19.2,-0.01,-1.0,-1.0,0.822,3.4,4.2,4.5,-1.0,-1.0,3.4,-1.0,-1.0,-1.0,2.3,20.5,-1.0,-1.0
戴夫-考文斯,72-73,凯尔特,82,-1.0,41.8,0.452,9.0,20.0,-0.01,-1.0,-1.0,0.779,2.5,3.2,16.2,-1.0,-1.0,4.1,-1.0,-1.0,-1.0,3.8,20.5,-1.0,-1.0
兰尼-威尔肯斯,72-73,骑士,75,-1.0,39.6,0.449,7.6,17.0,-0.01,-1.0,-1.0,0.828,5.3,6.3,4.6,-1.0,-1.0,8.4,-1.0,-1.0,-1.0,2.9,20.5,-1.0,-1.0
鲍伯-丹德里奇,72-73,雄鹿,73,-1.0,39.1,0.472,8.7,18.5,-0.01,-1.0,-1.0,0.789,2.7,3.4,8.2,-1.0,-1.0,2.8,-1.0,-1.0,-1.0,3.8,20.2,-1.0,-1.0
奈尔-沃克,72-73,太阳,81,-1.0,38.4,0.466,8.4,18.0,-0.01,-1.0,-1.0,0.786,3.4,4.4,12.4,-1.0,-1.0,3.5,-1.0,-1.0,-1.0,4.0,20.2,-1.0,-1.0
弗莱德-卡特,72-73,76人,81,-1.0,37.0,0.421,8.4,19.9,-0.01,-1.0,-1.0,0.704,3.2,4.5,6.0,-1.0,-1.0,4.3,-1.0,-1.0,-1.0,3.1,20.0,-1.0,-1.0
切特-沃克,72-73,公牛,79,-1.0,31.1,0.478,7.6,15.8,-0.01,-1.0,-1.0,0.832,4.8,5.7,5.0,-1.0,-1.0,2.3,-1.0,-1.0,-1.0,2.1,19.9,-1.0,-1.0
菲尔-切尼尔,72-73,子弹,71,-1.0,39.1,0.452,8.5,18.8,-0.01,-1.0,-1.0,0.795,2.7,3.4,4.1,-1.0,-1.0,4.2,-1.0,-1.0,-1.0,2.3,19.7,-1.0,-1.0
乔乔-怀特,72-73,凯尔特,82,-1.0,39.6,0.431,8.7,20.3,-0.01,-1.0,-1.0,0.781,2.2,2.8,5.0,-1.0,-1.0,6.1,-1.0,-1.0,-1.0,2.3,19.7,-1.0,-1.0
约翰-纽曼恩,72-73,檀木,79,-1.0,35.3,0.472,7.7,16.2,0.176,0.1,0.6,0.778,4.2,5.4,3.9,1.8,2.1,5.9,-1.0,-1.0,4.4,3.8,19.6,-1.0,-1.0
鲁迪-汤姆贾诺维奇,72-73,火箭,81,-1.0,36.7,0.478,8.1,16.9,-0.01,-1.0,-1.0,0.746,3.1,4.1,11.6,-1.0,-1.0,2.2,-1.0,-1.0,-1.0,2.8,19.3,-1.0,-1.0
乔治-卡特,72-73,老篮网,83,-1.0,35.9,0.456,6.9,15.0,0.0,0.0,0.1,0.832,5.3,6.4,6.2,2.5,3.7,2.1,-1.0,-1.0,3.1,3.7,19.0,-1.0,-1.0
吉姆-麦克米兰,72-73,湖人,81,-1.0,36.5,0.458,8.1,17.7,-0.01,-1.0,-1.0,0.845,2.8,3.3,5.5,-1.0,-1.0,2.7,-1.0,-1.0,-1.0,2.2,18.9,-1.0,-1.0
Bob Netolicky,72-73,丛林,84,-1.0,40.6,0.483,7.7,16.0,0.0,0.0,0.0,0.666,3.2,4.8,10.1,4.0,6.1,2.8,-1.0,-1.0,2.5,2.0,18.7,-1.0,-1.0
罗恩-布恩,72-73,星光,84,-1.0,30.8,0.498,6.7,13.5,0.25,0.1,0.5,0.866,4.9,5.7,5.1,2.1,3.0,4.2,-1.0,-1.0,3.3,3.7,18.5,-1.0,-1.0
迈尔-丹尼尔斯,72-73,老者,81,-1.0,38.3,0.482,7.2,15.0,0.25,0.0,0.0,0.722,4.0,5.5,15.4,4.3,11.1,2.2,-1.0,1.9,3.4,3.9,18.5,-1.0,-1.0
杰克-马琳,72-73,火箭,81,-1.0,37.3,0.468,7.7,16.5,-0.01,-1.0,-1.0,0.849,3.1,3.6,6.2,-1.0,-1.0,3.6,-1.0,-1.0,-1.0,3.0,18.5,-1.0,-1.0
迪克-范阿斯戴尔,72-73,太阳,81,-1.0,36.8,0.476,6.6,13.8,-0.01,-1.0,-1.0,0.859,5.3,6.1,4.0,-1.0,-1.0,3.3,-1.0,-1.0,-1.0,2.7,18.4,-1.0,-1.0
阿尔奇-克拉克,72-73,子弹,39,-1.0,37.9,0.507,7.7,15.3,-0.01,-1.0,-1.0,0.81,2.8,3.5,3.3,-1.0,-1.0,7.1,-1.0,-1.0,-1.0,2.8,18.3,-1.0,-1.0
埃尔摩尔-史密斯,72-73,勇敢者,76,-1.0,37.2,0.482,7.9,16.4,-0.01,-1.0,-1.0,0.558,2.5,4.4,12.4,-1.0,-1.0,2.5,-1.0,-1.0,-1.0,3.9,18.3,-1.0,-1.0
迈克-里奥丹,72-73,子弹,82,-1.0,42.3,0.51,8.0,15.6,-0.01,-1.0,-1.0,0.821,2.2,2.7,4.9,-1.0,-1.0,5.2,-1.0,-1.0,-1.0,2.6,18.1,-1.0,-1.0
鲍伯-麦克阿杜,72-73,勇敢者,80,-1.0,32.0,0.452,7.3,16.2,-0.01,-1.0,-1.0,0.774,3.4,4.4,9.1,-1.0,-1.0,1.7,-1.0,-1.0,-1.0,3.2,18.0,-1.0,-1.0
吉米-沃克,72-73,火箭,81,-1.0,38.0,0.465,7.5,16.1,-0.01,-1.0,-1.0,0.884,3.0,3.4,3.3,-1.0,-1.0,5.5,-1.0,-1.0,-1.0,2.6,18.0,-1.0,-1.0
杰夫-穆林斯,72-73,勇士,81,-1.0,37.1,0.493,8.0,16.3,-0.01,-1.0,-1.0,0.831,1.8,2.1,4.5,-1.0,-1.0,4.2,-1.0,-1.0,-1.0,2.5,17.8,-1.0,-1.0
查克-威廉姆斯,72-73,征服者,83,-1.0,37.0,0.478,5.9,12.3,0.143,0.0,0.1,0.791,5.9,7.5,2.8,0.9,1.9,7.0,-1.0,-1.0,2.8,3.3,17.7,-1.0,-1.0
鲍伯-考夫曼,72-73,勇敢者,77,-1.0,39.6,0.505,6.9,13.8,-0.01,-1.0,-1.0,0.78,3.6,4.7,11.1,-1.0,-1.0,5.1,-1.0,-1.0,-1.0,2.7,17.5,-1.0,-1.0
马克-卡尔文,72-73,美洲狮,84,-1.0,26.5,0.506,5.7,11.2,0.393,0.1,0.3,0.859,6.0,6.9,2.6,1.2,1.4,3.6,-1.0,-1.0,2.9,2.6,17.5,-1.0,-1.0
内特-瑟蒙德,72-73,勇士,79,-1.0,43.3,0.446,6.5,14.7,-0.01,-1.0,-1.0,0.718,4.0,5.6,17.1,-1.0,-1.0,3.5,-1.0,-1.0,-1.0,3.0,17.1,-1.0,-1.0
Warren Jabali,72-73,火箭,82,-1.0,33.4,0.453,5.4,11.9,0.257,0.4,1.7,0.805,5.9,7.3,5.2,1.6,3.6,6.6,2.1,-1.0,3.7,3.4,17.0,-1.0,-1.0
